target,group,share,lo,hi
delta_mkt,goal history,0.30555219518889687,0.27726375131240344,0.3352524107012182
delta_mkt,wealth,0.040545501497456254,0.02606962272207617,0.06320479438300025
delta_mkt,lineup (RAPM),0.033682648070252535,0.025381758134896678,0.04426032987242589
delta_mkt,proxy xG,0.28638996749195794,0.25227872639280996,0.31626583457523566
delta_mkt,rest & schedule,0.0022364443342066625,0.0007769134848061813,0.008993692558479998
delta_mkt,unexplained,0.33159324341722973,0.28001356538461714,0.37960699445158
gap,goal history,0.19751154654020142,0.16160458411553366,0.24374079388505293
gap,wealth,0.013917185753804606,0.004429459560397918,0.03560236652867713
gap,lineup (RAPM),0.016135739345054675,0.011603506571809445,0.02309616199919364
gap,proxy xG,0.20259291575579547,0.15472676852622144,0.24713521372109754
gap,rest & schedule,0.002836121461144651,0.0007408786736312125,0.012834668751634217
gap,unexplained,0.5670064911439991,0.4911540079353801,0.6217878045803481
