target,group,share,lo,hi
delta_mkt,goal history,0.32534925660600716,0.2994291896257307,0.3556911172996551
delta_mkt,wealth,0.04702606940142205,0.029355911008598173,0.06904470648014092
delta_mkt,lineup (RAPM),0.0399129617225298,0.029736599582166987,0.052745158420946806
delta_mkt,proxy xG,0.32100190444269333,0.2950399327868725,0.3468376195812674
delta_mkt,rest & schedule,0.0024752121127671984,0.0010931274713409888,0.0091120582148131
delta_mkt,unexplained,0.2642345957145804,0.2291437893371745,0.29364314123056423
delta_mkt | favourites,intercept,0.10168983002636686,NaN,NaN
delta_mkt | favourites,goal history,0.28587726203558755,NaN,NaN
delta_mkt | favourites,wealth,0.02479353484005307,NaN,NaN
delta_mkt | favourites,lineup (RAPM),0.039497720975595785,NaN,NaN
delta_mkt | favourites,proxy xG,0.29811436454845797,NaN,NaN
delta_mkt | favourites,rest & schedule,-0.000689230673701937,NaN,NaN
delta_mkt | favourites,unexplained residual,0.25071651824764074,NaN,NaN
delta_mkt | favourites,TOTAL,1.0,NaN,NaN
gap,goal history,0.21413190197362458,0.17634606569916775,0.2607666656177868
gap,wealth,0.023267676805384746,0.009184747922723358,0.047594433029732375
gap,lineup (RAPM),0.02200431168323929,0.01669128918062901,0.03141390457200601
gap,proxy xG,0.24943810470364078,0.2081664126571204,0.2893878044804993
gap,rest & schedule,0.003516564796698659,0.0012727876323091391,0.012495665118814982
gap,unexplained,0.48764144003741194,0.43109370293570304,0.5282040347493124
gap | favourites,intercept,0.025904419513375382,NaN,NaN
gap | favourites,goal history,0.12674746557745356,NaN,NaN
gap | favourites,wealth,0.020602619713605802,NaN,NaN
gap | favourites,lineup (RAPM),0.03578654220640259,NaN,NaN
gap | favourites,proxy xG,0.33973464088567246,NaN,NaN
gap | favourites,rest & schedule,-0.0011576930559622266,NaN,NaN
gap | favourites,unexplained residual,0.4523820051594524,NaN,NaN
gap | favourites,TOTAL,1.0,NaN,NaN
