team,component,week,week_start,p_turbulent
bonnyrigg-rose,att,2,2024-08-05,0.5486666666666666
bonnyrigg-rose,def,2,2024-08-05,0.5285
edinburgh-city-fc,att,2,2024-08-05,0.5228333333333334
bonnyrigg-rose,att,3,2024-08-12,0.5527500000000001
bonnyrigg-rose,def,3,2024-08-12,0.5165833333333334
bonnyrigg-rose,att,4,2024-08-19,0.5484166666666667
bonnyrigg-rose,def,4,2024-08-19,0.5083333333333333
dumbarton,att,13,2024-10-21,0.5514166666666667
dumbarton,att,14,2024-10-28,0.5514166666666667
hamilton-academical,def,59,2025-09-08,0.5841666666666666
hamilton-academical,def,60,2025-09-15,1.0
kelty-hearts-fc,def,60,2025-09-15,0.8884166666666666
hamilton-academical,def,61,2025-09-22,1.0
kelty-hearts-fc,def,61,2025-09-22,0.8883333333333332
edinburgh-city-fc,att,88,2026-03-30,0.7326666666666667
edinburgh-city-fc,att,89,2026-04-06,0.8764166666666667
edinburgh-city-fc,att,90,2026-04-13,0.7891666666666668
queen-of-the-south,att,90,2026-04-13,0.9559166666666666
queen-of-the-south,def,90,2026-04-13,0.5576666666666665
edinburgh-city-fc,att,91,2026-04-20,0.6741666666666667
queen-of-the-south,att,91,2026-04-20,0.9525
queen-of-the-south,def,91,2026-04-20,0.51275
