order_id,match_id,kickoff,bf_market_id,market_group,selection,venue_selection,side,venue_odds,effective_odds,p_model,risk,venue_stake,quote_ts,bankroll,market_id,market_type,symbol,ts,bid_prices,bid_volumes,ask_prices,ask_volumes,market_matched
0ef6692b-8cee-48da-ae52-a7d903037bc3,16362604,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.24,2.24,0.461742,8.58,8.58,2026-09-05T13:35:00.000+00:00,2400,1.261709452,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:35:00.000+00:00,"Union{Missing, Int64}[22400, 22200, 22000]","Union{Missing, Int64}[50000, 40000, 50000]","Union{Missing, Int64}[23600, 23800, 24000]","Union{Missing, Int64}[80300, 632500, 30000]",920600
0ef6692b-8cee-48da-ae52-a7d903037bc3,16362604,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.24,2.24,0.461742,8.58,8.58,2026-09-05T13:35:00.000+00:00,2400,1.261709452,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:38:00.000+00:00,"Union{Missing, Int64}[22400, 22200, 22000]","Union{Missing, Int64}[50000, 40000, 50000]","Union{Missing, Int64}[23400, 23600, 23800]","Union{Missing, Int64}[30000, 50300, 632500]",920600
0ef6692b-8cee-48da-ae52-a7d903037bc3,16362604,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.24,2.24,0.461742,8.58,8.58,2026-09-05T13:35:00.000+00:00,2400,1.261709452,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:41:00.000+00:00,"Union{Missing, Int64}[22400, 22200, 22000]","Union{Missing, Int64}[50000, 40000, 50000]","Union{Missing, Int64}[23600, 23800, 24000]","Union{Missing, Int64}[80300, 632500, 30000]",920600
0ef6692b-8cee-48da-ae52-a7d903037bc3,16362604,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.24,2.24,0.461742,8.58,8.58,2026-09-05T13:35:00.000+00:00,2400,1.261709452,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:44:00.000+00:00,"Union{Missing, Int64}[22400, 22200, 22000]","Union{Missing, Int64}[50000, 40000, 50000]","Union{Missing, Int64}[23400, 23600, 23800]","Union{Missing, Int64}[30000, 50300, 632500]",920600
0ef6692b-8cee-48da-ae52-a7d903037bc3,16362604,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.24,2.24,0.461742,8.58,8.58,2026-09-05T13:35:00.000+00:00,2400,1.261709452,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:47:00.000+00:00,"Union{Missing, Int64}[22400, 22200, 22000]","Union{Missing, Int64}[50000, 40000, 50000]","Union{Missing, Int64}[23600, 23800, 24000]","Union{Missing, Int64}[80300, 632500, 30000]",920600
0ef6692b-8cee-48da-ae52-a7d903037bc3,16362604,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.24,2.24,0.461742,8.58,8.58,2026-09-05T13:35:00.000+00:00,2400,1.261709452,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:50:00.000+00:00,"Union{Missing, Int64}[22400, 22200, 22000]","Union{Missing, Int64}[50000, 40000, 50000]","Union{Missing, Int64}[23400, 23600, 23800]","Union{Missing, Int64}[30000, 106000, 632500]",920600
0ef6692b-8cee-48da-ae52-a7d903037bc3,16362604,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.24,2.24,0.461742,8.58,8.58,2026-09-05T13:35:00.000+00:00,2400,1.261709452,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:53:00.000+00:00,"Union{Missing, Int64}[22400, 22200, 22000]","Union{Missing, Int64}[50000, 40000, 50000]","Union{Missing, Int64}[23600, 23800, 24000]","Union{Missing, Int64}[136000, 632500, 30000]",923400
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,16362613,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.4,2.4,0.440378,13.1,13.1,2026-09-05T13:35:00.000+00:00,2400,1.261708802,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:35:00.000+00:00,"Union{Missing, Int64}[24000, 23800, 23600]","Union{Missing, Int64}[40000, 40000, 40000]","Union{Missing, Int64}[25000, 25400, 25600]","Union{Missing, Int64}[433200, 60000, 30000]",168200
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,16362613,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.4,2.4,0.440378,13.1,13.1,2026-09-05T13:35:00.000+00:00,2400,1.261708802,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:38:00.000+00:00,"Union{Missing, Int64}[24000, 23800, 23600]","Union{Missing, Int64}[40000, 40000, 40000]","Union{Missing, Int64}[25000, 25400, 25600]","Union{Missing, Int64}[433200, 60000, 30000]",171000
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,16362613,2026-09-05T14:00:00.000+00:00,,OverUnder,under_25,under_25,back,2.4,2.4,0.440378,13.1,13.1,2026-09-05T13:35:00.000+00:00,2400,1.261708802,OVER_UNDER_25,Under 2.5 Goals,2026-09-05T13:41:00.000+00:00,"Union{Missing, Int64}[24200, 24000, 23800]","Union{Missing, Int64}[70000, 40000, 40000]","Union{Missing, Int64}[25000, 25600, 25800]","Union{Missing, Int64}[433200, 30000, 60000]",173900
