policy_name,status,sequential_reason,observations
archive_touch_t25,evaluated,depth,12
archive_touch_t25,evaluated,reservation,3
archive_touch_t25,evaluated,target,1
archive_touch_t25,no_archive_quote,no_archive_quote,9
archive_touch_t25,not_scheduled,not_scheduled,1014
archive_sweep3_t25,evaluated,depth,24
archive_sweep3_t25,evaluated,reservation,11
archive_sweep3_t25,evaluated,target,10
archive_sweep3_t25,no_archive_quote,no_archive_quote,9
archive_sweep3_t25,not_scheduled,not_scheduled,1014
staged_t25_t5_no_replenishment,evaluated,target,162
staged_t25_t5_no_replenishment,evaluated,reservation,95
staged_t25_t5_no_replenishment,no_archive_quote,no_archive_quote,9
staged_t25_t5_no_replenishment,reused_quote,reused_quote,327
staged_t25_t5_no_replenishment,stale_quote,stale_quote,408
staged_t25_t5_no_replenishment,evaluated,depth,46
staged_t25_t5_no_replenishment,evaluated,slip,24
staged_t25_t5_refreshed_upper_bound,evaluated,target,208
staged_t25_t5_refreshed_upper_bound,evaluated,reservation,89
staged_t25_t5_refreshed_upper_bound,no_archive_quote,no_archive_quote,9
staged_t25_t5_refreshed_upper_bound,reused_quote,reused_quote,327
staged_t25_t5_refreshed_upper_bound,stale_quote,stale_quote,408
staged_t25_t5_refreshed_upper_bound,evaluated,depth,8
staged_t25_t5_refreshed_upper_bound,evaluated,slip,22
archive_touch_t25,evaluated,policy_depth,32
archive_sweep3_t25,evaluated,slip,3
