order_id,match_id,kickoff,bf_market_id,market_group,market_line,selection,venue_selection,side,venue_odds,leverage,effective_odds,p_model,p_market,edge,stake_fraction,risk,venue_stake,quote_ts,state,reason,submitted_at,terminal_at,filled_at,fill_price,fill_size,risk_filled,fill_model,level_depth,outcome,gross_return,settlement_commission,net_pnl,slate_id,account_id,slate_as_of,run_name,slate_bankroll,slate_total_risk,n_legs,batch_status
0ef6692b-8cee-48da-ae52-a7d903037bc3,16362604,2026-09-05T14:00:00.000+00:00,,OverUnder,2.5,under_25,under_25,back,2.24,1,2.24,0.461742,0.438596,0.023146,0.003574343,8.58,8.58,2026-09-05T13:35:00.000+00:00,SETTLED,settled lose,2026-09-05T14:50:21.555+00:00,2026-09-05T17:12:31.303+00:00,2026-09-05T14:50:21.555+00:00,2.24,5,5,touch_only,1,LOSE,0,0,-5,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,16362613,2026-09-05T14:00:00.000+00:00,,OverUnder,2.5,under_25,under_25,back,2.4,1,2.4,0.440378,0.410319,0.030059,0.005459618,13.1,13.1,2026-09-05T13:35:00.000+00:00,SETTLED,settled lose,2026-09-05T14:50:21.555+00:00,2026-09-05T17:13:13.758+00:00,2026-09-05T14:50:21.555+00:00,2.4,4,4,touch_only,1,LOSE,0,0,-4,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
4f8e3a10-df5a-440c-8653-d55b2ed825fb,16362433,2026-09-05T14:00:00.000+00:00,,1X2,0,away,away,back,3.25,1,3.25,0.311779,0.30211,0.009669,0.002578534,6.19,6.19,2026-09-05T13:35:00.000+00:00,SETTLED,settled win,2026-09-05T14:50:21.555+00:00,2026-09-05T17:12:31.303+00:00,2026-09-05T14:50:21.555+00:00,3.25,6.19,6.19,touch_only,1,WIN,20.12,0.28,13.65,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
50458b3f-d7ba-4eac-8b89-8e5045b74db5,16362608,2026-09-05T14:00:00.000+00:00,,1X2,0,home,home,back,2.86,1,2.86,0.369419,0.338746,0.030673,0.00477268,11.45,11.45,2026-09-05T13:35:00.000+00:00,SETTLED,settled lose,2026-09-05T14:50:21.555+00:00,2026-09-05T17:12:31.303+00:00,2026-09-05T14:50:21.555+00:00,2.86,8.5,8.5,touch_only,1,LOSE,0,0,-8.5,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
5542833b-3e73-411e-a3eb-8f3eb2efb63c,16362436,2026-09-05T14:00:00.000+00:00,,OverUnder,2.5,under_25,over_25,lay,1.89,1.123596,2.123596,0.474667,0.46825,0.006417,0.001156056,2.77,3.12,2026-09-05T13:35:00.000+00:00,SETTLED,settled lose,2026-09-05T14:50:21.555+00:00,2026-09-05T17:12:31.303+00:00,2026-09-05T14:50:21.555+00:00,1.89,3.12,2.78,touch_only,1,LOSE,0,0,-2.78,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
55ce5d62-5170-4539-920c-9064a8ccf235,16362436,2026-09-05T14:00:00.000+00:00,,1X2,0,home,home,back,3.2,1,3.2,0.351812,0.302583,0.049229,0.010494567,25.19,25.19,2026-09-05T13:35:00.000+00:00,SETTLED,settled win,2026-09-05T14:50:21.555+00:00,2026-09-05T17:12:31.303+00:00,2026-09-05T14:50:21.555+00:00,3.2,25.19,25.19,touch_only,1,WIN,80.61,1.11,54.31,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
5fe3eb51-ca97-4709-9b3e-055d7d477033,16362432,2026-09-05T14:00:00.000+00:00,,1X2,0,draw,draw,back,4.5,1,4.5,0.252181,0.216065,0.036117,0.010537004,25.29,25.29,2026-09-05T13:35:00.000+00:00,SETTLED,settled win,2026-09-05T14:50:21.555+00:00,2026-09-05T17:12:31.303+00:00,2026-09-05T14:50:21.555+00:00,4.5,3,3,touch_only,1,WIN,13.5,0.21,10.29,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
706b9b63-3894-43c3-8b40-eac1535e5509,16362435,2026-09-05T14:00:00.000+00:00,,OverUnder,2.5,under_25,over_25,lay,1.79,1.265823,2.265823,0.475111,0.431529,0.043581,0.01079321,25.9,32.79,2026-09-05T13:35:00.000+00:00,SETTLED,settled win,2026-09-05T14:50:21.555+00:00,2026-09-05T17:12:31.303+00:00,2026-09-05T14:50:21.555+00:00,1.79,4,3.16,touch_only,1,WIN,7.16,0.08,3.92,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
71b20b32-c980-4d92-98df-2158b1bf8919,16362602,2026-09-05T14:00:00.000+00:00,,1X2,0,home,home,back,3.85,1,3.85,0.310897,0.253535,0.057362,0.01281725,30.76,30.76,2026-09-05T13:35:00.000+00:00,SETTLED,settled lose,2026-09-05T14:50:21.555+00:00,2026-09-05T17:12:31.303+00:00,2026-09-05T14:50:21.555+00:00,3.85,7.6,7.6,touch_only,1,LOSE,0,0,-7.6,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
8d864ea1-a2d2-4949-b0c3-74f68549f4a7,16362431,2026-09-05T14:00:00.000+00:00,,1X2,0,home,home,back,3.3,1,3.3,0.341049,0.297234,0.043815,0.009916687,23.8,23.8,2026-09-05T13:35:00.000+00:00,SETTLED,settled lose,2026-09-05T14:50:21.555+00:00,2026-09-05T17:12:31.303+00:00,2026-09-05T14:50:21.555+00:00,3.3,10.03,10.03,touch_only,1,LOSE,0,0,-10.03,0fd23606-80bf-4fcd-be44-66d708562fe6,live_scottish,2026-09-05T13:35:00.000+00:00,m12_joint_hybrid_synergy,2400,427.08,17,BATCH_SETTLED
