order_id,side,reference_odds,stored_t25_best,mismatch
0ef6692b-8cee-48da-ae52-a7d903037bc3,back,2.24,2.24,false
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,back,2.4,2.4,false
4f8e3a10-df5a-440c-8653-d55b2ed825fb,back,3.25,3.25,false
50458b3f-d7ba-4eac-8b89-8e5045b74db5,back,2.86,2.86,false
5542833b-3e73-411e-a3eb-8f3eb2efb63c,lay,1.89,1.89,false
55ce5d62-5170-4539-920c-9064a8ccf235,back,3.2,3.2,false
5fe3eb51-ca97-4709-9b3e-055d7d477033,back,4.5,4.5,false
706b9b63-3894-43c3-8b40-eac1535e5509,lay,1.79,1.79,false
71b20b32-c980-4d92-98df-2158b1bf8919,back,3.85,3.85,false
8d864ea1-a2d2-4949-b0c3-74f68549f4a7,back,3.3,3.3,false
8daaf6db-f85b-4283-b9d3-69c439aed855,back,7.4,7.4,false
8f3bc540-7e54-46f3-9336-c7208e3369db,back,3.9,3.9,false
97da4724-a477-46be-84b2-c2df51a7b435,back,2.4,2.4,false
b2061d05-0015-47dc-8a2f-ed97b4a37f83,back,3.75,3.75,false
baa6ba5d-d744-491a-83a4-2c0ff49828a8,back,2.7599,2.7599,false
c7df43df-cb33-40ae-8b7b-a65e7b952b6c,back,2.7599,2.7599,false
d5d9afac-c009-47b5-a2d2-fd4785182cf7,lay,1.86,,
