arm,fill_model,slate,as_of,match_id,home_team,away_team,fold_idx,market_group,market_line,selection,venue_selection,side,leverage,venue_odds,effective_odds,p_model,p_market,edge,bankroll_before,stake_fraction,risk_requested,venue_stake_requested,depth_touch,depth_book,venue_stake_filled,risk_filled,fill_pct,fill_vwap,levels_used,slippage_vs_touch,home_goals,away_goals,outcome,gross_return,commission,net_pnl,entry_prob,close_prob,clv,beat_close,has_close
m05_joint_grw_cal_optB,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362584,forfar-athletic,kelty-hearts-fc,41,1X2,0.0,home,home,back,1.0,3.55,3.55,0.37785526365244027,0.2737178249960522,0.10413743865638808,500.0,0.010001096866928643,5.0005484334643215,5.0005484334643215,8.53,21.18,5.0005484334643215,5.0005484334643215,1.0,3.55,1,0.0,1,0,WIN,17.75194693879834,0.2550279701066804,12.496370535227339,0.28169014084507044,0.2738283526179972,-0.00786178822707323,false,true
m05_joint_grw_cal_optB,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362584,forfar-athletic,kelty-hearts-fc,41,OverUnder,2.5,under_25,under_25,back,1.0,2.02,2.02,0.5160544823176046,0.48807959451849076,0.02797488779911389,500.0,0.0026775934945667637,1.338796747283382,1.338796747283382,2.7,10.7,1.338796747283382,1.338796747283382,1.0,2.02,1,0.0,1,0,WIN,2.7043694295124316,0.027311453644580996,1.3382612285844686,0.49504950495049505,0.48194271481942713,-0.013106790131067914,false,true
m05_joint_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362401,alloa-athletic,east-fife,41,1X2,0.0,home,home,back,1.0,2.22,2.22,0.46875222265641453,0.44771349100772245,0.021038731648692077,500.0,0.0021757369277857356,1.0878684638928677,1.0878684638928677,143.8,178.8,1.0878684638928677,1.0878684638928677,1.0,2.22,1,0.0,0,0,LOSE,0.0,0.0,-1.0878684638928677,0.4504504504504504,0.4494315239621982,-0.001018926488252192,false,true
m05_joint_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362405,montrose,hamilton-academical,41,1X2,0.0,home,home,back,1.0,3.05,3.05,0.35566415082420044,0.3219879572865693,0.03367619353763113,500.0,0.0025504801512899467,1.2752400756449733,1.2752400756449733,86.23,90.23,1.2752400756449733,1.2752400756449733,1.0,3.05,1,0.0,0,5,LOSE,0.0,0.0,-1.2752400756449733,0.3278688524590164,0.3131977498918217,-0.014671102567194727,false,true
m05_joint_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362581,clyde-fc,stranraer,41,1X2,0.0,home,home,back,1.0,2.0,2.0,0.5220106581775806,0.4887218045112782,0.03328885366630241,500.0,0.0024786539684688,1.2393269842344,1.2393269842344,7.74,20.740000000000002,1.2393269842344,1.2393269842344,1.0,2.0,1,0.0,3,1,WIN,2.4786539684688,0.024786539684687997,1.2145404445497119,0.5,0.5021834061135371,0.0021834061135370675,true,true
m05_joint_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362582,edinburgh-city-fc,elgin-city,41,1X2,0.0,away,away,back,1.0,3.25,3.25,0.40278615856549266,0.3008279668813248,0.10195819168416786,500.0,0.007701803951131283,3.8509019755656415,3.8509019755656415,6.22,21.66,3.8509019755656415,3.8509019755656415,1.0,3.25,1,0.0,0,5,WIN,12.515431420588335,0.17329058890045387,8.49123885612224,0.3076923076923077,0.3101871239565103,0.002494816264202615,true,true
m05_joint_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362583,annan-athletic,the-spartans-fc,41,OverUnder,2.5,under_25,over_25,lay,1.0101010101010102,1.99,2.01010101010101,0.5599096514358572,0.488537061786779,0.07137258964907822,500.0,0.00409454258529411,2.047271292647055,2.0679508006535907,2.0,10.0,2.0,1.98,0.9671409974395356,1.9900000000000002,1,0.0,2,4,LOSE,0.0,0.0,-1.98,0.4974874371859297,0.4831460674157303,-0.014341369770199397,false,true
m05_joint_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362584,forfar-athletic,kelty-hearts-fc,41,1X2,0.0,draw,draw,back,1.0,3.75,3.75,0.2525593605596431,0.2591195409962627,-0.0065601804366196,500.0,0.0042778105157299665,2.1389052578649834,2.1389052578649834,8.0,35.069900000000004,2.1389052578649834,2.1389052578649834,1.0,3.7500000000000004,1,-1.1842378929335003e-16,1,0,LOSE,0.0,0.0,-2.1389052578649834,0.2666666666666666,0.2613002580537751,-0.0053664086128915045,false,true
m05_joint_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362584,forfar-athletic,kelty-hearts-fc,41,1X2,0.0,home,home,back,1.0,3.55,3.55,0.47803960484744507,0.2737178249960522,0.20432177985139288,500.0,0.022301270395665786,11.150635197832893,11.150635197832893,8.53,21.18,8.53,8.53,0.7649788418921454,3.55,1,0.0,1,0,WIN,30.281499999999994,0.4350299999999999,21.316469999999995,0.28169014084507044,0.2738283526179972,-0.00786178822707323,false,true
m05_joint_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362584,forfar-athletic,kelty-hearts-fc,41,OverUnder,2.5,under_25,under_25,back,1.0,2.02,2.02,0.506543212690107,0.48807959451849076,0.01846361817161629,500.0,0.0026394853607812695,1.3197426803906347,1.3197426803906347,2.7,10.7,1.3197426803906347,1.3197426803906347,1.0,2.02,1,0.0,1,0,WIN,2.665880214389082,0.026922750679968948,1.3192147833184784,0.49504950495049505,0.48194271481942713,-0.013106790131067914,false,true
