model,variant,n_shifted,w_median,w_p10,w_p90,var_retention_median,market_share_median
m00_baseline_grw,t25_inv,567,0.29200234134882974,0.25148046357208204,0.4980039133163109,0.0852653675491364,0.7079976586511703
m00_baseline_grw,close_std,618,0.9739120958732564,0.8236826463207662,0.9990361122952488,0.94850477148318,0.026087904126743555
m05_production_wealth_grw,t25_inv,567,0.28989847019963005,0.2513075865774351,0.49212527149442026,0.08404113927434784,0.7101015298003699
m05_production_wealth_grw,close_std,618,0.9754749724488594,0.8284288548086525,0.9989833447633112,0.9515514222923125,0.02452502755114061
m05_joint_production_wealth_grw,t25_inv,567,0.2836240514877928,0.2509956580285593,0.4509663201245972,0.08044260261233246,0.7163759485122072
m05_joint_production_wealth_grw,close_std,618,0.9805317793523987,0.8717108608171935,0.9993543112864223,0.9614425941514275,0.019468220647601342
m00_baseline,t25_inv,567,0.29532606044067256,0.25187952203992386,0.511404615148837,0.0872174873324517,0.7046739395593274
m00_baseline,close_std,618,0.9712055534558638,0.8244243224306962,0.9988956683504151,0.9432402271857645,0.02879444654413621
m05_production_wealth,t25_inv,567,0.2931824871179369,0.25163315595948416,0.49129663812150215,0.08595598278305044,0.7068175128820631
m05_production_wealth,close_std,618,0.9713652312547557,0.8290977360891625,0.99909959933531,0.9435504136165347,0.028634768745244288
m05_joint_production_wealth,t25_inv,567,0.2858133333989699,0.25098685910182444,0.45772030445871104,0.08168926625648865,0.7141866666010301
m05_joint_production_wealth,close_std,618,0.9774190520503027,0.8742168175662666,0.99924420396912,0.9553480096477002,0.02258094794969734
m12_joint_hybrid_synergy,t25_inv,567,0.2904761767078624,0.25121114207277473,0.47774607917028544,0.08437641353781691,0.7095238232921376
m12_joint_hybrid_synergy,close_std,618,0.9741048626455652,0.8563762026643389,0.9990241409159166,0.9488802853529027,0.025895137354434827
