model,variant,max_family_spread,max_deviation_from_one,mean_grid_mass
m00_baseline_grw,t25_inv,4.440892098500626e-16,0.0001069197927365817,0.9999994244378452
m00_baseline_grw,close_std,6.661338147750939e-16,7.926482080899966e-5,0.9999987024113656
m05_production_wealth_grw,t25_inv,4.440892098500626e-16,0.00016820071253142999,0.9999993242712183
m05_production_wealth_grw,close_std,4.440892098500626e-16,0.00018329791160043296,0.9999984875281459
m05_joint_production_wealth_grw,t25_inv,5.551115123125783e-16,7.83641352907205e-5,0.9999994472338318
m05_joint_production_wealth_grw,close_std,4.440892098500626e-16,5.0905916463617196e-5,0.9999989275028759
m00_baseline,t25_inv,4.440892098500626e-16,6.620568613668887e-6,0.9999997884000733
m00_baseline,close_std,3.3306690738754696e-16,2.0000505420614267e-5,0.9999996899455376
m05_production_wealth,t25_inv,4.440892098500626e-16,1.3833258594164732e-5,0.9999997733202297
m05_production_wealth,close_std,3.3306690738754696e-16,2.3449565244360038e-5,0.9999996933135298
m05_joint_production_wealth,t25_inv,3.3306690738754696e-16,1.1311451741491396e-5,0.9999997572987933
m05_joint_production_wealth,close_std,4.440892098500626e-16,1.893979740441587e-5,0.9999997300706246
m12_joint_hybrid_synergy,t25_inv,4.440892098500626e-16,4.206047116150913e-6,0.9999997973267108
m12_joint_hybrid_synergy,close_std,4.440892098500626e-16,1.7341727185371525e-5,0.9999997931964174
