window,spec,team,fs,season,cat,n,a,d,theta,old_firm
primary,main σc=1.0 σs=0.20,aberdeen,2021,21/22,T1,36,0.8344683390170959,-1.09946797536793,1.933936314385026,false
primary,main σc=1.0 σs=0.20,aberdeen,2022,22/23,T1,37,0.9554515103048563,-1.0169095531433545,1.972361063448211,false
primary,main σc=1.0 σs=0.20,aberdeen,2023,23/24,T1,41,0.7807645506733247,-1.0641545383757645,1.8449190890490892,false
primary,main σc=1.0 σs=0.20,aberdeen,2024,24/25,T1,41,0.9416680162825114,-1.0715679251776236,2.013235941460135,false
primary,main σc=1.0 σs=0.20,aberdeen,2025,25/26,T1,38,0.7289044216275503,-1.0757707133916574,1.8046751350192078,false
primary,main σc=1.0 σs=0.20,aberdeen,2026,26/27,T1,9,0.8482038474839683,-1.1962304968524697,2.044434344336438,false
primary,main σc=1.0 σs=0.20,aberdeen-b-u21,2021,21/22,B,3,0.2269142790439369,-0.18965886993323489,0.4165731489771718,false
primary,main σc=1.0 σs=0.20,aberdeen-b-u21,2022,22/23,B,1,0.2238155060968695,-0.0537104740073504,0.2775259801042199,false
primary,main σc=1.0 σs=0.20,aberdeen-b-u21,2023,23/24,B,2,0.31594379779227433,0.011796588255018975,0.3041472095372554,false
primary,main σc=1.0 σs=0.20,aberdeen-b-u21,2024,24/25,B,1,0.20866316322199582,-0.10799530976999103,0.31665847299198685,false
primary,main σc=1.0 σs=0.20,aberdeen-b-u21,2025,25/26,B,6,0.2883815544188171,0.07574633894623121,0.21263521547258585,false
primary,main σc=1.0 σs=0.20,aberdeen-b-u21,2026,26/27,B,4,0.3372977918795302,-0.14788805525913962,0.4851858471386698,false
primary,main σc=1.0 σs=0.20,airdrieonians,2021,21/22,T3,39,0.5848069099465043,-0.7235175948692683,1.3083245048157726,false
primary,main σc=1.0 σs=0.20,airdrieonians,2022,22/23,T3,38,0.7220463220183932,-0.5045605935017716,1.2266069155201649,false
primary,main σc=1.0 σs=0.20,airdrieonians,2023,23/24,T2,44,0.5591947667845034,-0.7610749059151181,1.3202696726996215,false
primary,main σc=1.0 σs=0.20,airdrieonians,2024,24/25,T2,42,0.44284983776671727,-0.5280482420671433,0.9708980798338606,false
primary,main σc=1.0 σs=0.20,airdrieonians,2025,25/26,T2,38,0.46340272411295386,-0.66100890842255,1.1244116325355038,false
primary,main σc=1.0 σs=0.20,airdrieonians,2026,26/27,T3,12,0.38804240085282304,-0.5739559415827586,0.9619983424355817,false
primary,main σc=1.0 σs=0.20,albion-rovers,2021,21/22,T4,41,0.0227237976830474,-0.12340758822662792,0.14613138590967534,false
primary,main σc=1.0 σs=0.20,albion-rovers,2022,22/23,T4,39,0.028052572391763647,-0.24601463299315363,0.27406720538491725,false
primary,main σc=1.0 σs=0.20,albion-rovers,2023,23/24,T5,6,0.11146777091260046,-0.2706593292506294,0.38212710016322987,false
primary,main σc=1.0 σs=0.20,albion-rovers,2024,24/25,T5,3,0.14970436910319068,0.02279288892637016,0.12691148017682052,false
primary,main σc=1.0 σs=0.20,albion-rovers,2025,25/26,T5,1,0.04520744420475419,-0.10829212144155112,0.15349956564630532,false
primary,main σc=1.0 σs=0.20,alloa-athletic,2021,21/22,T3,40,0.39644354787767144,-0.4165738469457526,0.8130173948234241,false
primary,main σc=1.0 σs=0.20,alloa-athletic,2022,22/23,T3,40,0.39963945785249383,-0.5208063636569877,0.9204458215094815,false
primary,main σc=1.0 σs=0.20,alloa-athletic,2023,23/24,T3,39,0.3755634731762528,-0.38321915072402307,0.758782623900276,false
primary,main σc=1.0 σs=0.20,alloa-athletic,2024,24/25,T3,40,0.42339154298204906,-0.5111307996457731,0.9345223426278222,false
primary,main σc=1.0 σs=0.20,alloa-athletic,2025,25/26,T3,43,0.41076474546019576,-0.5769073165886792,0.987672062048875,false
primary,main σc=1.0 σs=0.20,alloa-athletic,2026,26/27,T3,12,0.3036763646537176,-0.6558967866441939,0.9595731512979115,false
primary,main σc=1.0 σs=0.20,annan-athletic,2021,21/22,T4,41,0.3526227865879313,-0.20656885927403174,0.559191645861963,false
primary,main σc=1.0 σs=0.20,annan-athletic,2022,22/23,T4,40,0.3317685757004194,-0.21644740387815067,0.54821597957857,false
primary,main σc=1.0 σs=0.20,annan-athletic,2023,23/24,T3,39,0.3174907403051908,-0.13948054066967336,0.45697128097486417,false
primary,main σc=1.0 σs=0.20,annan-athletic,2024,24/25,T3,39,0.23520343694244622,-0.1308846967323677,0.3660881336748139,false
primary,main σc=1.0 σs=0.20,annan-athletic,2025,25/26,T4,44,0.25191221461800545,-0.19334573828896898,0.44525795290697445,false
primary,main σc=1.0 σs=0.20,annan-athletic,2026,26/27,T4,12,0.11318347145019031,-0.28267656130419333,0.39586003275438364,false
primary,main σc=1.0 σs=0.20,arbroath,2021,21/22,T2,41,0.6412646501049739,-0.9431666687031184,1.5844313188080923,false
primary,main σc=1.0 σs=0.20,arbroath,2022,22/23,T2,41,0.22674476695490492,-0.7430557767018218,0.9698005436567267,false
primary,main σc=1.0 σs=0.20,arbroath,2023,23/24,T2,39,0.41734710478280673,-0.26791469473832064,0.6852617995211274,false
primary,main σc=1.0 σs=0.20,arbroath,2024,24/25,T3,39,0.4330798943132391,-0.6459606078020841,1.079040502115323,false
primary,main σc=1.0 σs=0.20,arbroath,2025,25/26,T2,37,0.5161616035476109,-0.7573550971426313,1.2735167006902421,false
primary,main σc=1.0 σs=0.20,arbroath,2026,26/27,T2,7,0.3229454825016444,-0.6787828120448998,1.0017282945465442,false
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2021,21/22,T5,4,0.1553837720048724,-0.4317383589581615,0.5871221309630339,false
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2022,22/23,T5,3,0.12229820271628698,-0.38098138391817593,0.5032795866344629,false
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2023,23/24,T5,1,0.0860888243097282,-0.4320481265804704,0.5181369508901986,false
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2024,24/25,T5,2,0.07823273986261006,-0.43009289905050047,0.5083256389131106,false
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2025,25/26,T5,4,0.2117513112706063,-0.4995237393069936,0.7112750505776,false
primary,main σc=1.0 σs=0.20,ayr-united,2021,21/22,T2,40,0.4841570687680243,-0.6675965751498768,1.151753643917901,false
primary,main σc=1.0 σs=0.20,ayr-united,2022,22/23,T2,41,0.7255643455450864,-0.8631149253174135,1.5886792708625,false
primary,main σc=1.0 σs=0.20,ayr-united,2023,23/24,T2,41,0.6302085020352094,-0.6344305907300298,1.2646390927652393,false
primary,main σc=1.0 σs=0.20,ayr-united,2024,24/25,T2,42,0.8028180295214501,-0.8534191554168212,1.6562371849382713,false
primary,main σc=1.0 σs=0.20,ayr-united,2025,25/26,T2,38,0.4694043682760995,-0.7162777882294545,1.185682156505554,false
primary,main σc=1.0 σs=0.20,ayr-united,2026,26/27,T2,8,0.5720050875061049,-0.7066521717172517,1.2786572592233565,false
primary,main σc=1.0 σs=0.20,bala-town,2023,23/24,GUEST,1,-0.5697844043713438,0.08060804392711264,-0.6503924482984564,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2021,21/22,T5,4,0.28260070312940666,-0.26372025769212915,0.5463209608215358,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2022,22/23,T5,2,0.36635257275891653,-0.2015033654289176,0.5678559381878341,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2023,23/24,T5,2,0.3765115191043949,-0.21819448792580207,0.5947060070301969,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2024,24/25,T5,5,0.19222203877029698,-0.3556483410578427,0.5478703798281397,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2025,25/26,T5,3,0.35904948254794744,-0.3088643470879956,0.667913829635943,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2026,26/27,T5,4,0.21178765876550887,-0.13556636742696798,0.34735402619247685,false
primary,main σc=1.0 σs=0.20,beith-juniors-fc,2023,23/24,T5,2,0.14550427688504655,0.14336030630726768,0.0021439705777788753,false
primary,main σc=1.0 σs=0.20,benburb,2022,22/23,T5,2,-0.39094636218805506,0.11733769008690276,-0.5082840522749579,false
primary,main σc=1.0 σs=0.20,benburb,2025,25/26,T5,3,-0.43337282786850556,0.0483821717753822,-0.48175499964388774,false
primary,main σc=1.0 σs=0.20,berwick-rangers,2021,21/22,T5,2,-0.09353038588758655,0.2677115641978627,-0.36124195008544924,false
