cat,team,name,appearances,t5_sub,tournaments,seasons
B,rangers-b-u21,Rangers B U21,26,,1520,21/22–26/27
B,celtic-b-u21,Celtic B U21,17,,1520,21/22–26/27
B,aberdeen-b-u21,Aberdeen B U21,17,,1520,21/22–26/27
B,hibernian-b-u21,Hibernian B U21,16,,1520,21/22–26/27
B,kilmarnock-fc-b-u21,Kilmarnock FC B U21,16,,1520,22/23–26/27
B,dundee-b,Dundee B,15,,1520,21/22–26/27
B,heart-of-midlothian-b-u21,Heart of Midlothian B U21,15,,1520,21/22–26/27
B,dundee-united-b,Dundee United B U21,15,,1520,21/22–26/27
B,st-mirren-b-u21,St. Mirren B U21,14,,1520,21/22–26/27
B,motherwell-b-u21,Motherwell B U21,13,,1520,22/23–26/27
B,rangers-u21,Rangers U21,7,,1520,18/19–19/20
B,st-mirren-u21,St. Mirren U21,7,,1520,18/19–19/20
B,motherwell-u21,Motherwell U21,6,,1520,18/19–19/20
B,st-johnstone-b-u21,St. Johnstone B U21,6,,1520,21/22–24/25
B,hamilton-academical-u20,Hamilton Academical U20,5,,1520,16/17–18/19
B,celtic-u20,Celtic U20,4,,1520,16/17–17/18
B,motherwell-u20,Motherwell U20,4,,1520,16/17–17/18
B,aberdeen-u20,Aberdeen U20,4,,1520,16/17–17/18
B,partick-thistle-u20,Partick Thistle U20,4,,1520,16/17–17/18
B,heart-of-midlothian-u21,Heart of Midlothian U21,4,,1520,18/19–19/20
B,heart-of-midlothian-u20,Heart of Midlothian U20,4,,1520,16/17–17/18
B,ross-county-u20,Ross County U20,3,,1520,16/17–17/18
B,rangers-u20,Rangers U20,3,,1520,16/17–17/18
B,hamilton-academical-u21,Hamilton Academical U21,3,,1520,18/19–19/20
B,celtic-u21,Celtic U21,3,,1520,18/19–19/20
B,livingston-b-u21,Livingston B U21,3,,1520,22/23–23/24
B,st-johnstone-u20,St. Johnstone U20,2,,1520,16/17–17/18
B,kilmarnock-u20,Kilmarnock U20,2,,1520,16/17–17/18
B,dundee-u20,Dundee U20,2,,1520,16/17–17/18
B,dundee-u21,Dundee U21,2,,1520,18/19–18/19
B,kilmarnock-u21,Kilmarnock U21,2,,1520,18/19–19/20
B,livingston-u21,Livingston U21,2,,1520,18/19–18/19
B,st-johnstone-u21,St. Johnstone U21,2,,1520,18/19–19/20
B,hibernian-u21,Hibernian U21,2,,1520,18/19–19/20
B,ross-county-u21,Ross County U21,2,,1520,19/20–19/20
B,aberdeen-u21,Aberdeen U21,2,,1520,18/19–19/20
B,inverness-caledonian-thistle-u20,Inverness Caledonian Thistle U20,1,,1520,16/17–16/17
B,hibernian-u20,Hibernian U20,1,,1520,17/18–17/18
GUEST,the-new-saints,The New Saints,15,,1520,16/17–23/24
GUEST,connahs-quay-nomads,Connah's Quay Nomads,8,,1520,17/18–19/20
GUEST,crusaders-fc,Crusaders FC,6,,1520,16/17–18/19
GUEST,linfield-fc,Linfield,5,,1520,16/17–22/23
GUEST,sligo-rovers,Sligo Rovers,3,,1520,17/18–18/19
GUEST,coleraine-fc,Coleraine FC,3,,1520,18/19–23/24
GUEST,bohemian,Bohemian FC,3,,1520,18/19–19/20
GUEST,wrexham,Wrexham,3,,1520,19/20–19/20
GUEST,bala-town,Bala Town,2,,1520,16/17–23/24
GUEST,waterford-fc,Waterford FC,2,,1520,19/20–19/20
GUEST,solihull-moors,Solihull Moors,2,,1520,19/20–19/20
GUEST,cliftonville-fc,Cliftonville FC,2,,1520,22/23–23/24
GUEST,sutton-united,Sutton United,2,,1520,18/19–18/19
