window,tournament_id,competition,n_matches,first_season,last_season,senior_cross_tier,with_B_team,with_guest,with_T5,neutral,aet_or_pens,with_bbc_shots,with_pxg,with_sofa_1x2,with_betfair_1x2
primary 21/22–26/27,54,Premiership,1032,21/22,26/27,0,0,0,0,0,0,1003,607,1028,956
primary 21/22–26/27,55,Championship,925,21/22,26/27,0,0,0,0,0,0,855,545,924,479
primary 21/22–26/27,56,League One,933,21/22,26/27,0,0,0,0,0,0,907,553,932,840
primary 21/22–26/27,57,League Two,933,21/22,26/27,0,0,0,0,0,0,905,553,933,699
primary 21/22–26/27,73,Scottish Cup,520,21/22,25/26,230,0,0,336,17,72,354,182,365,0
primary 21/22–26/27,982,League Cup,87,21/22,26/27,35,0,0,0,16,13,85,57,84,0
primary 21/22–26/27,1520,Challenge Cup,368,21/22,26/27,146,171,13,101,5,38,359,248,366,0
long 08/09–26/27,54,Premiership,3911,08/09,26/27,0,0,0,0,0,0,1257,607,1226,956
long 08/09–26/27,55,Championship,3173,08/09,26/27,0,0,0,0,0,0,1006,545,1059,479
long 08/09–26/27,56,League One,2957,08/09,26/27,0,0,0,0,0,0,1041,553,1022,840
long 08/09–26/27,57,League Two,3137,08/09,26/27,0,0,0,0,0,0,1043,553,1023,699
long 08/09–26/27,73,Scottish Cup,1623,08/09,25/26,809,0,0,872,56,106,354,182,365,0
long 08/09–26/27,982,League Cup,490,08/09,26/27,306,0,0,0,55,47,85,57,84,0
long 08/09–26/27,1520,Challenge Cup,828,08/09,26/27,379,249,60,176,16,93,359,248,366,0
