gap,competition,N,hi_win_pct,draw_pct,upset_pct,mean_gd_hi,se_gd_hi,total_goals,n_shots,d_shots_hi,d_sot_hi,n_pxg,d_pxg_hi,n_mkt,mkt_hi_win_pct
1,Challenge Cup,107,55.140186915887845,20.5607476635514,24.299065420560748,0.794392523364486,0.17852345951266216,3.2242990654205608,105,2.0095238095238095,1.1333333333333333,82,0.4597850819712617,107,50.24140030638075
1,League Cup,28,71.42857142857143,17.857142857142858,10.714285714285714,1.7857142857142858,0.36135087104229247,3.2857142857142856,28,6.714285714285714,2.892857142857143,18,0.8250321071046471,28,63.642233892479716
1,Scottish Cup,145,60.0,17.24137931034483,22.758620689655174,0.8827586206896552,0.17078347976689515,2.924137931034483,142,4.401408450704225,2.352112676056338,84,1.0351307875150373,138,56.673469720170175
2,Challenge Cup,31,77.41935483870968,6.451612903225806,16.129032258064516,1.6129032258064515,0.37005497805677384,3.4838709677419355,31,6.225806451612903,2.838709677419355,24,1.1904618998008927,31,62.91775410314055
2,League Cup,4,100.0,0.0,0.0,2.0,0.408248290463863,4.0,4,10.75,6.5,3,1.1683678692906125,4,78.41927550368597
2,Scottish Cup,40,70.0,15.0,15.0,1.3,0.30424349222966557,2.95,38,8.289473684210526,4.0,21,1.5880946922384147,40,66.5502346077161
3,Challenge Cup,8,50.0,37.5,12.5,1.0,0.5976143046671968,3.75,7,5.285714285714286,2.142857142857143,5,0.8862826501411085,8,67.92229642665365
3,League Cup,3,33.33333333333333,33.33333333333333,33.33333333333333,1.0,1.5275252316519468,2.3333333333333335,3,10.333333333333334,3.6666666666666665,2,1.4675925849472868,3,77.95951414564271
3,Scottish Cup,37,94.5945945945946,2.7027027027027026,2.7027027027027026,2.5945945945945947,0.2859562206865564,3.081081081081081,36,10.305555555555555,5.111111111111111,21,1.976432156884859,36,75.99304476098747
4,Scottish Cup,8,87.5,0.0,12.5,3.125,0.7180703308172536,3.625,8,14.75,5.375,5,2.133284115862671,8,88.28102855891153
