gap,competition,N,hi_win_pct,draw_pct,upset_pct,mean_gd_hi,se_gd_hi,total_goals,n_shots,d_shots_hi,d_sot_hi,n_pxg,d_pxg_hi,n_mkt,mkt_hi_win_pct
1,Challenge Cup,256,51.5625,20.703125,27.734375,0.68359375,0.12545084710380597,3.18359375,105,2.0095238095238095,1.1333333333333333,82,0.4597850819712617,107,50.24140030638075
1,League Cup,190,64.73684210526316,20.0,15.263157894736842,1.3263157894736841,0.14488094393568698,3.094736842105263,28,6.714285714285714,2.892857142857143,18,0.8250321071046471,28,63.642233892479716
1,Scottish Cup,497,57.947686116700204,21.32796780684105,20.72434607645875,1.012072434607646,0.09701037424374798,3.096579476861167,142,4.401408450704225,2.352112676056338,84,1.0351307875150373,138,56.673469720170175
2,Challenge Cup,100,73.0,12.0,15.0,1.58,0.21138313150019394,3.4,31,6.225806451612903,2.838709677419355,24,1.1904618998008927,31,62.91775410314055
2,League Cup,96,76.04166666666666,13.541666666666666,10.416666666666668,1.96875,0.20436740489669708,3.59375,4,10.75,6.5,3,1.1683678692906125,4,78.41927550368597
2,Scottish Cup,182,69.78021978021978,20.32967032967033,9.89010989010989,1.6043956043956045,0.14256261583190735,3.4505494505494507,38,8.289473684210526,4.0,21,1.5880946922384147,40,66.5502346077161
3,Challenge Cup,23,65.21739130434783,13.043478260869565,21.73913043478261,1.434782608695652,0.4255946175461759,3.5217391304347827,7,5.285714285714286,2.142857142857143,5,0.8862826501411085,8,67.92229642665365
3,League Cup,20,70.0,15.0,15.0,2.15,0.5194886149403388,3.85,3,10.333333333333334,3.6666666666666665,2,1.4675925849472868,3,77.95951414564271
3,Scottish Cup,104,83.65384615384616,7.6923076923076925,8.653846153846153,2.4038461538461537,0.20655755895703992,3.5,36,10.305555555555555,5.111111111111111,21,1.976432156884859,36,75.99304476098747
4,Scottish Cup,26,92.3076923076923,3.8461538461538463,3.8461538461538463,2.9615384615384617,0.2960289446906747,3.576923076923077,8,14.75,5.375,5,2.133284115862671,8,88.28102855891153
