fit,family,term,coef,se_cluster2,se_match,se_model,z,p
primary,poisson,(Intercept),0.21519581231329873,0.05453614325447284,0.021691325586100978,0.021387777444163467,3.9459301569817042,7.94907841251517e-5
primary,poisson,comp: Scottish Cup,-0.06760992839887707,0.044832619655047375,0.04754942737965014,0.04823813382141663,-1.5080521486159768,0.1315411807728489
primary,poisson,comp: League Cup,0.09891931435281948,0.057708629737084204,0.0667762512218877,0.06734593047812988,1.7141164987539608,0.08650733227646094
primary,poisson,comp: Challenge Cup,0.06455051610670455,0.052989361793959876,0.05344583334111485,0.05063357629582413,1.2181787800671813,0.22315604163239525
primary,poisson,home,0.1850465951903947,0.021790012269379194,0.02224052511835386,0.019731672143179006,8.492266681760192,2.0264535011935917e-17
primary,poisson,home×cup,-0.024407719182138087,0.047164774484237275,0.05420251133257265,0.044568312537301875,-0.5174989056779076,0.6048079326486426
primary,poisson,g_T2,-0.0357374604015312,0.03396267249765018,0.013604844459317795,0.013528040906137065,-1.05225701552208,0.2926816471402962
primary,poisson,g_T3,0.02090012182808339,0.03598117335897369,0.012783580582538149,0.0131815639184657,0.5808627089386152,0.5613329870941283
primary,poisson,g_T4,-0.003548272183927321,0.030793889397987887,0.013031236248151739,0.013344676252313234,-0.11522650283205764,0.9082655923606306
primary,poisson,g_T5,0.17560973718354814,0.04164244107298636,0.026769099769440294,0.027971312187027482,4.217085566039666,2.4748008622950804e-5
primary,poisson,θ_T2,-0.8005879090238913,0.11870800126899887,0.12933960554076454,0.11901082456204425,-6.744178155352098,1.5389561436326684e-11
primary,poisson,θ_T3,-1.28928708933763,0.13850018885103071,0.13856657837361427,0.13993600155968483,-9.30891935984559,1.2913951854798588e-20
primary,poisson,θ_T4,-1.7288576190675116,0.13178614965269372,0.13311479273443844,0.14129965089065916,-13.118659461739373,2.5744865514126418e-39
primary,poisson,θ_T5,-2.1791404010034006,0.1420003821264934,0.1440960607040942,0.14402452007486677,-15.346017865376098,3.7660559122389285e-53
primary,negbin,(Intercept),0.21513311588870912,0.054557908633998155,0.021694621623464277,0.022782782504781326,3.943206792106532,8.039927212745122e-5
primary,negbin,comp: Scottish Cup,-0.0701758022209697,0.04487060279311605,0.04766870233080343,0.05165196762944766,-1.5639594267214951,0.11782709705989342
primary,negbin,comp: League Cup,0.09592873371541065,0.05786317623821409,0.06675126009010159,0.07259268371284334,1.6578546141415798,0.09734681478444633
primary,negbin,comp: Challenge Cup,0.06587702668210903,0.053222386871585405,0.05357789817735133,0.05442797234605812,1.237769114734682,0.21580168352877194
primary,negbin,home,0.1850879558550169,0.021777248655416952,0.02223878613979316,0.02104675252467556,8.499143247325572,1.909950925950862e-17
primary,negbin,home×cup,-0.02561297378527412,0.047167000851173715,0.054287100712565435,0.04819023098946805,-0.543027398881919,0.5871109379886079
primary,negbin,g_T2,-0.035869847874932456,0.03401254913596633,0.0136104541910093,0.014426123632087985,-1.0546062787455743,0.2916054310036305
primary,negbin,g_T3,0.021008500421811564,0.03600232541793001,0.012788484422606558,0.014102068333015229,0.5835317629607568,0.5595353811453454
primary,negbin,g_T4,-0.003443850414589196,0.030796033045269112,0.013035653051350916,0.014256459673303098,-0.111827728250806,0.9109600014503905
primary,negbin,g_T5,0.17720992413227776,0.04157037816423175,0.02677763165051981,0.03011613080360903,4.26288939283102,2.0180042005901856e-5
primary,negbin,θ_T2,-0.8180896920778358,0.11960450048541138,0.13020341947887024,0.12914639482932355,-6.839957432685581,7.92167155835e-12
primary,negbin,θ_T3,-1.3248144594679836,0.1388093896694161,0.140056946759443,0.15246707197888199,-9.544127112892854,1.3725858721981843e-21
primary,negbin,θ_T4,-1.7676704834343284,0.13258954044494972,0.1343346925411166,0.15444698642988594,-13.331899918366888,1.5100244012388717e-40
primary,negbin,θ_T5,-2.222302778471391,0.14406289478339954,0.14627101113480828,0.15825075857920515,-15.425920614830435,1.0958132424124774e-53
long,poisson,(Intercept),0.19052411222900686,0.02824008967203334,0.011404911516704893,0.011139627617718176,6.7465831178888305,1.513673711959363e-11
long,poisson,comp: Scottish Cup,-0.010937713408860688,0.023648594461540037,0.02494007173406462,0.024453091434776655,-0.4625100839142389,0.6437155726478873
long,poisson,comp: League Cup,0.08620095118933603,0.030275719017158996,0.03016958525471888,0.02929026410685873,2.84719748985915,0.004410599106750065
long,poisson,comp: Challenge Cup,0.017810312516257226,0.030668632110021382,0.030297905683692773,0.029026063533520975,0.5807338407648599,0.5614198503666176
long,poisson,home,0.16812623396095525,0.01072901568866425,0.011717786606157772,0.010509076989545356,15.670238430035026,2.4167110114203628e-55
long,poisson,home×cup,0.008014777121863553,0.02605950348775045,0.028617936803197113,0.024172630735496393,0.30755678540195464,0.7584196074472392
long,poisson,g_T2,0.002734412084715906,0.0181748236001165,0.00717456850727326,0.007048474491640579,0.15045054328331298,0.8804091672566363
long,poisson,g_T3,0.054220316339314734,0.01879788063240794,0.006964541466993268,0.007012183127851424,2.8843845431084274,0.003921795369315774
long,poisson,g_T4,0.042089462744064256,0.017597004429572388,0.006935696873717517,0.006946925948584881,2.391853847199778,0.01676351627514822
long,poisson,g_T5,0.16181883009826598,0.02224417703195977,0.015650147229188494,0.015758063872512728,7.274660234261287,3.47293429326866e-13
long,poisson,θ_T2,-0.6456367395066421,0.06387830085062567,0.05985079000424944,0.05630645630818274,-10.107293570885869,5.1281338787087824e-24
long,poisson,θ_T3,-1.2715171520417865,0.07339928760048536,0.06661010095460204,0.06456463890197749,-17.323290097346646,3.138871016469901e-67
long,poisson,θ_T4,-1.6454955431792542,0.07464862622324085,0.07085976363072481,0.06823230702122032,-22.043212667548744,1.1097657589367183e-107
long,poisson,θ_T5,-2.1157734018680725,0.08108423200359863,0.07711815653829389,0.07335841881261852,-26.09352459272441,4.318072950831173e-150
long,negbin,(Intercept),0.19081934639882692,0.02825215218228161,0.011403157523471904,0.011831580813268685,6.754152574560306,1.4367249841346489e-11
long,negbin,comp: Scottish Cup,-0.013247367358430252,0.02365596190755028,0.024930588413026315,0.026201808506378484,-0.5600012128106313,0.5754786104504186
long,negbin,comp: League Cup,0.0818194338505272,0.030340032097360435,0.030225332196982726,0.031561775417400975,2.696748427555073,0.0070020146870093
long,negbin,comp: Challenge Cup,0.01914773478820194,0.03070439773155613,0.03026579951456895,0.031192549762627454,0.6236153842067729,0.5328802048507034
long,negbin,home,0.1682366792627317,0.010728203285188294,0.011718771608667052,0.011203292944316672,15.681719929282542,2.0171733573808967e-55
long,negbin,home×cup,0.008135605487376279,0.026099170316531386,0.02864452727100856,0.026126924096197948,0.3117189316253143,0.7552541389996982
long,negbin,g_T2,0.00248889663410384,0.018196501115970556,0.007173528869460823,0.007504982236474524,0.1367788575529724,0.891205595788826
long,negbin,g_T3,0.05401862657673661,0.018805884589633483,0.006963133184819232,0.007490648253193415,2.8724321006688367,0.004073255996293995
long,negbin,g_T4,0.04183877494820813,0.01759852450164376,0.006934952862685214,0.0074148550409409205,2.3774024319084397,0.01743505479483291
long,negbin,g_T5,0.163230770599969,0.022209778578166552,0.015630049114240846,0.016994198396685044,7.349500132362144,1.9894945728926488e-13
long,negbin,θ_T2,-0.6601548965375612,0.06440666119311036,0.060057370605631495,0.0611066798917289,-10.249792246771186,1.1859817328264653e-24
long,negbin,θ_T3,-1.294867058834847,0.07377315219203467,0.06714582892803399,0.07031299950652252,-17.55200937414539,5.741238975648454e-69
long,negbin,θ_T4,-1.6680566530455325,0.0753286197463808,0.07147026024529927,0.07442884964467616,-22.143730479353103,1.1989131341215268e-108
long,negbin,θ_T5,-2.1477471641238366,0.08235791212299541,0.07828812321641732,0.08053735552544078,-26.07821287305506,6.441838604739661e-150
long_oldfirm_split,poisson,(Intercept),0.1437897270819398,0.019991094989599698,0.012711154744240866,0.012631863561791655,7.192688902571167,6.352758221356722e-13
long_oldfirm_split,poisson,comp: Scottish Cup,0.001046883951249229,0.02452804535022592,0.02460735299455493,0.024282806709419832,0.04268109979010564,0.9659557460213807
long_oldfirm_split,poisson,comp: League Cup,0.10228176015802042,0.029815583898687856,0.029758451515626436,0.029127207835447887,3.4304798626640913,0.0006025146922167012
long_oldfirm_split,poisson,comp: Challenge Cup,0.01848026102101837,0.030445234354606075,0.030165569649573055,0.028933677484049843,0.6070001237557392,0.5438508300112204
long_oldfirm_split,poisson,home,0.16828511338336277,0.01075315007167893,0.011339438020216228,0.010509077252518782,15.649843279559827,3.330386546567184e-55
long_oldfirm_split,poisson,home×cup,0.005936544545066307,0.025601414190024575,0.027991134194454224,0.02417501124849818,0.23188346163234386,0.8166285301719519
