era,old_firm_split,n_matches,step,tau,se,lo95,hi95,rate_ratio,d_attack,se_attack,d_concede,se_concede
08/09–13/14,false,5503,T1→T2,0.6057035443109323,0.09264486311313753,0.42411961260918274,0.7872874760126819,1.832541029277183,0.28023821186265724,0.05290839636087046,-0.3254653324482751,0.057406616625614346
08/09–13/14,false,5503,T2→T3,0.7335626728615064,0.1080196775473602,0.5218441048686805,0.9452812408543324,2.0824866258169554,0.30267489524880387,0.05991987631957542,-0.4308877776127026,0.06191218855803911
08/09–13/14,false,5503,T3→T4,0.33148075972037083,0.11686060372026505,0.10243397642865135,0.5605275430120903,1.393029343746385,0.17916379108803926,0.06431794398773032,-0.15231696863233157,0.06529652079991904
08/09–13/14,false,5503,T4→T5,0.7190971593051176,0.12041573501516256,0.483082318675399,0.9551119999348363,2.0525792217906282,0.27484014254230615,0.07706944757804009,-0.4442570167628115,0.06987629380122207
08/09–13/14,true,5503,T0→T1,1.0051948094179026,0.08878636383661699,0.8311735362981333,1.1792160825376719,2.732439525933786,0.4802806676385487,0.06364233557135181,-0.5249141417793539,0.06791038970597417
08/09–13/14,true,5503,T1→T2,0.18851317901782455,0.12322537848611789,-0.05300856281496652,0.4300349208506156,1.207452995926312,0.053899392300344975,0.0652439657489681,-0.1346137867174796,0.0680663479448751
08/09–13/14,true,5503,T2→T3,0.6988308682609947,0.1019836739932202,0.49894286723428316,0.8987188692877063,2.0113997409975735,0.28831551952064366,0.05737321091340806,-0.410515348740351,0.05786156099169797
08/09–13/14,true,5503,T3→T4,0.22032216667055615,0.13616063594817313,-0.04655267978786315,0.48719701312897545,1.246478239651878,0.12450880111426588,0.07174245011309456,-0.09581336555629033,0.07402229562859206
08/09–13/14,true,5503,T4→T5,0.7670651643035038,0.11768705022024599,0.5363985458718217,0.9977317827351859,2.153436986909367,0.30480695165332783,0.07611175285799623,-0.46225821265017597,0.06723141995345851
14/15–19/20,false,5099,T1→T2,0.5629115009115485,0.12812242355235162,0.31179155074893933,0.8140314510741578,1.7557770121661749,0.27754700210210537,0.07310078436408124,-0.28536449880944315,0.07072629145862977
14/15–19/20,false,5099,T2→T3,0.6538482032254808,0.11660532175159917,0.42530177259234636,0.8823946338586152,1.9229264209257266,0.2855505980095083,0.0718651960349017,-0.36829760521597243,0.060794046659052636
14/15–19/20,false,5099,T3→T4,0.30283943966189386,0.13129898479299304,0.04549342946762752,0.5601854498561603,1.3536970969288784,0.15642149059656318,0.07504527633992499,-0.14641794906533068,0.06948420093691181
14/15–19/20,false,5099,T4→T5,0.29031174670247206,0.1206091399645843,0.053917832371886826,0.5267056610330573,1.3368441798357313,0.03696779339938794,0.07381991389059665,-0.2533439533030841,0.0640057889069425
14/15–19/20,true,5099,T0→T1,1.0959774745219466,0.10922968720827696,0.8818872875937238,1.3100676614501694,2.9921059617901458,0.5567165045709442,0.05510779629209829,-0.5392609699510024,0.10594653563669701
14/15–19/20,true,5099,T1→T2,0.17286253975402768,0.12999095834663574,-0.08191973860537835,0.4276448181134337,1.1887026944882868,0.06925929233370663,0.07554816360616931,-0.10360324742032105,0.06549074924563718
14/15–19/20,true,5099,T2→T3,0.6412819134922934,0.1103779145760268,0.4249412009232808,0.8576226260613059,1.8989135626436697,0.27207617194604006,0.06858488116890195,-0.3692057415462533,0.05794302221940689
14/15–19/20,true,5099,T3→T4,0.3249439564226074,0.1272873496876373,0.07546075103483832,0.5744271618103766,1.383953082125628,0.1673352519054831,0.07360823079598222,-0.15760870451712433,0.06720703188458026
14/15–19/20,true,5099,T4→T5,0.30219317888749475,0.12065440227356675,0.06571055043130394,0.5386758073436856,1.3528225382216474,0.042808924351037336,0.07353857461741396,-0.2593842545364574,0.06449563027632968
20/21–26/27,false,5217,T1→T2,0.8240266985974503,0.11063716971263518,0.6071778459606854,1.0408755512342152,2.279660888060031,0.43259156372712687,0.06861282684604127,-0.3914351348703234,0.05854111643043003
20/21–26/27,false,5217,T2→T3,0.4697162321357786,0.10816942160160899,0.25770416579662503,0.6817282984749322,1.5995402306954183,0.19041415087545216,0.06195393256088381,-0.27930208126032646,0.06199208081896209
20/21–26/27,false,5217,T3→T4,0.47019763341307796,0.10459505863350228,0.26519131849141353,0.6752039483347424,1.6003104367797887,0.2522060235945449,0.05847341624663445,-0.21799160981853305,0.059809206903604833
20/21–26/27,false,5217,T4→T5,0.4775542431887767,0.09585727229667404,0.2896739894872956,0.6654344968902578,1.612126706735649,0.05653778353400862,0.06225287652910619,-0.4210164596547681,0.05162976200581703
20/21–26/27,true,5217,T0→T1,1.1835888021009966,0.08529721031778414,1.0164062698781398,1.3507713343238534,3.2660744903166616,0.6323356142712226,0.055785711375464384,-0.551253187829774,0.06883324191520349
20/21–26/27,true,5217,T1→T2,0.5400626425445455,0.11213836814458858,0.3202714409811519,0.7598538441079391,1.7161143605881148,0.25541764613760903,0.06304654522558892,-0.28464499640693647,0.05938073289967916
20/21–26/27,true,5217,T2→T3,0.451175578291069,0.10753993770379784,0.24039730039162527,0.6619538561905127,1.570156943365253,0.18164494776811224,0.061569007439684895,-0.2695306305229568,0.06185414861640231
20/21–26/27,true,5217,T3→T4,0.47725291214770227,0.10353279231925841,0.2743286392019558,0.6801771850934487,1.6116409961002855,0.2554589293256406,0.05812694909458321,-0.2217939828220617,0.059216767722244754
20/21–26/27,true,5217,T4→T5,0.46693725303650657,0.09735174105263814,0.27612784057333584,0.6577466654996773,1.5951013125130087,0.04901940324348719,0.06284227205652543,-0.4179178497930194,0.05224905067138777
