season,pair,bottom_upper,theta_bottom_upper,top_lower,theta_top_lower,gap
21/22,T1/T2,dundee-fc,1.5480756793283583,kilmarnock,1.7738198415944333,-0.22574416226607497
21/22,T2/T3,queen-of-the-south,0.9098337639212,cove-rangers,1.392297897906638,-0.4824641339854381
21/22,T3/T4,east-fife,0.22841459160555766,kelty-hearts-fc,0.9245281170033554,-0.6961135253977977
22/23,T1/T2,ross-county,1.4759767141766171,dundee-fc,1.8756521138893891,-0.399675399712772
22/23,T2/T3,cove-rangers,0.8074918363309095,dunfermline-athletic,1.6054287643738059,-0.7979369280428964
22/23,T3/T4,peterhead,-0.19769823071764095,stirling-albion,0.7408017937217597,-0.9385000244394006
23/24,T1/T2,livingston,1.3403582714365356,dundee-united,2.1435714079824564,-0.8032131365459207
23/24,T2/T3,arbroath,0.6852617995211274,falkirk-fc,1.744458306260532,-1.0591965067394047
23/24,T3/T4,edinburgh-city-fc,-0.06731589994829058,stenhousemuir,0.8037693378782217,-0.8710852378265123
24/25,T1/T2,ross-county,1.4884671846583637,falkirk-fc,1.9616689184850173,-0.47320173382665365
24/25,T2/T3,airdrieonians,0.9708980798338606,inverness-caledonian-thistle,1.0953035587044533,-0.12440547887059272
24/25,T3/T4,annan-athletic,0.3660881336748139,east-fife,0.6654750090337065,-0.2993868753588926
25/26,T1/T2,livingston,1.477989653941053,st-johnstone,2.0133468845477913,-0.5353572306067382
25/26,T2/T3,greenock-morton,0.9662726156166623,inverness-caledonian-thistle,1.597669545416145,-0.6313969297994826
25/26,T3/T4,kelty-hearts-fc,0.3497803429264836,the-spartans-fc,0.8072511610887327,-0.45747081816224916
26/27,T3/T4,queen-of-the-south,0.373312740757758,elgin-city,0.6128202684630971,-0.23950752770533912
