window,spec,old_firm,step,tau,d_attack,d_concede,pooled_within_sd
long,main σc=1.0 σs=0.20,incl,T1→T2,0.6077877511752967,0.28555648711403714,-0.3222312640612589,0.4363817694892499
long,main σc=1.0 σs=0.20,incl,T2→T3,0.5452032543282556,0.22895531996123925,-0.31624793436701654,0.3755224110495085
long,main σc=1.0 σs=0.20,incl,T3→T4,0.31991416259759475,0.15734982394565278,-0.16256433865194206,0.3402761194010499
long,main σc=1.0 σs=0.20,incl,T4→T5,0.5847608049361125,0.2444078598180578,-0.3403529451180547,0.477235147472554
primary,independent σc=0.01 σs=1.0,incl,T1→T2,0.34255724640870466,0.17994128520448693,-0.16261596120421806,0.4990381298389272
primary,independent σc=0.01 σs=1.0,incl,T2→T3,0.46728546904976775,0.19789707620814925,-0.2693883928416183,0.47378001589846236
primary,independent σc=0.01 σs=1.0,incl,T3→T4,0.24582565835512782,0.1126794927160395,-0.13314616563908843,0.44338425680632015
primary,independent σc=0.01 σs=1.0,incl,T4→T5,0.21502700975478933,0.06363751295530808,-0.15138949679948124,0.45333240048481604
primary,main σc=1.0 σs=0.20,incl,T1→T2,0.679891385015059,0.35024290019343585,-0.32964848482162235,0.42456197879534435
primary,main σc=1.0 σs=0.20,incl,T2→T3,0.5416798108954429,0.22363841173341736,-0.31804139916202634,0.3704047519504884
primary,main σc=1.0 σs=0.20,incl,T3→T4,0.42232872147470396,0.2135354742186104,-0.20879324725609327,0.3325829973494319
primary,main σc=1.0 σs=0.20,incl,T4→T5,0.5408887203771053,0.20768325698801646,-0.33320546338908885,0.4170799507224567
primary,σc=1.0 σs=0.10,incl,T1→T2,0.7205072352436797,0.37021250055110355,-0.35029473469257566,0.39236103735432215
primary,σc=1.0 σs=0.10,incl,T2→T3,0.5131244399743945,0.20612368918250928,-0.30700075079188516,0.3189068053244875
primary,σc=1.0 σs=0.10,incl,T3→T4,0.4296396858796321,0.22564767259288093,-0.20399201328675132,0.28760077889368324
primary,σc=1.0 σs=0.10,incl,T4→T5,0.5386384688948895,0.20432932679083432,-0.3343091421040549,0.40794604128466344
primary,σc=1.0 σs=0.35,incl,T1→T2,0.6363509589489396,0.32835268408546636,-0.30799827486347275,0.452270812921185
primary,σc=1.0 σs=0.35,incl,T2→T3,0.5852999798002004,0.2498446680965825,-0.33545531170361775,0.41432105106529615
primary,σc=1.0 σs=0.35,incl,T3→T4,0.41483048641322806,0.20302452609267854,-0.21180596032054938,0.37894444205976247
primary,σc=1.0 σs=0.35,incl,T4→T5,0.5537256127022733,0.21682816553839143,-0.336897447163882,0.4348257895732051
long,main σc=1.0 σs=0.20,excl,T1→T2,0.4431932025396894,0.20058381303121864,-0.2426093895084701,0.3106270295175965
long,main σc=1.0 σs=0.20,excl,T2→T3,0.5435150006593658,0.2264394822398212,-0.3170755184195451,0.3568873670284696
long,main σc=1.0 σs=0.20,excl,T3→T4,0.3179995469309826,0.15667844350309226,-0.16132110342789036,0.3190042092937224
long,main σc=1.0 σs=0.20,excl,T4→T5,0.576865857460661,0.2413213456042641,-0.33554451185639694,0.471195986583344
primary,independent σc=0.01 σs=1.0,excl,T1→T2,0.15009155913625272,0.07105864049617122,-0.07903291864008222,0.3952730594732751
primary,independent σc=0.01 σs=1.0,excl,T2→T3,0.46728546904976775,0.19789707620814925,-0.2693883928416183,0.47378001589846236
primary,independent σc=0.01 σs=1.0,excl,T3→T4,0.24582565835512782,0.1126794927160395,-0.13314616563908843,0.44338425680632015
primary,independent σc=0.01 σs=1.0,excl,T4→T5,0.21502700975478933,0.06363751295530808,-0.15138949679948124,0.45333240048481604
primary,main σc=1.0 σs=0.20,excl,T1→T2,0.48856209629250125,0.24424039467499525,-0.24432170161750522,0.298826448291214
primary,main σc=1.0 σs=0.20,excl,T2→T3,0.5416798108954429,0.22363841173341736,-0.31804139916202634,0.3704047519504884
primary,main σc=1.0 σs=0.20,excl,T3→T4,0.42232872147470396,0.2135354742186104,-0.20879324725609327,0.3325829973494319
primary,main σc=1.0 σs=0.20,excl,T4→T5,0.5408887203771053,0.20768325698801646,-0.33320546338908885,0.4170799507224567
primary,σc=1.0 σs=0.10,excl,T1→T2,0.5301209452721685,0.265024578603709,-0.2650963666684597,0.2538479415370215
primary,σc=1.0 σs=0.10,excl,T2→T3,0.5131244399743945,0.20612368918250928,-0.30700075079188516,0.3189068053244875
primary,σc=1.0 σs=0.10,excl,T3→T4,0.4296396858796321,0.22564767259288093,-0.20399201328675132,0.28760077889368324
primary,σc=1.0 σs=0.10,excl,T4→T5,0.5386384688948895,0.20432932679083432,-0.3343091421040549,0.40794604128466344
primary,σc=1.0 σs=0.35,excl,T1→T2,0.44379081869443415,0.2212462388555254,-0.2225445798389084,0.33527905079703624
primary,σc=1.0 σs=0.35,excl,T2→T3,0.5852999798002004,0.2498446680965825,-0.33545531170361775,0.41432105106529615
primary,σc=1.0 σs=0.35,excl,T3→T4,0.41483048641322806,0.20302452609267854,-0.21180596032054938,0.37894444205976247
primary,σc=1.0 σs=0.35,excl,T4→T5,0.5537256127022733,0.21682816553839143,-0.336897447163882,0.4348257895732051
