window,spec,old_firm,cat,club_seasons,theta_mean,theta_sd,theta_p10,theta_p50,theta_p90,a_mean,a_sd,d_mean,d_sd
long,main σc=1.0 σs=0.20,incl,T1,216,1.8395156448635048,0.495729857699131,1.3660567919296562,1.7162309245968586,2.7388102846978537,0.8226807773140076,0.2671076948627359,-1.016834867549497,0.2555575199549447
long,main σc=1.0 σs=0.20,incl,T2,180,1.2317278936882081,0.3675731296908643,0.7708447553148069,1.2435422174241504,1.6655682098811946,0.5371242901999704,0.1937150049192362,-0.694603603488238,0.20804599573993682
long,main σc=1.0 σs=0.20,incl,T3,180,0.6865246393599526,0.38330687018384524,0.2646573212418389,0.6212004397362715,1.1919049060175304,0.3081689702387312,0.19000144871357655,-0.3783556691212215,0.23292457629846677
long,main σc=1.0 σs=0.20,incl,T4,190,0.3666104767623578,0.29094933947190876,0.025513201706006853,0.36688312362182596,0.6811225074777505,0.1508191462930784,0.16824768270826776,-0.21579133046927942,0.1838135838877281
long,main σc=1.0 σs=0.20,incl,T5,415,-0.21815032817375465,0.6089788615602029,-1.0321683291957273,-0.18002700103098576,0.5732862389947629,-0.0935887135249794,0.32243478628954747,0.1245616146487753,0.3326920095530836
primary,independent σc=0.01 σs=1.0,incl,T1,60,1.1732849612809737,0.5657758860329921,0.5600013111854745,1.0928517091231513,1.956335270635527,0.5317387013306922,0.3318535284639643,-0.6415462599502817,0.27750639696864415
primary,independent σc=0.01 σs=1.0,incl,T2,50,0.830727714872269,0.42187173032789316,0.33121107086233825,0.7467702686229347,1.4180720122547572,0.3517974161262053,0.22630132378706186,-0.47893029874606363,0.24163812572571436
primary,independent σc=0.01 σs=1.0,incl,T3,60,0.3634422458225013,0.5205374627052733,-0.20403705786924944,0.34515975451325065,1.1122430744635008,0.15390033991805604,0.2618931332557311,-0.20954190590444532,0.3256232820051247
primary,independent σc=0.01 σs=1.0,incl,T4,60,0.11761658746737345,0.3495996972077377,-0.35574803255920073,0.14021370158724455,0.5678625958490375,0.04122084720201655,0.23649484614297062,-0.07639574026535688,0.20259209499253483
primary,independent σc=0.01 σs=1.0,incl,T5,176,-0.09741042228741588,0.5374016955415283,-0.7103478501921063,-0.0983391380008464,0.6267304329856613,-0.022416665753291525,0.3776628447206567,0.07499375653412436,0.3713107745109543
primary,main σc=1.0 σs=0.20,incl,T1,60,2.0286555351011435,0.5042743410193229,1.543237096947657,1.851222103266638,2.8451648666213263,0.9120611405992007,0.29364805321036413,-1.1165943945019425,0.23640002538981725
primary,main σc=1.0 σs=0.20,incl,T2,50,1.3487641500860845,0.32590356958272865,0.9694477508527203,1.3506174379854183,1.784003068823929,0.5618182404057649,0.17385444623070417,-0.7869459096803202,0.18667776965911786
primary,main σc=1.0 σs=0.20,incl,T3,60,0.8070843391906416,0.41010513757845224,0.3477723206155093,0.7929549533090623,1.3405428511411206,0.3381798286723475,0.20302583549751482,-0.46890451051829385,0.24743760816158447
