window,spec,team,season,move,from,to,d_theta_vs_new_tier,d_a_vs_new_tier,d_d_vs_new_tier,d_theta_vs_old_tier,own_theta_change,own_a_change,own_d_change
primary,main σc=1.0 σs=0.20,airdrieonians,23/24,promoted,T3,T2,0.036502385440538854,-0.030707164831774936,-0.06720955027231401,0.4335891634085751,0.0936627571794566,-0.16285155523388983,-0.25651431241334643
primary,main σc=1.0 σs=0.20,airdrieonians,26/27,relegated,T2,T3,0.19734438315422875,0.09793416907045815,-0.09941021408377049,-0.19737061062121075,-0.16241329009992211,-0.07536032326013081,0.08705296683979136
primary,main σc=1.0 σs=0.20,annan-athletic,23/24,promoted,T4,T3,-0.27102145333377103,-0.015239177622188071,0.255782275711583,0.16063673852263394,-0.09124469860370588,-0.014277835395228589,0.07696686320847732
primary,main σc=1.0 σs=0.20,annan-athletic,25/26,relegated,T3,T4,-0.005579630038677508,0.09246143137321572,0.09804106141189325,-0.4198018900446793,0.07916981923216054,0.016708777675559228,-0.06246104155660129
primary,main σc=1.0 σs=0.20,arbroath,24/25,relegated,T2,T3,0.3529200156338207,0.13344699064670212,-0.21947302498711868,-0.6809869921140665,0.3937787025941957,0.01573278953043239,-0.37804591306376345
primary,main σc=1.0 σs=0.20,arbroath,25/26,promoted,T3,T2,0.015279103637655611,0.012668042327585893,-0.0026110613100698288,0.29315047839582986,0.19447619857491905,0.08308170923437175,-0.11139448934054719
primary,main σc=1.0 σs=0.20,clyde-fc,23/24,relegated,T3,T4,-0.1295630555295526,0.061148300557158336,0.19071135608671094,-0.5694403538850612,0.02130158882461025,0.09959956401330917,0.07829797518869891
primary,main σc=1.0 σs=0.20,cove-rangers,22/23,promoted,T3,T2,-0.5415306712053315,-0.1519218658143685,0.3896088053909631,0.5697655296829401,-0.5848060615757286,-0.22170482279708537,0.3631012387786431
primary,main σc=1.0 σs=0.20,cove-rangers,23/24,relegated,T2,T3,-0.01960454022361069,0.020030257674358676,0.039634797897969365,-0.5449391407747085,-0.09910364224588497,-0.05431513579767133,0.04478850644821358
primary,main σc=1.0 σs=0.20,dumbarton,22/23,relegated,T3,T4,0.10516885004442877,0.023441692063922964,-0.08172715798050578,-0.36368434559198803,0.039945859795310734,-0.14263400448158256,-0.18257986427689327
primary,main σc=1.0 σs=0.20,dumbarton,24/25,promoted,T4,T3,-0.2329451588234175,0.04232736415131605,0.27527252297473354,0.1652537178313278,-0.08951339181637552,0.033035504185070175,0.1225488960014457
primary,main σc=1.0 σs=0.20,dumbarton,25/26,relegated,T3,T4,-0.1211471036428386,-0.027320438530712643,0.09382666511212598,-0.2927146960614083,-0.16348484835527155,-0.20982992310377596,-0.04634507474850438
primary,main σc=1.0 σs=0.20,dundee-fc,22/23,relegated,T1,T2,0.5266296063531481,0.3604943715733576,-0.16613523477979042,-0.5057799518530715,0.3275764345610308,0.24423030007922608,-0.08334613448180483
primary,main σc=1.0 σs=0.20,dundee-fc,23/24,promoted,T2,T1,-0.2282702158213128,0.03323135030686275,0.26150156612817566,0.5232211367837711,-0.09252008656567656,-0.008311993833601483,0.08420809273207508
primary,main σc=1.0 σs=0.20,dundee-united,23/24,relegated,T1,T2,0.8598041207233738,0.3385573844263673,-0.5212467362970066,-0.32368620846093266,0.47230731294920636,0.18516017150114739,-0.28714714144805886
primary,main σc=1.0 σs=0.20,dundee-united,24/25,promoted,T2,T1,-0.05814377537733817,-0.17075374266856747,-0.11260996729122885,0.7773226163472624,-0.14447978049038657,-0.13484154015505245,0.009638240335334114
primary,main σc=1.0 σs=0.20,dunfermline-athletic,22/23,relegated,T2,T3,0.8917758268685002,0.23167679842483663,-0.6600990284436634,-0.24854544079130392,0.5469606815716217,0.1716713005483551,-0.3752893810232665
primary,main σc=1.0 σs=0.20,dunfermline-athletic,23/24,promoted,T3,T2,-0.07149146240279936,-0.15722498909675248,-0.08573352669395329,0.8124110122622161,-0.3931529395175226,-0.1138052545712363,0.27934768494628626
primary,main σc=1.0 σs=0.20,east-fife,22/23,relegated,T3,T4,0.09264451604746571,0.09131496552228605,-0.0013295505251796902,-0.5941177766181402,0.2578549568244999,0.2126948933516792,-0.0451600634728207
primary,main σc=1.0 σs=0.20,east-fife,25/26,promoted,T4,T3,-0.5182252792373234,-0.20280636592770612,0.3154189133096173,0.3605938693890712,-0.2518840534143606,-0.13246652139159315,0.11941753202276745
primary,main σc=1.0 σs=0.20,east-kilbride,26/27,promoted,T4,T3,0.09782675896595505,0.328004497200868,0.230177738234913,0.3318267195826951,0.05702752839660774,0.0875139851283695,0.030486456731761757
primary,main σc=1.0 σs=0.20,edinburgh-city-fc,22/23,promoted,T4,T3,-0.049211026200235874,0.0599749460924342,0.10918597229267013,-0.11298920927597211,0.41141074042271475,0.3311590869410926,-0.08025165348162216
primary,main σc=1.0 σs=0.20,edinburgh-city-fc,24/25,relegated,T3,T4,0.08883310211075185,0.12237959342833286,0.03354649131758097,-0.7851850287980264,0.45555746694975585,0.09394454393430497,-0.3616129230154509
primary,main σc=1.0 σs=0.20,falkirk-fc,24/25,promoted,T3,T2,0.6681742876361327,0.4475832214692079,-0.22059106616692492,1.0265891774107962,0.21721061222448523,0.16185621774677106,-0.055354394477714064
primary,main σc=1.0 σs=0.20,falkirk-fc,25/26,promoted,T2,T1,-0.2778258679831258,-0.10698956724565112,0.17083630073747436,0.5653237035456058,-0.11256211892007162,-0.10357415030514405,0.008987968614927566
primary,main σc=1.0 σs=0.20,hamilton-academical,23/24,relegated,T2,T3,0.6043403738012003,0.21680867898919293,-0.38753169481200733,-0.3917944852896198,0.3716966162938373,0.2340231909802189,-0.13767342531361837
primary,main σc=1.0 σs=0.20,hamilton-academical,24/25,promoted,T3,T2,-0.30160416439240034,-0.07398263864857169,0.22762152574382843,0.6144639792600997,-0.34044264165335125,-0.10830136354446229,0.23214127810888896
primary,main σc=1.0 σs=0.20,hamilton-academical,25/26,relegated,T2,T3,0.04447546824478854,0.0406358753445033,-0.003839592900285238,-0.4044547484829273,-0.015598763355026413,-0.04717398951943874,-0.03157522616441233
primary,main σc=1.0 σs=0.20,inverness-caledonian-thistle,24/25,relegated,T2,T3,0.3691830722229509,0.03220433320116395,-0.3369787390217868,-0.002690614247326195,-0.2682546186834145,-0.15452659123341367,0.11372802745000099
primary,main σc=1.0 σs=0.20,kelty-hearts-fc,22/23,promoted,T4,T3,-0.1832472086267215,-0.21539547255998232,-0.03214826393326081,0.5585077368450282,-0.3941223881247712,-0.24798769719758407,0.14613469092718706
primary,main σc=1.0 σs=0.20,kelty-hearts-fc,26/27,relegated,T3,T4,-0.16721067699216086,0.026241267946526953,0.19345194493868784,-0.4920252741855203,-0.14127847869383764,0.18025864557871968,0.3215371242725573
primary,main σc=1.0 σs=0.20,kilmarnock,22/23,promoted,T2,T1,-0.4818532781228333,-0.3537752054822162,0.1280780726406171,0.4668063180009452,-0.22056837637951476,-0.09069967526548661,0.12986870111402793
primary,main σc=1.0 σs=0.20,livingston,24/25,relegated,T1,T2,0.661935717661537,0.25516485957166724,-0.40677085808987,-0.6520214537233802,0.615072077073886,0.28772482218961504,-0.32734725488427086
primary,main σc=1.0 σs=0.20,livingston,25/26,promoted,T2,T1,-0.6489430136070184,-0.2809327778075552,0.3680102357994628,0.5590851335710101,-0.47744069456936855,-0.08509899896950746,0.3923416955998611
primary,main σc=1.0 σs=0.20,peterhead,23/24,relegated,T3,T4,0.3324925672284161,0.2157263311442571,-0.11676623608415898,-0.9907159828292307,0.9046328405267484,0.5301007666590724,-0.37453207386767606
primary,main σc=1.0 σs=0.20,peterhead,25/26,promoted,T4,T3,-0.426356366454118,-0.07657265382004069,0.3497837126340773,0.20730443137832139,-0.006725702620405394,0.11036299574442798,0.11708869836483338
primary,main σc=1.0 σs=0.20,queen-of-the-south,22/23,relegated,T2,T3,0.13433055402129745,0.14880729660376874,0.01447674258247128,-0.39717975967228814,-0.06185027239459684,0.10279856580744173,0.16464883820203852
primary,main σc=1.0 σs=0.20,queens-park-fc,22/23,promoted,T3,T2,0.04898576054595272,0.12802336988179497,0.07903760933584236,0.2547509950810035,0.32072490477749227,0.3508237712796481,0.030098866502155763
primary,main σc=1.0 σs=0.20,ross-county,25/26,relegated,T1,T2,-0.13494193009158084,-0.051003159309027546,0.0839387707825533,-0.5639229035962661,-0.365171517697358,-0.1486424435225724,0.21652907417478584
primary,main σc=1.0 σs=0.20,ross-county,26/27,relegated,T2,T3,0.8722007163395541,0.5353755204283421,-0.33682519591121185,-0.19848657619570886,0.5135590086599013,0.3729933502997096,-0.14056565836019186
primary,main σc=1.0 σs=0.20,st-johnstone,25/26,relegated,T1,T2,0.7551092874952048,0.3030765133885239,-0.45203277410668097,-0.4862197739276306,0.44717657022079216,0.21435052165134894,-0.23282604856944322
primary,main σc=1.0 σs=0.20,stenhousemuir,24/25,promoted,T4,T3,0.10853744334655502,-0.005675460918441122,-0.11421290426499614,0.38633433623508906,0.03088859194983573,0.11517268682933646,0.08428409487950073
primary,main σc=1.0 σs=0.20,stirling-albion,23/24,promoted,T4,T3,-0.4149504348328126,-0.3101446882201966,0.10480574661261599,0.3532225526658236,-0.42775949424593707,-0.3382790369905566,0.08948045725538045
primary,main σc=1.0 σs=0.20,stirling-albion,24/25,relegated,T3,T4,-0.03410635457153277,0.14991359366089313,0.18401994823242585,-0.40482682937391323,-0.047740189156641966,0.160733913850144,0.20847410300678598
primary,σc=1.0 σs=0.35,airdrieonians,23/24,promoted,T3,T2,0.0818150238576334,-0.0404271516350575,-0.12224217549269079,0.44501984142457596,0.1323806680280477,-0.20469271386626753,-0.3370733818943152
primary,σc=1.0 σs=0.35,airdrieonians,26/27,relegated,T2,T3,0.06356259645078477,0.02844457564010794,-0.03511802081067694,-0.20217150333917155,-0.26084808799409775,-0.13654656267315307,0.12430152532094463
primary,σc=1.0 σs=0.35,annan-athletic,23/24,promoted,T4,T3,-0.25610726572487114,0.007057446707200099,0.26316471243207123,0.17388145599672816,-0.16896509743471216,-0.04540625028837875,0.12355884714633338
primary,σc=1.0 σs=0.35,annan-athletic,25/26,relegated,T3,T4,-0.03874210493540603,0.07864224496259348,0.11738434989799956,-0.43438657473241243,0.14464801512601622,0.04726884831289871,-0.09737916681311752
primary,σc=1.0 σs=0.35,arbroath,24/25,relegated,T2,T3,0.34546724666665585,0.14106246742739165,-0.20440477923926426,-0.753617059417893,0.4210239773375042,0.0033574654213823774,-0.4176665119161219
primary,σc=1.0 σs=0.35,arbroath,25/26,promoted,T3,T2,0.07710101464116104,0.04793991059987335,-0.02916110404128769,0.2923511343128573,0.25746946127324577,0.10968790219109326,-0.1477815590821523
primary,σc=1.0 σs=0.35,clyde-fc,23/24,relegated,T3,T4,-0.14282336987469407,0.06982857384754476,0.2126519437222388,-0.6004104578945106,0.0515050167915963,0.14455542911222422,0.09305041232062791
primary,σc=1.0 σs=0.35,cove-rangers,22/23,promoted,T3,T2,-0.578125542522473,-0.16602633660977628,0.4120992059126966,0.681560899711528,-0.6716199826062306,-0.24414693197349102,0.4274730506327395
primary,σc=1.0 σs=0.35,cove-rangers,23/24,relegated,T2,T3,-0.0575999978783015,0.013656947003750197,0.07125694488205175,-0.584272585133603,-0.23341409390181522,-0.11110040301057028,0.12231369089124505
primary,σc=1.0 σs=0.35,dumbarton,22/23,relegated,T3,T4,0.12334907431766068,-0.0017676290381298254,-0.12511670335579061,-0.36086867339291095,0.06200386155598814,-0.1822831324911148,-0.24428699404710297
primary,σc=1.0 σs=0.35,dumbarton,24/25,promoted,T4,T3,-0.21794428610980587,0.08077668992303283,0.2987209760328388,0.19873297646793364,-0.14988961709671678,0.02368588431650598,0.17357550141322287
primary,σc=1.0 σs=0.35,dumbarton,25/26,relegated,T3,T4,-0.1643677712331677,-0.055222650483574665,0.10914512074959307,-0.2710603984636044,-0.14430382744055348,-0.23235130242147978,-0.08804747498092637
primary,σc=1.0 σs=0.35,dundee-fc,22/23,relegated,T1,T2,0.5383678199857478,0.36512817392066144,-0.17323964606508646,-0.5818051380908549,0.44991077387308076,0.33148759330906385,-0.11842318056401702
primary,σc=1.0 σs=0.35,dundee-fc,23/24,promoted,T2,T1,-0.2077464258445305,0.06548516941300553,0.2732315952575367,0.5322207773746177,-0.19737105316965353,-0.04136568024183018,0.15600537292782335
primary,σc=1.0 σs=0.35,dundee-united,23/24,relegated,T1,T2,0.9384726247660917,0.34479758828036,-0.5936750364857317,-0.3642040574968106,0.6502907481072557,0.24163627137944654,-0.4086544767278093
primary,σc=1.0 σs=0.35,dundee-united,24/25,promoted,T2,T1,-0.024922466239567953,-0.18761697431578495,-0.162694508076217,0.8457804000300828,-0.17661774044732415,-0.15722182926476747,0.019395911182557013
primary,σc=1.0 σs=0.35,dunfermline-athletic,22/23,relegated,T2,T3,1.041745803657626,0.2854300702747898,-0.7563157333828359,-0.3258870676744905,0.6974687633814807,0.19833364429764672,-0.499135119083834
primary,σc=1.0 σs=0.35,dunfermline-athletic,23/24,promoted,T3,T2,-0.09336540126363291,-0.17339397095377973,-0.0800285696901466,0.9235049575262059,-0.5212848731948485,-0.142051987636575,0.3792328855582736
primary,σc=1.0 σs=0.35,east-fife,22/23,relegated,T3,T4,0.09309161227725432,0.1015716731208672,0.008480060843612802,-0.6651977788592558,0.3360755049819266,0.2801923786975722,-0.055883126284354406
primary,σc=1.0 σs=0.35,east-fife,25/26,promoted,T4,T3,-0.5513092826853534,-0.20143803329678533,0.3498712493885682,0.4255863677018661,-0.24364672298243006,-0.12973503894141464,0.11391168404101537
primary,σc=1.0 σs=0.35,east-kilbride,26/27,promoted,T4,T3,0.10787619393356651,0.3616691403331391,0.25379294639957245,0.32496538551505416,0.03949377897143136,0.08706539715263939,0.047571618181207975
primary,σc=1.0 σs=0.35,edinburgh-city-fc,22/23,promoted,T4,T3,0.07739507038606297,0.14189822463410418,0.06450315424804132,-0.12931779234273355,0.49118753610532884,0.4063926773087823,-0.08479485879654652
primary,σc=1.0 σs=0.35,edinburgh-city-fc,24/25,relegated,T3,T4,0.12721939913435742,0.1385153598637916,0.011295960729434229,-0.8524667660543414,0.5577260606566451,0.13095035113293746,-0.4267757095237077
primary,σc=1.0 σs=0.35,falkirk-fc,24/25,promoted,T3,T2,0.7576940630163873,0.5011682146605394,-0.256525848355848,1.0863935529724376,0.36401299559297007,0.25155313529954915,-0.11245986029342103
primary,σc=1.0 σs=0.35,falkirk-fc,25/26,promoted,T2,T1,-0.2127062565269755,-0.06926183808666897,0.14344441844030653,0.6368276347495478,-0.19307951183079108,-0.1447087360265904,0.04837077580420068
primary,σc=1.0 σs=0.35,hamilton-academical,23/24,relegated,T2,T3,0.6817038590157325,0.24156804704020213,-0.4401358119755305,-0.4377386563836183,0.35935583424223405,0.2315368090428246,-0.12781902519940957
primary,σc=1.0 σs=0.35,hamilton-academical,24/25,promoted,T3,T2,-0.30694851158753944,-0.0489045220847949,0.2580439895027443,0.6882075371278498,-0.3024435631663689,-0.05379131229872325,0.24865225086764564
