move,to,n,mkt_sup_mean,mkt_sup_sd,mkt_theta_mean,mkt_theta_sd,real_gd_mean
promoted,T1,9,-0.3624317848097198,0.3479732404546461,-0.26722333392001946,0.27014412289018286,-0.33333333333333326
promoted,T2,11,-0.07076257211565289,0.353799890372023,-0.056212518977229925,0.27998999522452966,0.29090909090909095
promoted,T3,11,-0.023203600075532092,0.45341113103951947,-0.028729369508935298,0.3476580330427901,-0.07272727272727277
relegated,T2,9,0.5457481870134933,0.4228639774592582,0.4408593788031008,0.34533499789240457,0.6222222222222222
relegated,T3,11,0.2667987254129458,0.37025228681051253,0.208099881567997,0.28481104506636407,0.21818181818181814
relegated,T4,11,-0.10673878712873268,0.4516757443885454,-0.07739929013508498,0.2966712726110833,0.09090909090909095
stayed,T1,75,0.05406071718723311,0.8993825639309775,0.04026439941870911,0.6502584547379748,0.06399999999999999
stayed,T2,50,-0.07869716799897374,0.3452857017223388,-0.0633415324264586,0.28546621007467743,-0.14
stayed,T3,48,-0.05574018657225052,0.4461532640893472,-0.04041790797887601,0.35377803542100683,-0.020833333333333332
stayed,T4,55,-0.030800103140808298,0.39465392105900776,-0.024057089087638046,0.3037889022881285,-0.10181818181818181
