team,season,move,from,to,mkt_sup_vs_avg_first5,mkt_logsup_vs_avg_first5,real_gd_first5
dundee-united,20/21,promoted,T2,T1,-0.579478517642336,-0.4797026598981229,0.0
heart-of-midlothian,20/21,relegated,T1,T2,1.4377202541385945,1.1384059931052568,1.6
cove-rangers,20/21,promoted,T4,T3,0.8219688249886616,0.6010526965986378,1.4
raith-rovers,20/21,promoted,T3,T2,-0.026350780970160408,-0.018416063977729623,1.8
stranraer,20/21,relegated,T3,T4,-0.11807696854787841,-0.10187315276760875,-0.2
partick-thistle,20/21,relegated,T2,T3,0.24377518487279878,0.17148451508345489,0.2
heart-of-midlothian,21/22,promoted,T2,T1,0.11079800223184735,0.12584457452813996,0.8
partick-thistle,21/22,promoted,T3,T2,0.20186398724166507,0.18634703789824458,0.6
dundee-fc,21/22,promoted,T2,T1,-0.5317009798296539,-0.40244057140544715,-1.4
kilmarnock,21/22,relegated,T1,T2,0.7734823216276917,0.6723010260158527,1.0
hamilton-academical,21/22,relegated,T1,T2,-0.13536887750478846,-0.14647351189782537,-1.2
queens-park-fc,21/22,promoted,T4,T3,0.4728919092315266,0.36814886403553737,1.2
forfar-athletic,21/22,relegated,T3,T4,-0.05295345049459721,-0.04707350126565335,0.8
alloa-athletic,21/22,relegated,T2,T3,-0.1650787830360922,-0.1286337150914652,0.2
kilmarnock,22/23,promoted,T2,T1,-0.9838191366259116,-0.7084487205932926,-1.4
dundee-fc,22/23,relegated,T1,T2,0.41006610492246215,0.3824858776828289,0.0
cove-rangers,22/23,promoted,T3,T2,0.004120081441680118,-0.00288768241705713,-0.8
dunfermline-athletic,22/23,relegated,T2,T3,0.5102291385103068,0.42040380560440704,1.0
queen-of-the-south,22/23,relegated,T2,T3,0.30101955584500845,0.24305531738329753,-0.4
kelty-hearts-fc,22/23,promoted,T4,T3,-0.04770619353919629,-0.051118870749359814,-2.0
dumbarton,22/23,relegated,T3,T4,0.3264431921668637,0.2542035298963616,2.0
queens-park-fc,22/23,promoted,T3,T2,-0.4247461078703004,-0.37223058151494,0.4
edinburgh-city-fc,22/23,promoted,T4,T3,-0.6987199803919371,-0.5619919789560768,0.0
east-fife,22/23,relegated,T3,T4,0.009532584883508378,0.008189679803200256,0.2
dundee-fc,23/24,promoted,T2,T1,-0.4213420275660654,-0.2391355735596979,-0.6
stirling-albion,23/24,promoted,T4,T3,-0.2044087801007335,-0.15141014946398712,0.0
hamilton-academical,23/24,relegated,T2,T3,0.567336840308079,0.3988206069025488,1.4
dunfermline-athletic,23/24,promoted,T3,T2,-0.050613112214572695,-0.04089181731846992,0.4
peterhead,23/24,relegated,T3,T4,0.03341229123526328,0.02849721874846569,0.4
clyde-fc,23/24,relegated,T3,T4,-0.3425544685362375,-0.2691326708822889,-0.8
cove-rangers,23/24,relegated,T2,T3,-0.003832805613979318,0.006238959332979466,-0.2
annan-athletic,23/24,promoted,T4,T3,-0.5532450469869445,-0.44154645557252065,-1.2
dundee-united,23/24,relegated,T1,T2,0.6259387956732713,0.4879898941636217,1.8
airdrieonians,23/24,promoted,T3,T2,-0.23865980615806484,-0.17948238599110233,-1.0
