band,sample,N,implied,realised,roi,roi_se
0.00–0.15,cross-tier cup,253,0.08678968115095959,0.05533596837944664,-0.516798418972332,0.14678846060359935
0.00–0.15,same-tier league,773,0.1010457551506159,0.09573091849935317,-0.23124191461837,0.09281183421666647
0.15–0.25,cross-tier cup,368,0.2028773654678205,0.1793478260869565,-0.23940217391304347,0.08570552472251072
0.15–0.25,same-tier league,2500,0.2147901133173399,0.2232,-0.08709333333333331,0.034420414902437385
0.25–0.40,cross-tier cup,203,0.2982247225678202,0.32019704433497537,-0.021773399014778323,0.10150215009827793
0.25–0.40,same-tier league,5047,0.30213996268028304,0.30552803645730137,-0.07902417277590648,0.019777160371712756
0.40–0.60,cross-tier cup,163,0.49813286760763975,0.49079754601226994,-0.09199386503067486,0.07358631998681471
0.40–0.60,same-tier league,2384,0.48108922909115004,0.4660234899328859,-0.09598901587785816,0.020047906170559987
0.60–0.80,cross-tier cup,157,0.6840764115875235,0.7452229299363057,0.02613588110403396,0.048610518194473755
0.60–0.80,same-tier league,607,0.6779859699476612,0.685337726523888,-0.0427653565544834,0.02662382486551351
0.80–1.00,cross-tier cup,65,0.880739499324545,0.9384615384615385,0.025692307692307723,0.033426849835735774
0.80–1.00,same-tier league,140,0.8468696458307668,0.8285714285714286,-0.054678571428571424,0.03662780531347635
