hi_tier,lo_tier,N,realised_gd_hi,market_sup_hi,tier_glm_sup_hi,dc_sup_hi
1,2,69,1.2608695652173914,1.26877618650252,0.6576776280143541,1.0602927069418293
1,3,13,1.5384615384615385,1.8699821901562204,1.6911272031183269,1.5595253468112924
1,4,17,2.176470588235294,2.294621177423498,2.124887755766931,2.1796456866741845
1,5,8,3.125,3.691907473329338,3.8955452682517793,3.2122383564501567
2,3,57,1.0,0.7431764251206336,0.9706998443834719,0.4416955023837445
2,4,21,1.1904761904761905,1.330940959383988,1.299428269624474,0.9978782892448569
2,5,30,2.3,1.886955108785511,2.482201603966366,1.3000768236178757
3,4,71,0.7605633802816901,0.5332149362171152,0.4303201210723784,0.5410618616553207
3,5,41,1.5853658536585367,1.3648674847959297,1.3208760601520637,0.993644254039666
4,5,76,0.6447368421052632,0.9418639909715188,0.8261744372628289,0.6425598357023562
