source,move,to,n,d_theta,sd_theta,d_alpha,sd_alpha,d_beta,sd_beta
DC ratings 08/09–26/27,promoted,T1,22,-0.2416711608357303,0.3682687353672844,-0.09849534227260787,0.1974527146565618,0.14317581856312228,0.20107176662420426
DC ratings 21/22–26/27,promoted,T1,5,-0.3390072301823257,0.22986697725773594,-0.17584398857942546,0.15098220991312225,0.16316324160290022,0.179564351113441
"closing market, first 5 league games",promoted,T1,9,-0.26722333392001946,0.27014412289018286,NaN,NaN,NaN,NaN
DC ratings 08/09–26/27,promoted,T2,28,-0.18585657999342173,0.493246031704739,-0.0741610827564859,0.23650001555708572,0.11169549723693588,0.29047823722927146
DC ratings 21/22–26/27,promoted,T2,7,-0.020812108677178753,0.3734349386670164,0.024919710755303026,0.21085167380829845,0.04573181943248169,0.20645755258261778
"closing market, first 5 league games",promoted,T2,11,-0.056212518977229925,0.27998999522452966,NaN,NaN,NaN,NaN
DC ratings 08/09–26/27,promoted,T3,28,0.01607225085464559,0.47132741400714945,-0.0237449397437355,0.21033605705836445,-0.039817190598381104,0.3081318782536132
DC ratings 21/22–26/27,promoted,T3,9,-0.20995474724398772,0.22662189952250064,-0.04394744573599296,0.18889028634830096,0.16600730150799478,0.16006918980822984
"closing market, first 5 league games",promoted,T3,11,-0.028729369508935298,0.3476580330427901,NaN,NaN,NaN,NaN
DC ratings 08/09–26/27,relegated,T2,21,0.37910446443388174,0.4129579729485831,0.18482177435708183,0.21290867865642218,-0.1942826900767997,0.23380048982173027
DC ratings 21/22–26/27,relegated,T2,5,0.5337073604283366,0.3933644589620753,0.2412579939301777,0.16816360865025134,-0.292449366498159,0.24925278012891935
"closing market, first 5 league games",relegated,T2,9,0.4408593788031008,0.34533499789240457,NaN,NaN,NaN,NaN
DC ratings 08/09–26/27,relegated,T3,26,0.34403613091548546,0.42906626712874485,0.14334394869965753,0.19682214220163122,-0.20069218221582796,0.25957436950102974
DC ratings 21/22–26/27,relegated,T3,9,0.3829962077847478,0.3393470260310676,0.16187999115370297,0.15972371584832973,-0.22111621663104483,0.2325758018339021
"closing market, first 5 league games",relegated,T3,11,0.208099881567997,0.28481104506636407,NaN,NaN,NaN,NaN
DC ratings 08/09–26/27,relegated,T4,30,0.16282514415960192,0.39994543570907215,0.06965528206779203,0.20122426744383407,-0.09316986209180984,0.243140414901149
DC ratings 21/22–26/27,relegated,T4,9,0.017948023850700007,0.15644644806518385,0.08392297079620893,0.07349514649650125,0.06597494694550893,0.116372185735187
"closing market, first 5 league games",relegated,T4,11,-0.07739929013508498,0.2966712726110833,NaN,NaN,NaN,NaN
