match_id,reason,final_home,final_away,derived_home,derived_away,unclassified_goals,own_orientation_ok
8824049,component_total_mismatch;unclassified_goal,2,2,2,1,1,true
8824056,component_total_mismatch;unclassified_goal,2,0,1,0,1,true
8824061,component_total_mismatch;unclassified_goal,1,1,1,0,1,true
8824067,component_total_mismatch;unclassified_goal,3,0,2,0,1,true
8824071,component_total_mismatch;unclassified_goal,2,1,1,0,2,true
8824073,component_total_mismatch;unclassified_goal,1,1,0,1,1,true
8824076,component_total_mismatch;unclassified_goal,2,2,1,2,1,true
8824117,component_total_mismatch,1,3,2,3,0,true
8824082,component_total_mismatch;unclassified_goal,2,1,0,1,2,true
8824184,component_total_mismatch,3,1,2,1,0,true
8824152,component_total_mismatch,2,3,2,2,0,true
9431752,component_total_mismatch;unclassified_goal,1,2,1,1,1,true
9574164,component_total_mismatch,2,0,3,0,0,true
9574189,component_total_mismatch,1,4,1,5,0,true
9574057,component_total_mismatch,3,1,4,0,0,true
9573944,component_total_mismatch,4,1,4,2,0,true
10388074,component_total_mismatch;own_goal_orientation_unresolved,2,2,1,2,0,false
10387938,component_total_mismatch,0,2,0,3,0,true
10947861,component_total_mismatch,1,3,1,5,0,true
10387806,component_total_mismatch,4,0,5,0,0,true
10387826,component_total_mismatch;own_goal_orientation_unresolved,3,3,3,2,0,false
10387817,component_total_mismatch,1,0,0,0,0,true
10387906,component_total_mismatch,1,1,2,1,0,true
11395473,component_total_mismatch,2,0,2,1,0,true
12477131,component_total_mismatch,1,3,2,3,0,true
14035662,component_total_mismatch;own_goal_orientation_unresolved,3,2,3,1,0,false
14035607,component_total_mismatch,1,1,2,1,0,true
