referee_id,referee_name,matches,penalty_attempts,attempts_per_match,cohort
23c4phire0izwunnfncjl8a38,Mark Daly,1,0,0.0,reconciled_components
3zu5nxywlbxjpwazsvktn6tat,Steven Reid,28,3,0.10714285714285714,reconciled_components
4oyle92nqzmfq1vj2ff0rh68l,Mike Roncone,25,3,0.12,reconciled_components
a7x0em5gl5w3ynjmkamtg1xp1,Connor Ashwood,15,2,0.13333333333333333,reconciled_components
bxvet3x1qjc6n0o20o7h28uz9,Graham Beaton,21,3,0.14285714285714285,reconciled_components
au7io1r0wfk8hb7qbbhae6uad,Jordan Curran,48,7,0.14583333333333334,reconciled_components
9dgds61vqncdtk8t34o2xzmc5,Peter Stuart,90,15,0.16666666666666666,reconciled_components
aofjfn7hxazjccrimv8xil1ih,Daniel Graves,65,11,0.16923076923076924,reconciled_components
8dzc0favgeocs0qf3qjvxkhxx,Alan Newlands,40,7,0.175,reconciled_components
bsgoa7pyamnu6flsgyt6eut3p,David Dickinson,17,3,0.17647058823529413,reconciled_components
8bwao9nwgzzu4fabl4i97dhhx,Greg Aitken,11,2,0.18181818181818182,reconciled_components
cyqb0hicgwutsawc1dpxvtyc4,Josh Hay,22,4,0.18181818181818182,reconciled_components
37mi4s0jgmr4j3l3q2hqwvi8k,Andy Gamble,21,4,0.19047619047619047,reconciled_components
em2givezst0lq5g10owzusxxx,Alex Shepherd,31,6,0.1935483870967742,reconciled_components
9k3hqjvkmo76ie1hf24h5tnf9,Graham Grainger,71,14,0.19718309859154928,reconciled_components
b91bdxwcvjd956opb2py2nf2s,Joel Kennedy,39,8,0.20512820512820512,reconciled_components
1emih5dnnm45p0qcetdhamdx,Chris Fordyce,53,11,0.20754716981132076,reconciled_components
mb39kmc5hg5dahpssor662mt,Lloyd Wilson,72,15,0.20833333333333334,reconciled_components
a0ot7jnqoewzfk6gs3tyjlmnd,Ryan Lee,28,6,0.21428571428571427,reconciled_components
9aepys44a4l8p2iqrn9wdjd3o,Jamie McCunnie,14,3,0.21428571428571427,reconciled_components
ep76888edvvweefbdirvpfmj9,Gavin Ross,9,2,0.2222222222222222,reconciled_components
byb55tj0n1soxr5kb1eyi3qvp,Colin Steven,27,6,0.2222222222222222,reconciled_components
bthh5d6lwyaqvhfk88omn9fkk,Jamie Wilkie,17,4,0.23529411764705882,reconciled_components
eioon1oyvekflpm38sc2jjdhw,Sean Murdoch,45,11,0.24444444444444444,reconciled_components
jpxnj3ldprjwce3a2be0yqxh,Grant Irvine,32,8,0.25,reconciled_components
8j68r4kmdypfbbdem779m7kl,David Lowe,8,2,0.25,reconciled_components
9ap7c82qfqp96g8fwr04k565m,Gary Hanvidge,34,9,0.2647058823529412,reconciled_components
ebe4evu4jimqxiodq4bwudjah,Stewart Luke,79,21,0.26582278481012656,reconciled_components
c3q6ws8z22e1omcjxligshhwp,Alastair Grieve,67,18,0.26865671641791045,reconciled_components
6sdr8stbqiaqo6uahg2yd5cr9,Kevin Graham,11,3,0.2727272727272727,reconciled_components
j8g304sx1bb6gdsqflnnx711,Chris Graham,40,11,0.275,reconciled_components
ce99qkhcskrwsmvjxire8u1d6,Dan McFarlane,54,15,0.2777777777777778,reconciled_components
6erk3vt9g07sd95q904x0lhpl,George Calder,72,20,0.2777777777777778,reconciled_components
2uj0dj4adthw53b4jwyo01o89,Greg Soutar,61,17,0.2786885245901639,reconciled_components
ef201gyzs03xy93ixiul2ums5,Matthew McDermid,32,9,0.28125,reconciled_components
4zln8siolia7z34wqapbmgs7p,Euan Anderson,35,10,0.2857142857142857,reconciled_components
