y,pressure,home,season,division,history_matches,pressure_z
0,0.6,1,20/21,56,5,-2.3454265825181664
0,1.2,0,20/21,57,5,-0.11202419138672362
0,1.0,1,20/21,56,5,-0.8564916550972045
0,1.6,0,20/21,56,5,1.376910736034239
0,0.8,1,20/21,56,5,-1.6009591188076853
0,0.5,0,20/21,56,6,-2.717660314373407
0,1.5,1,20/21,56,6,1.004677004178998
0,1.6,0,20/21,56,5,1.376910736034239
0,2.0,1,20/21,57,5,2.8658456634552008
0,1.4,0,20/21,57,5,0.6324432723237572
0,1.6666666666666667,1,20/21,57,6,1.6250665572710659
0,0.8,1,20/21,57,5,-1.6009591188076853
0,1.6,0,20/21,57,5,1.376910736034239
0,1.6,1,20/21,57,5,1.376910736034239
1,1.4,0,20/21,57,5,0.6324432723237572
0,1.4,1,20/21,57,5,0.6324432723237572
0,0.8,0,20/21,57,5,-1.6009591188076853
0,0.8,1,20/21,56,5,-1.6009591188076853
0,2.0,0,20/21,56,5,2.8658456634552008
0,1.4,1,20/21,56,5,0.6324432723237572
0,1.5,0,20/21,56,6,1.004677004178998
0,0.8333333333333334,1,20/21,56,6,-1.476881208189272
0,1.0,0,20/21,56,5,-0.8564916550972045
0,1.8333333333333333,1,20/21,57,6,2.2454561103631328
0,2.142857142857143,0,20/21,57,7,3.397608137534115
0,0.6666666666666666,0,20/21,56,6,-2.0972707612813397
0,0.42857142857142855,1,20/21,56,7,-2.9835415514128645
0,1.4285714285714286,0,20/21,56,7,0.7387957671395406
0,1.1666666666666667,1,20/21,57,6,-0.23610210200513668
0,0.6666666666666666,0,20/21,57,6,-2.0972707612813397
0,1.5,1,20/21,57,6,1.004677004178998
0,1.6666666666666667,0,20/21,57,6,1.6250665572710659
0,2.25,1,20/21,57,8,3.7964299930933016
0,1.1428571428571428,0,20/21,57,7,-0.3247291810182897
0,0.8571428571428571,1,20/21,56,7,-1.3882541291761197
0,1.0,0,20/21,56,7,-0.8564916550972045
0,0.5714285714285714,1,20/21,57,7,-2.4517790773339496
0,0.8333333333333334,0,20/21,57,6,-1.476881208189272
0,1.1666666666666667,1,20/21,57,6,-0.23610210200513668
0,1.8571428571428572,0,20/21,57,7,2.334083189376286
0,1.4285714285714286,1,20/21,56,7,0.7387957671395406
0,0.5,0,20/21,56,8,-2.717660314373407
0,1.5714285714285714,1,20/21,57,7,1.2705582412184555
0,1.0,0,20/21,57,5,-0.8564916550972045
0,1.8333333333333333,1,20/21,57,6,2.2454561103631328
0,1.5714285714285714,0,20/21,57,7,1.2705582412184555
0,1.0,1,20/21,56,6,-0.8564916550972045
0,0.6,0,20/21,56,5,-2.3454265825181664
0,2.1666666666666665,1,20/21,56,6,3.4862352165472674
0,1.1666666666666667,0,20/21,56,6,-0.23610210200513668
0,1.0,1,20/21,56,8,-0.8564916550972045
0,1.75,0,20/21,56,8,1.9352613338170994
0,0.7142857142857143,1,20/21,57,7,-1.9200166032550343
0,1.0,0,20/21,57,7,-0.8564916550972045
0,1.8571428571428572,1,20/21,56,7,2.334083189376286
0,0.75,0,20/21,56,8,-1.7870759847353057
0,0.6666666666666666,1,20/21,56,6,-2.0972707612813397
0,1.1428571428571428,0,20/21,56,7,-0.3247291810182897
