team,role,penalties,converted,exposure,rate,conversion
montrose,awarded,44,32,198,0.2222222222222222,0.7272727272727273
cove-rangers,awarded,24,17,162,0.14814814814814814,0.7083333333333334
forfar-athletic,awarded,18,18,198,0.09090909090909091,1.0
airdrieonians,awarded,15,9,92,0.16304347826086957,0.6
stranraer,awarded,29,19,199,0.1457286432160804,0.6551724137931034
stirling-albion,awarded,21,16,200,0.105,0.7619047619047619
brechin-city,awarded,0,0,17,0.0,
cowdenbeath,awarded,6,4,54,0.1111111111111111,0.6666666666666666
clyde-fc,awarded,16,13,198,0.08080808080808081,0.8125
albion-rovers,awarded,13,9,87,0.14942528735632185,0.6923076923076923
edinburgh-city-fc,awarded,31,22,199,0.15577889447236182,0.7096774193548387
peterhead,awarded,27,20,201,0.13432835820895522,0.7407407407407407
falkirk-fc,awarded,17,15,124,0.13709677419354838,0.8823529411764706
dumbarton,awarded,29,25,202,0.14356435643564355,0.8620689655172413
east-fife,awarded,23,20,200,0.115,0.8695652173913043
partick-thistle,awarded,3,1,17,0.17647058823529413,0.3333333333333333
stenhousemuir,awarded,29,23,195,0.14871794871794872,0.7931034482758621
annan-athletic,awarded,35,28,198,0.17676767676767677,0.8
elgin-city,awarded,24,17,198,0.12121212121212122,0.7083333333333334
queens-park-fc,awarded,7,5,53,0.1320754716981132,0.7142857142857143
kelty-hearts-fc,awarded,22,19,182,0.12087912087912088,0.8636363636363636
alloa-athletic,awarded,12,11,182,0.06593406593406594,0.9166666666666666
dunfermline-athletic,awarded,7,5,36,0.19444444444444445,0.7142857142857143
queen-of-the-south,awarded,24,14,147,0.16326530612244897,0.5833333333333334
bonnyrigg-rose,awarded,25,23,107,0.2336448598130841,0.92
the-spartans-fc,awarded,19,17,111,0.17117117117117117,0.8947368421052632
hamilton-academical,awarded,5,2,76,0.06578947368421052,0.4
inverness-caledonian-thistle,awarded,5,3,71,0.07042253521126761,0.6
arbroath,awarded,4,2,36,0.1111111111111111,0.5
east-kilbride,awarded,11,10,40,0.275,0.9090909090909091
ross-county,awarded,0,0,4,0.0,
montrose,conceded,19,15,198,0.09595959595959595,0.7894736842105263
cove-rangers,conceded,17,13,162,0.10493827160493827,0.7647058823529411
forfar-athletic,conceded,26,20,198,0.13131313131313133,0.7692307692307693
airdrieonians,conceded,13,10,92,0.14130434782608695,0.7692307692307693
stranraer,conceded,24,19,199,0.12060301507537688,0.7916666666666666
stirling-albion,conceded,23,12,200,0.115,0.5217391304347826
brechin-city,conceded,3,2,17,0.17647058823529413,0.6666666666666666
cowdenbeath,conceded,7,7,54,0.12962962962962962,1.0
clyde-fc,conceded,29,21,198,0.14646464646464646,0.7241379310344828
albion-rovers,conceded,17,10,87,0.19540229885057472,0.5882352941176471
edinburgh-city-fc,conceded,35,29,199,0.17587939698492464,0.8285714285714286
peterhead,conceded,25,22,201,0.12437810945273632,0.88
falkirk-fc,conceded,17,14,124,0.13709677419354838,0.8235294117647058
dumbarton,conceded,40,32,202,0.19801980198019803,0.8
east-fife,conceded,31,22,200,0.155,0.7096774193548387
partick-thistle,conceded,1,1,17,0.058823529411764705,1.0
stenhousemuir,conceded,15,10,195,0.07692307692307693,0.6666666666666666
annan-athletic,conceded,29,21,198,0.14646464646464646,0.7241379310344828
elgin-city,conceded,38,35,198,0.1919191919191919,0.9210526315789473
queens-park-fc,conceded,7,4,53,0.1320754716981132,0.5714285714285714
kelty-hearts-fc,conceded,22,17,182,0.12087912087912088,0.7727272727272727
alloa-athletic,conceded,25,18,182,0.13736263736263737,0.72
dunfermline-athletic,conceded,1,0,36,0.027777777777777776,0.0
queen-of-the-south,conceded,23,18,147,0.1564625850340136,0.782608695652174
bonnyrigg-rose,conceded,21,18,107,0.19626168224299065,0.8571428571428571
the-spartans-fc,conceded,16,16,111,0.14414414414414414,1.0
hamilton-academical,conceded,3,1,76,0.039473684210526314,0.3333333333333333
inverness-caledonian-thistle,conceded,9,6,71,0.1267605633802817,0.6666666666666666
arbroath,conceded,4,1,36,0.1111111111111111,0.25
east-kilbride,conceded,4,4,40,0.1,1.0
ross-county,conceded,1,1,4,0.25,1.0
