model,config,rep,chain,seed,thread,start_s,stop_s,elapsed_s,status,mean_concurrency,mean_tree_depth,mean_leapfrog,step_size,mean_acceptance,n_divergent
m01_decomposed_baseline,A,1,1,20261911,3,0.0764470100402832,2031.4682269096375,2031.3917798995972,ok,15.999622787747434,4.003,15.288,0.2199409381876657,0.9380084780888867,0
m00_recombined_control,B,1,1,20261911,2,0.0764470100402832,1760.4132990837097,1760.3368520736694,ok,15.999565406010973,4.784,29.208,0.18560256211685933,0.9490752864042602,0
m00_recombined_control,C,1,1,20261911,4,0.0764470100402832,1388.171138048172,1388.0946910381317,ok,15.999453769283718,4.036,17.432,0.21657198078681764,0.9404983651235882,0
m00_recombined_control,A,1,1,20261911,7,0.0764470100402832,2962.1234509944916,2962.0470039844513,ok,15.99973829484766,4.988,30.952,0.17017894764303962,0.958592452439311,0
m01_decomposed_baseline,C,1,1,20261911,8,0.0764470100402832,1128.7150778770447,1128.6386308670044,ok,15.999999971270762,4.0,15.0,0.25464238571990144,0.9354738821742742,0
m01_decomposed_baseline,B,1,1,20261911,5,0.0764470100402832,1364.118411064148,1364.0419640541077,ok,15.999444704730056,4.0,15.192,0.22245378349579858,0.9500202153473645,0
m01_decomposed_baseline,A,1,2,20261912,9,0.0764470100402832,2603.144630908966,2603.068183898926,ok,15.999703498038228,4.998,30.968,0.16142007581067377,0.9695630185810601,0
m00_recombined_control,B,1,2,20261912,14,0.07645106315612793,1574.4224290847778,1574.3459780216217,ok,15.999517606964618,4.278,28.088,0.20401603009346206,0.9343075539713432,0
m00_recombined_control,C,1,2,20261912,15,0.07645106315612793,1300.4146950244904,1300.3382439613342,ok,15.999417905590382,4.0,15.0,0.22999809505073515,0.9200664105633445,0
m01_decomposed_baseline,C,1,2,20261912,16,0.07645106315612793,1231.2714838981628,1231.1950328350067,ok,15.999385655855978,4.0,15.0,0.2650401553673909,0.9305661530118714,0
m01_decomposed_baseline,B,1,2,20261912,13,0.07645106315612793,1229.6964719295502,1229.620020866394,ok,15.99938545703372,4.0,15.16,0.22860169530864016,0.9525113218738431,0
m00_recombined_control,A,1,2,20261912,10,0.07645106315612793,2817.8128390312195,2817.7363879680634,ok,15.999725571041873,5.0,31.0,0.12962487777077153,0.9776932987933149,0
m00_recombined_control,A,1,3,20261913,6,0.0764470100402832,2873.405273914337,2873.328826904297,ok,15.99973070819887,4.461,31.8,0.1974138574433466,0.9329340715100124,0
m01_decomposed_baseline,B,1,3,20261913,12,0.07645106315612793,1493.5376670360565,1493.4612159729004,ok,15.999491894703386,5.0,31.0,0.12877499721813548,0.9813313208567853,0
