fold,n_draws,n_chains,max_rhat,worst_rhat_param,min_ess_bulk,worst_bulk_param,min_ess_tail,worst_tail_param,n_divergent,max_tree_depth,n_depth_capped,min_bfmi,mean_tree_depth,mean_leapfrog,step_size_min,step_size_max
1,1000,4,1.0046797227144841,raw_attack[22],2072.8171247628266,sigma_regular_raw[1],2003.4078320153749,mu_regular[1],0,7,0,0.7699934168646242,5.0235,34.124,0.09959320354408399,0.18072894868624376
2,1000,4,1.004674225514395,raw_referee[3],1246.0540084488907,sigma_regular_raw[1],1044.983487932366,sigma_regular_raw[1],0,6,0,0.6908961902669961,4.64925,26.768,0.18155356470900835,0.23717179984397563
3,1000,4,1.004857139452502,raw_defence[25],1022.097112024247,sigma_regular_raw[1],819.274693477291,sigma_regular_raw[1],1,7,0,0.7386413767774815,4.526,25.415,0.16331903266194142,0.2095442661153541
4,1000,4,1.006397410185118,raw_referee[31],1350.2045158488997,sigma_regular_raw[1],934.986434486433,mu_regular[1],0,6,0,0.8050828434466036,4.75375,28.26,0.15427274476033484,0.2060888288500127
5,1000,4,1.005680531446287,raw_attack[1],1265.3901897943233,sigma_regular_raw[1],1440.2418281108467,sigma_regular_raw[1],0,8,0,0.7356727797440181,4.733,31.022,0.1756516902300724,0.19752723913442222
6,1000,4,1.0045210411671832,raw_referee[5],857.630039587414,sigma_regular_raw[1],679.5316533830592,sigma_regular_raw[1],0,7,0,0.6668614278591883,4.84875,30.818,0.15379057005352048,0.20085331941111542
7,1000,4,1.0041750281907145,raw_referee[33],961.0703628590365,sigma_regular_raw[1],1157.1395582413923,sigma_regular_raw[1],0,5,0,0.7463122582093362,4.98675,30.884,0.15773222206785034,0.18028277621277572
8,1000,4,1.0066329671523002,raw_defence[25],818.0170740995045,sigma_regular_raw[1],1094.2988743138706,sigma_regular_raw[1],0,5,0,0.807764892270485,5.0,31.0,0.12603648103517812,0.14469339947806314
9,1000,4,1.0050355400891802,mu_own[1],1295.230112254275,sigma_regular_raw[1],1851.0922608912322,sigma_referee_raw[1],0,6,0,0.7663837791969039,4.9595,30.712,0.1390243480942357,0.18734762512138872
10,1000,4,1.0062020345394436,sigma_regular_raw[1],978.7440737632155,sigma_regular_raw[1],1908.1077225541592,sigma_regular_raw[1],0,5,0,0.7854324192308606,4.99025,30.908,0.11741666779031625,0.17489650426057224
11,1000,4,1.0054493760549876,raw_attack[17],1566.8603870204695,sigma_regular_raw[1],1752.8382165000435,sigma_regular_raw[1],0,5,0,0.8976813988451402,4.99225,30.944,0.11282568294099715,0.17439966727244446
12,1000,4,1.008047908912631,raw_defence[3],2138.6973568113794,sigma_regular_raw[1],1849.6878766042648,sigma_regular_raw[1],0,7,0,0.8557816795606751,4.91725,30.336,0.14745227138946895,0.19190094869898455
13,1000,4,1.004624903880904,raw_defence[1],1357.4140790670683,sigma_regular_raw[1],1564.2327034779946,mu_penalty[1],0,5,0,0.847602284691959,5.0,31.008,0.10964243927763781,0.14127113556874143
14,1000,4,1.0043070365121318,sigma_referee_raw[1],1187.8157502850731,sigma_regular_raw[1],1534.716867465555,sigma_regular_raw[1],0,7,0,0.7787775641370382,4.782,28.72,0.1186507821271856,0.20742006952892394
15,1000,4,1.004471628634037,raw_attack[24],1611.5542202662075,sigma_regular_raw[1],1910.5413625006006,sigma_regular_raw[1],0,5,0,0.8538141593942391,5.0,31.0,0.12045263813136312,0.1459286469770785
16,1000,4,1.005741297532193,raw_referee[39],1417.472646295108,sigma_regular_raw[1],1987.544925890697,raw_defence[15],0,5,0,0.7558534523178287,4.999,30.992,0.14155368471986415,0.16708322766728223
17,1000,4,1.0064794070707728,raw_referee[39],1121.6462925428348,sigma_regular_raw[1],1359.9599780260273,sigma_regular_raw[1],0,5,0,0.761985395108468,4.994,30.952,0.11900390135128104,0.1731085604013271
18,1000,4,1.0079175129423228,raw_referee[30],1079.5588676373827,sigma_regular_raw[1],1649.9194172115792,sigma_regular_raw[1],0,8,0,0.7579345910202366,4.9185,31.368,0.13759577263983744,0.1935978821373418
19,1000,4,1.0052405214802593,raw_referee[13],1170.041732309136,sigma_regular_raw[1],1757.3315837983964,sigma_regular_raw[1],0,6,0,0.8000289605566587,4.97075,30.696,0.13014803821570073,0.1853566930231288
20,1000,4,1.0061233080038547,raw_referee[1],1032.2185381721804,sigma_regular_raw[1],1093.1909057648884,sigma_regular_raw[1],0,5,0,0.818244679044117,4.99975,30.996,0.11067856051865912,0.16243441164831665
21,1000,4,1.0101276435514561,raw_referee[20],1283.9632431871357,sigma_regular_raw[1],1721.7092170672004,sigma_regular_raw[1],0,7,0,0.8968749991811876,4.8815,31.064,0.12365443079702126,0.19776344526574105
22,1000,4,1.0060225546752493,raw_referee[13],2356.441534065321,sigma_regular_raw[1],1738.5829829169847,sigma_regular_raw[1],0,5,0,0.9497497568723335,4.94725,30.44,0.12929774923818768,0.18680826167709477
23,1000,4,1.0058089210115317,raw_defence[7],1715.8654657347904,sigma_regular_raw[1],1988.6026784805563,sigma_regular_raw[1],0,7,0,0.8830340337144342,4.63625,29.24,0.17803068696625193,0.20572565131499593
24,1000,4,1.0041519165408004,raw_referee[27],1900.4335673323196,sigma_regular_raw[1],2196.7534889550766,sigma_referee_raw[1],0,5,0,0.8786217892517203,4.94625,30.456,0.1332388975996851,0.1887059932940798
25,1000,4,1.010003147475664,raw_referee[16],1533.849797292768,sigma_regular_raw[1],2170.878494002878,raw_attack[7],0,5,0,0.795895804810359,4.97625,30.808,0.15163464121240028,0.18281205631437514
26,1000,4,1.0055321928725929,raw_referee[38],1556.4483094636034,sigma_regular_raw[1],2000.1362606993332,sigma_regular_raw[1],0,5,0,0.8796856889249804,4.988,30.896,0.1148231445857331,0.17627342526015044
27,1000,4,1.0059972504974068,raw_referee[9],1490.9414674084087,sigma_regular_raw[1],1748.611977964479,sigma_referee_raw[1],0,8,0,0.9055683368816602,4.5585,30.104,0.16348944356267106,0.20791672384465476
28,1000,4,1.0060967751918608,raw_referee[24],1183.4669779672643,sigma_regular_raw[1],1689.2911646178839,sigma_regular_raw[1],0,5,0,0.8157134330334298,5.0,31.0,0.15069879910352732,0.1588961169596973
29,1000,4,1.0045451080487995,raw_attack[21],1343.7000029325627,sigma_regular_raw[1],1821.747038231304,sigma_regular_raw[1],0,5,0,0.8318276887931475,4.9695,30.756,0.12808339200941515,0.18088019595683877
30,1000,4,1.0047658802616264,raw_defence[11],1192.5035177460063,sigma_regular_raw[1],1758.3975845240261,sigma_referee_raw[1],0,5,0,0.8488362210866066,4.9995,30.992,0.13501470183562253,0.16080063452573176
31,1000,4,1.0059735739411202,raw_defence[10],1396.2553097374325,sigma_regular_raw[1],1825.0187833316638,sigma_referee_raw[1],0,7,0,0.8176645561443736,4.9185,31.476,0.12699416218684498,0.19512800550480022
32,1000,4,1.0051309431666253,raw_attack[15],1716.3747672577877,sigma_regular_raw[1],1905.6493180117257,sigma_regular_raw[1],0,5,0,0.7950920273508212,4.97025,30.732,0.129358999397633,0.1819175597477612
33,1000,4,1.0066343659745638,raw_attack[10],1295.8321767907864,sigma_regular_raw[1],1748.8895818784242,sigma_regular_raw[1],0,7,0,0.818994957070541,4.84825,30.608,0.1315193552406754,0.1962132437311567
34,1000,4,1.005353659438518,raw_defence[3],1258.1844061714994,sigma_regular_raw[1],1444.9240440650312,sigma_regular_raw[1],0,7,0,0.8238042368166163,4.87975,31.524,0.1175110982234975,0.20103672462676453
35,1000,4,1.0052151668687679,raw_referee[33],1552.5964022564115,sigma_regular_raw[1],1427.0360079025716,sigma_regular_raw[1],0,7,0,0.8769392217066995,4.90925,31.28,0.12647314585963115,0.1977519580639824
36,1000,4,1.0057132621397966,raw_referee[14],921.3455809705547,sigma_regular_raw[1],1132.400128178142,sigma_regular_raw[1],0,5,0,0.7348465835057497,4.996,30.964,0.12688043091700762,0.17298444749502975
37,1000,4,1.005734299045775,raw_referee[17],1424.1471847578791,sigma_regular_raw[1],1718.4947992860075,sigma_regular_raw[1],0,7,0,0.7179440888634452,4.827,30.512,0.15798048469692613,0.20022557842300293
38,1000,4,1.0064089399450393,sigma_regular_raw[1],1004.166505084848,sigma_regular_raw[1],792.7856740678071,sigma_regular_raw[1],0,5,0,0.8028460859077257,4.9995,30.992,0.11281998645494415,0.15895258934786813
39,1000,4,1.00573851535709,raw_referee[18],1277.1502773651205,sigma_regular_raw[1],1845.6222355092887,sigma_regular_raw[1],0,5,0,0.820880706915796,4.99475,30.948,0.11292388509127922,0.1720359857708811
40,1000,4,1.0048423425070543,raw_referee[19],1225.9176476741588,sigma_regular_raw[1],1505.2475960707773,sigma_regular_raw[1],0,5,0,0.7874889148340384,4.95575,30.584,0.16014651579953731,0.18315482240202083
