model,config,rep,chain,seed,thread,start_s,stop_s,elapsed_s,status,mean_concurrency,mean_tree_depth,mean_leapfrog,step_size,mean_acceptance,n_divergent
m00_recombined_control,B,1,1,20261911,6,0.0756828784942627,1625.3754189014435,1625.2997360229492,ok,15.71721648332341,4.784,29.208,0.18560256211685933,0.9490752864042602,0
m00_recombined_control,B,1,2,20261912,3,0.0756828784942627,1565.7644848823547,1565.6888020038605,ok,15.960838216890341,4.278,28.088,0.20401603009346206,0.9343075539713432,0
m00_recombined_control,B,1,3,20261913,9,0.0756828784942627,1631.8439419269562,1631.768259048462,ok,15.670768046667648,4.998,30.968,0.1633095560000008,0.9677144088973988,0
m00_recombined_control,B,1,4,20261914,4,0.0756828784942627,1508.2027280330658,1508.1270451545715,ok,15.999999994941145,4.908,30.232,0.1888858396444701,0.9584702048454289,0
m00_recombined_control,B,2,1,20262911,2,0.0756828784942627,1564.616674900055,1564.5409920215607,ok,15.963010406483745,5.0,31.0,0.12960306255941587,0.9779439968126926,0
m00_recombined_control,B,2,2,20262912,7,0.0756828784942627,1645.0352149009705,1644.9595320224762,ok,15.55891531093364,5.0,31.0,0.1627261148977902,0.9619774854241573,0
m00_recombined_control,B,2,3,20262913,12,0.0756838321685791,1623.6180968284607,1623.5424129962921,ok,15.72881680142784,4.824,29.592,0.18882542370245103,0.9475575848897223,0
m00_recombined_control,B,2,4,20262914,16,0.0756838321685791,1632.850131034851,1632.7744472026825,ok,15.662959753548138,5.0,31.0,0.1450065669762288,0.9748442338557801,0
m00_recombined_control,B,3,1,20263911,13,0.0756838321685791,1591.012934923172,1590.9372510910034,ok,15.88339986346238,5.0,31.0,0.12095346642887012,0.9824752221918971,0
m00_recombined_control,B,3,2,20263912,8,0.0756828784942627,1640.3706350326538,1640.2949521541595,ok,15.600317147337954,4.838,29.976,0.18582623375607574,0.9481853868054374,0
m00_recombined_control,B,3,3,20263913,5,0.0756828784942627,1579.6600589752197,1579.5843760967255,ok,15.925685354693272,5.0,31.0,0.1651121847705155,0.963278878760036,0
m00_recombined_control,B,3,4,20263914,11,0.0756838321685791,1611.4998519420624,1611.4241681098938,ok,15.795887435262918,4.906,30.296,0.18530105652335582,0.9561434711308173,0
m00_recombined_control,B,4,1,20264911,15,0.0756838321685791,1617.6981949806213,1617.6225111484528,ok,15.764420683151254,5.0,31.0,0.15235030845449413,0.9701479602083848,0
m00_recombined_control,B,4,2,20264912,14,0.0756838321685791,1579.1712679862976,1579.095584154129,ok,15.927210049080568,5.0,31.0,0.15658108572670534,0.9649639907288873,0
m00_recombined_control,B,4,3,20264913,10,0.0756838321685791,1563.1588940620422,1563.0832102298737,ok,15.964841176932037,4.846,30.136,0.18680679260346872,0.9568583627260473,0
m00_recombined_control,B,4,4,20264914,17,0.0756838321685791,1615.1184530258179,1615.0427691936493,ok,15.778420277575098,5.0,31.0,0.14286145670761666,0.9782584957668159,0
