model,config,rep,chain,seed,thread,start_s,stop_s,elapsed_s,status,mean_concurrency,mean_tree_depth,mean_leapfrog,step_size,mean_acceptance,n_divergent
m00_recombined_control,B,1,1,20261911,6,0.07985901832580566,1620.4821999073029,1620.402340888977,ok,15.663204539088865,4.784,29.208,0.18560256211685933,0.9490752864042602,0
m00_recombined_control,B,1,2,20261912,10,0.07985806465148926,1561.4647688865662,1561.3849108219147,ok,15.941441180428162,4.278,28.088,0.20401603009346206,0.9343075539713432,0
m00_recombined_control,B,1,3,20261913,16,0.07985806465148926,1612.9438679218292,1612.8640098571777,ok,15.71771694682107,4.998,30.968,0.1633095560000008,0.9677144088973988,0
m00_recombined_control,B,1,4,20261914,4,0.07985901832580566,1516.487732887268,1516.4078738689423,ok,16.0,4.908,30.232,0.1888858396444701,0.9584702048454289,0
m00_recombined_control,B,2,1,20262911,14,0.07985806465148926,1537.4056220054626,1537.3257639408112,ok,15.986393321937202,5.0,31.0,0.12960306255941587,0.9779439968126926,0
m00_recombined_control,B,2,2,20262912,8,0.07985901832580566,1633.4761900901794,1633.3963310718536,ok,15.552140819186256,5.0,31.0,0.1627261148977902,0.9619774854241573,0
m00_recombined_control,B,2,3,20262913,12,0.07985806465148926,1609.3253149986267,1609.2454569339752,ok,15.741816829049023,4.824,29.592,0.18882542370245103,0.9475575848897223,0
m00_recombined_control,B,2,4,20262914,5,0.07985901832580566,1622.5249869823456,1622.4451279640198,ok,15.647260560389546,5.0,31.0,0.1450065669762288,0.9748442338557801,0
m00_recombined_control,B,3,1,20263911,13,0.07985806465148926,1582.097440958023,1582.0175828933716,ok,15.876994908440654,5.0,31.0,0.12095346642887012,0.9824752221918971,0
m00_recombined_control,B,3,2,20263912,7,0.07985901832580566,1627.5618760585785,1627.4820170402527,ok,15.605023695762224,4.838,29.976,0.18582623375607574,0.9481853868054374,0
m00_recombined_control,B,3,3,20263913,17,0.07985806465148926,1561.3916161060333,1561.3117580413818,ok,15.941625850389284,5.0,31.0,0.1651121847705155,0.963278878760036,0
m00_recombined_control,B,3,4,20263914,11,0.07985806465148926,1584.0648000240326,1583.984941959381,ok,15.869695496111829,4.906,30.296,0.18530105652335582,0.9561434711308173,0
m00_recombined_control,B,4,1,20264911,9,0.07985901832580566,1599.7258360385895,1599.6459770202637,ok,15.798462268360412,5.0,31.0,0.15235030845449413,0.9701479602083848,0
m00_recombined_control,B,4,2,20264912,2,0.07985901832580566,1593.3644309043884,1593.2845718860626,ok,15.829598688550622,5.0,31.0,0.15658108572670534,0.9649639907288873,0
m00_recombined_control,B,4,3,20264913,3,0.07985806465148926,1539.141254901886,1539.0613968372345,ok,15.984153223132907,4.846,30.136,0.18680679260346872,0.9568583627260473,0
m00_recombined_control,B,4,4,20264914,15,0.07985901832580566,1602.629559993744,1602.549700975418,ok,15.782519982363535,5.0,31.0,0.14286145670761666,0.9782584957668159,0
