t_s,rss_bytes
0.0,2216071168
2.0,2587971584
4.0,2594320384
6.0,2601807872
8.0,2603171840
10.0,2603655168
12.0,2603925504
14.0,2604552192
16.0,2604630016
18.0,2604699648
20.0,2605056000
22.0,2605285376
24.0,2605375488
26.0,2605621248
28.0,2605621248
30.0,2605699072
32.0,2605760512
34.0,2605920256
36.0,2606067712
38.0,2606141440
40.0,2606264320
42.0,2606333952
44.0,2606424064
46.0,2606632960
48.0,2606632960
50.0,2606804992
52.0,2606804992
54.0,2606956544
56.0,2606997504
58.0,2607067136
60.0,2607206400
62.0,2607345664
64.0,2607345664
66.0,2607345664
68.0,2607345664
70.0,2607345664
72.0,2607345664
74.0,2607427584
76.0,2607448064
78.0,2607448064
80.0,2607448064
82.0,2607517696
84.0,2607599616
86.0,2607616000
88.0,2607804416
90.0,2607955968
92.0,2608054272
94.0,2608054272
96.0,2608070656
98.0,2608082944
100.0,2608152576
102.0,2608152576
104.0,2608246784
106.0,2608373760
108.0,2608373760
110.0,2608447488
112.0,2608472064
114.0,2608472064
116.0,2608472064
118.0,2608472064
120.0,2608472064
122.0,2608500736
124.0,2608500736
126.0,2608500736
128.0,2608795648
130.0,2608795648
132.0,2608803840
134.0,2608803840
136.0,2608803840
138.0,2608877568
140.0,2608877568
142.0,2608889856
144.0,2608889856
146.0,2608959488
148.0,2609053696
150.0,2609053696
152.0,2609053696
154.0,2609053696
156.0,2609057792
158.0,2609057792
160.0,2609057792
162.0,2609057792
164.0,2609065984
166.0,2609065984
168.0,2609065984
170.0,2609147904
172.0,2609147904
174.0,2609147904
176.0,2609147904
178.0,2609147904
180.0,2609147904
182.0,2609147904
184.0,2609164288
186.0,2609164288
188.0,2609233920
190.0,2609233920
192.0,2609233920
194.0,2609233920
196.0,2609299456
198.0,2609299456
200.0,2609299456
202.0,2609332224
204.0,2609340416
206.0,2609483776
208.0,2609577984
210.0,2609602560
212.0,2609602560
214.0,2609602560
216.0,2609602560
218.0,2609602560
220.0,2609602560
222.0,2609602560
224.0,2609659904
226.0,2609659904
228.0,2609729536
230.0,2609729536
232.0,2609799168
234.0,2609799168
236.0,2609803264
238.0,2609803264
240.0,2609803264
242.0,2609803264
244.0,2609803264
246.0,2609815552
248.0,2609815552
250.0,2609827840
252.0,2609827840
254.0,2609827840
256.0,2609827840
258.0,2609827840
260.0,2609836032
262.0,2609836032
264.0,2609836032
266.0,2609836032
268.0,2609836032
270.0,2609836032
272.0,2609836032
274.0,2609905664
276.0,2609905664
278.0,2609905664
280.0,2609905664
282.0,2609975296
284.0,2609975296
286.0,2609975296
288.0,2609975296
290.0,2609975296
292.0,2609979392
294.0,2609995776
296.0,2609995776
298.0,2609995776
300.0,2610024448
302.0,2610094080
304.0,2610094080
306.0,2610114560
308.0,2610114560
310.0,2610114560
312.0,2610114560
314.0,2610114560
316.0,2610114560
318.0,2610114560
320.0,2610114560
322.0,2610163712
324.0,2610163712
326.0,2610163712
328.0,2610925568
330.0,2610925568
332.0,2610925568
334.0,2610925568
336.0,2610925568
338.0,2610925568
340.0,2610925568
342.0,2610925568
344.0,2610933760
346.0,2610933760
348.0,2610933760
350.0,2610933760
352.0,2610937856
354.0,2611011584
356.0,2611011584
358.0,2611011584
