t_s,rss_bytes
0.0,2282663936
2.0,2669678592
4.0,2774302720
6.0,2818957312
8.0,2825330688
10.0,2830229504
12.0,2834305024
14.0,2834718720
16.0,2835091456
18.0,2836860928
20.0,2836938752
22.0,2838745088
24.0,2840113152
26.0,2842472448
28.0,2844057600
30.0,2845364224
32.0,2845683712
34.0,2856611840
36.0,2856611840
38.0,2856615936
40.0,2856701952
42.0,2856755200
44.0,2856755200
46.0,2856828928
48.0,2856828928
50.0,2856828928
52.0,2856853504
54.0,2856869888
56.0,2856890368
58.0,2856890368
60.0,2856947712
62.0,2856947712
64.0,2856955904
66.0,2856955904
68.0,2856955904
70.0,2856955904
72.0,2856984576
74.0,2857005056
76.0,2857021440
78.0,2857021440
80.0,2857021440
82.0,2857033728
84.0,2857558016
86.0,2857607168
88.0,2857697280
90.0,2857697280
92.0,2857730048
94.0,2857730048
96.0,2857775104
98.0,2857775104
100.0,2857775104
102.0,2857775104
104.0,2857861120
106.0,2857869312
108.0,2857869312
110.0,2857889792
112.0,2857889792
114.0,2857889792
116.0,2857889792
118.0,2857902080
120.0,2857902080
122.0,2857902080
124.0,2857902080
126.0,2857934848
128.0,2857934848
130.0,2857934848
132.0,2857934848
134.0,2858016768
136.0,2858016768
138.0,2858016768
140.0,2858016768
142.0,2858053632
144.0,2858053632
146.0,2858053632
148.0,2858115072
150.0,2858115072
152.0,2858115072
154.0,2858115072
156.0,2858115072
158.0,2858115072
160.0,2858115072
162.0,2858115072
164.0,2858115072
166.0,2858115072
168.0,2858115072
170.0,2858115072
172.0,2858115072
174.0,2858115072
176.0,2858115072
178.0,2859876352
180.0,2859917312
182.0,2859991040
184.0,2859991040
186.0,2859991040
188.0,2859995136
190.0,2859995136
192.0,2859995136
194.0,2860744704
196.0,2860744704
198.0,2860752896
200.0,2860752896
202.0,2860765184
204.0,2860765184
206.0,2860855296
208.0,2860855296
210.0,2860855296
212.0,2860855296
214.0,2860892160
216.0,2860892160
218.0,2860908544
220.0,2860908544
222.0,2860924928
224.0,2860924928
