model,config,rep,chain,seed,thread,start_s,stop_s,elapsed_s,status,mean_concurrency,mean_tree_depth,mean_leapfrog,step_size,mean_acceptance,n_divergent
m00_recombined_control,T,1,1,20261911,5,0.07916688919067383,559.3622620105743,559.2830951213837,ok,15.185471191780728,7.0,134.68,0.021398345137204164,0.9690404646185938,0
m00_recombined_control,T,1,2,20261912,9,0.07916688919067383,538.8468859195709,538.7677190303802,ok,15.608190637345114,7.0,127.0,0.02916852511773128,0.9564945070945149,0
m00_recombined_control,T,1,3,20261913,2,0.07916688919067383,578.4547328948975,578.3755660057068,ok,14.74488282874489,7.86,242.2,0.018478666432708898,0.9807791911107561,0
m00_recombined_control,T,1,4,20261914,8,0.07916688919067383,512.4017729759216,512.322606086731,ok,15.934775707084937,7.0,127.0,0.027947105223295965,0.9542265629493578,0
m00_recombined_control,T,2,1,20262911,6,0.07916688919067383,532.4221379756927,532.3429710865021,ok,15.72415009655556,7.0,127.0,0.023113472294159332,0.9709601328378743,0
m00_recombined_control,T,2,2,20262912,16,0.07916998863220215,575.3724138736725,575.2932438850403,ok,14.818525506011207,7.64,221.72,0.01968984406808044,0.9838333100161266,0
m00_recombined_control,T,2,3,20262913,7,0.07916688919067383,551.101884841919,551.0227179527283,ok,15.368143493198486,7.0,127.0,0.026003681296959354,0.9676404289909578,0
m00_recombined_control,T,2,4,20262914,12,0.07916998863220215,517.8726229667664,517.7934529781342,ok,15.90376779656672,7.0,127.0,0.026603195293415767,0.958878161208031,0
m00_recombined_control,T,3,1,20263911,15,0.07916998863220215,491.00054001808167,490.92137002944946,ok,15.999999994172136,7.0,127.0,0.028681155311027683,0.9536544631776568,0
m00_recombined_control,T,3,2,20263912,10,0.07917094230651855,548.8338198661804,548.7546489238739,ok,15.415129360638923,7.0,127.0,0.025792781728351914,0.965579637278841,0
m00_recombined_control,T,3,3,20263913,4,0.07916688919067383,527.4035029411316,527.3243360519409,ok,15.806507305355206,7.0,127.0,0.027349456733831237,0.9613439883131543,0
m00_recombined_control,T,3,4,20263914,14,0.07916998863220215,523.4754049777985,523.3962349891663,ok,15.857590308808497,7.0,127.0,0.026831908056470736,0.9513407283284327,0
m00_recombined_control,T,4,1,20264911,3,0.07916688919067383,527.7578678131104,527.6787009239197,ok,15.801264812230091,7.0,127.0,0.026733573839273814,0.9668656821302496,0
m00_recombined_control,T,4,2,20264912,13,0.07917094230651855,522.678552865982,522.5993819236755,ok,15.866521884494174,7.0,127.0,0.03279460845677505,0.9353481711398711,0
m00_recombined_control,T,4,3,20264913,17,0.07917094230651855,500.38715386390686,500.30798292160034,ok,15.981238328856936,7.0,127.0,0.028416923752291767,0.9469382061500232,0
m00_recombined_control,T,4,4,20264914,11,0.07916998863220215,521.9750938415527,521.8959238529205,ok,15.873081422223898,7.0,127.0,0.027547558639211676,0.9647409207999122,0
