model,config,rep,chain,seed,thread,start_s,stop_s,elapsed_s,status,mean_concurrency,mean_tree_depth,mean_leapfrog,step_size,mean_acceptance,n_divergent
m00_recombined_control,T,1,1,20261911,3,0.0756371021270752,718.0361330509186,717.9604959487915,ok,15.277019072988319,7.0,134.68,0.021398345137204164,0.9690404646185938,0
m00_recombined_control,T,1,2,20261912,9,0.0756371021270752,696.9049830436707,696.8293459415436,ok,15.623908880409886,7.0,127.0,0.02916852511773128,0.9564945070945149,0
m00_recombined_control,T,1,3,20261913,2,0.0756371021270752,745.4689490795135,745.3933119773865,ok,14.788383052534616,7.86,242.2,0.018478666432708898,0.9807791911107561,0
m00_recombined_control,T,1,4,20261914,4,0.0756380558013916,671.2472059726715,671.1715679168701,ok,15.907945478076343,7.0,127.0,0.027947105223295965,0.9542265629493578,0
m00_recombined_control,T,2,1,20262911,7,0.0756371021270752,692.3988740444183,692.3232369422913,ok,15.686547804109068,7.0,127.0,0.023113472294159332,0.9709601328378743,0
m00_recombined_control,T,2,2,20262912,5,0.0756371021270752,746.0090138912201,745.933376789093,ok,14.778400095974797,7.64,221.72,0.01968984406808044,0.9838333100161266,0
m00_recombined_control,T,2,3,20262913,8,0.0756371021270752,710.9004850387573,710.8248479366302,ok,15.400262495046132,7.0,127.0,0.026003681296959354,0.9676404289909578,0
m00_recombined_control,T,2,4,20262914,17,0.07564306259155273,677.9093630313873,677.8337199687958,ok,15.855833803768329,7.0,127.0,0.026603195293415767,0.958878161208031,0
m00_recombined_control,T,3,1,20263911,12,0.07564306259155273,627.9590120315552,627.8833689689636,ok,16.0,7.0,127.0,0.028681155311027683,0.9536544631776568,0
m00_recombined_control,T,3,2,20263912,14,0.07564306259155273,700.6140151023865,700.5383720397949,ok,15.567660181118985,7.0,127.0,0.025792781728351914,0.965579637278841,0
m00_recombined_control,T,3,3,20263913,13,0.07564306259155273,672.3196139335632,672.2439708709717,ok,15.90171132436193,7.0,127.0,0.027349456733831237,0.9613439883131543,0
m00_recombined_control,T,3,4,20263914,6,0.0756371021270752,689.0254809856415,688.9498438835144,ok,15.729080856881003,7.0,127.0,0.026831908056470736,0.9513407283284327,0
m00_recombined_control,T,4,1,20264911,10,0.07564306259155273,670.5407700538635,670.465126991272,ok,15.91100949534789,7.0,127.0,0.026733573839273814,0.9668656821302496,0
m00_recombined_control,T,4,2,20264912,11,0.07564306259155273,676.0157890319824,675.9401459693909,ok,15.87490779235576,7.0,127.0,0.03279460845677505,0.9353481711398711,0
m00_recombined_control,T,4,3,20264913,15,0.07564306259155273,653.4574980735779,653.3818550109863,ok,15.960974603370959,7.0,127.0,0.028416923752291767,0.9469382061500232,0
m00_recombined_control,T,4,4,20264914,16,0.07564306259155273,676.1049430370331,676.0292999744415,ok,15.874133015938508,7.0,127.0,0.027547558639211676,0.9647409207999122,0
