model,config,rep,chain,seed,thread,start_s,stop_s,elapsed_s,status,mean_concurrency,mean_tree_depth,mean_leapfrog,step_size,mean_acceptance,n_divergent
m00_recombined_control,B,1,1,20261911,4,0.07735013961791992,23.825114965438843,23.747764825820923,ok,15.526491936752992,4.716,29.496,0.19408299488153827,0.9407920061959764,0
m00_recombined_control,B,1,2,20261912,2,0.07735013961791992,24.02866792678833,23.95131778717041,ok,15.444789057852276,4.936,30.232,0.18214740496668197,0.948584478986512,0
m00_recombined_control,B,1,3,20261913,9,0.07735013961791992,24.047343969345093,23.969993829727173,ok,15.43587193551107,4.752,29.496,0.19099668490321114,0.9489877052114014,0
m00_recombined_control,B,1,4,20261914,7,0.07735013961791992,22.537588119506836,22.460237979888916,ok,15.78525805607949,4.884,29.976,0.1820711790257383,0.9566467521926937,0
m00_recombined_control,B,2,1,20262911,6,0.07735013961791992,20.53913402557373,20.46178388595581,ok,15.978880344139217,4.014,16.152,0.21821780733025112,0.9283540636555605,0
m00_recombined_control,B,2,2,20262912,3,0.07735013961791992,24.832138061523438,24.754787921905518,ok,15.018650463965278,4.504,31.544,0.20198428761690979,0.9370552287268527,0
m00_recombined_control,B,2,3,20262913,16,0.07735300064086914,24.734591960906982,24.657238960266113,ok,15.07411023265181,4.996,30.936,0.16761641071171585,0.9615074707383136,0
m00_recombined_control,B,2,4,20262914,14,0.07735300064086914,23.7815580368042,23.70420503616333,ok,15.540322917590542,4.374,30.424,0.20645389920893567,0.9462653123707716,0
m00_recombined_control,B,3,1,20263911,13,0.07735300064086914,23.3506441116333,23.27329111099243,ok,15.646731343987227,5.0,31.0,0.16681381289387442,0.9597762700807289,0
m00_recombined_control,B,3,2,20263912,12,0.07735300064086914,24.361053943634033,24.283700942993164,ok,15.275219496242947,5.0,31.0,0.1471916028166482,0.9716640649698319,0
m00_recombined_control,B,3,3,20263913,8,0.07735013961791992,22.143486976623535,22.066136837005615,ok,15.835002757258222,4.18,24.472,0.2076873754548218,0.9486235830833881,0
m00_recombined_control,B,3,4,20263914,5,0.07735013961791992,20.107011079788208,20.029660940170288,ok,15.999998857285519,3.998,15.056,0.2282628753028146,0.9294095207954837,1
m00_recombined_control,B,4,1,20264911,17,0.07735300064086914,23.69248604774475,23.615133047103882,ok,15.564991826726006,5.0,31.0,0.14392847577172257,0.9663864751296324,0
m00_recombined_control,B,4,2,20264912,11,0.07735300064086914,23.916146993637085,23.838793992996216,ok,15.493933145348509,5.0,31.0,0.11858127051352224,0.9830563623461908,0
m00_recombined_control,B,4,3,20264913,15,0.07735300064086914,23.204276084899902,23.126923084259033,ok,15.676140050675173,5.0,31.0,0.13055528510162684,0.9792811805992867,0
m00_recombined_control,B,4,4,20264914,10,0.07735300064086914,23.9198899269104,23.84253692626953,ok,15.4924427352309,4.4,30.84,0.20074927055736036,0.9350215118697324,0
