fold,side,parameter,mean,sd,q05,q50,q95,prior_mean,prior_sd
3,α,φ,0.49220641930562,0.22626928382654182,0.12053866813200362,0.48939040298079023,0.8634318810774694,0.5,0.22360679774997896
3,α,σᵥ,0.014947177545874284,0.01075867479769175,0.0027619362155219523,0.012400680666231494,0.03636944682659945,0.015,0.010606601717798213
3,β,φ,0.4941095528770759,0.22544334786325695,0.1309927350837113,0.49719577841042195,0.8472497854813267,0.5,0.22360679774997896
3,β,σᵥ,0.012577174705890079,0.009495210769258732,0.0018130557194751095,0.010013561022126877,0.03220731606493087,0.012,0.00848528137423857
4,α,φ,0.5024351657018534,0.22404768161029892,0.14057475431047606,0.5062018317894355,0.8547108090550064,0.5,0.22360679774997896
4,α,σᵥ,0.015719900533806862,0.011696339990033815,0.00287399968189305,0.012659218225095714,0.037284396904714454,0.015,0.010606601717798213
4,β,φ,0.5009631741469173,0.2224871358173038,0.13137552087530385,0.5014005583244645,0.8573654291249163,0.5,0.22360679774997896
4,β,σᵥ,0.011961884547290413,0.008761165725585976,0.0020465903551707553,0.009538023159381726,0.0298849075596746,0.012,0.00848528137423857
5,α,φ,0.5136501043148364,0.21849817632536822,0.1574951741146612,0.5135172615287846,0.8698709811845934,0.5,0.22360679774997896
5,α,σᵥ,0.01554791210113631,0.010751216407478687,0.00315560169939125,0.013374643900103855,0.03583535422435649,0.015,0.010606601717798213
5,β,φ,0.49785002667548284,0.21839134534789853,0.14228806325244586,0.49752799106751044,0.8509102967210468,0.5,0.22360679774997896
5,β,σᵥ,0.011656668609030281,0.008163291538331289,0.0023865071568358264,0.010023523345792035,0.026209166789387665,0.012,0.00848528137423857
6,α,φ,0.505770568717533,0.224857169155656,0.15839904938792426,0.5100579911394876,0.8591456154900001,0.5,0.22360679774997896
6,α,σᵥ,0.014649492013743041,0.01015821496588119,0.00272960205619398,0.012681200535727584,0.03377104945854802,0.015,0.010606601717798213
6,β,φ,0.49680194799168315,0.21632604716362477,0.12872531569990736,0.5100858255398447,0.8556471975446779,0.5,0.22360679774997896
6,β,σᵥ,0.011538816274895116,0.007817084563549117,0.0021941922272676034,0.009776761136392607,0.02639688747229757,0.012,0.00848528137423857
