model,comparator,scope,n_obs,n_fixtures,delta,lo,hi,p_negative
m01_poisson_time_decay,market,all,2899,627,0.00503381425576431,-0.0024519841547535125,0.012436626952895402,0.0935
m01_poisson_time_decay,m02_poisson_grw_1st_order,all,2899,627,0.002331184512692153,-0.002382031767468017,0.00695885911538878,0.175
m01_poisson_time_decay,market,1X2,1785,595,0.007173611730929586,-0.004077113110726304,0.01813351238664994,0.09825
m01_poisson_time_decay,m02_poisson_grw_1st_order,1X2,1785,595,0.0034514630527356345,-0.0016279736742567266,0.00839724310993719,0.08975
m01_poisson_time_decay,market,OU2.5,758,379,0.00034701072820838186,-0.009897877620182474,0.010601003352427911,0.46575
m01_poisson_time_decay,m02_poisson_grw_1st_order,OU2.5,758,379,0.002469001914246283,-0.007907574734059081,0.012983337164379105,0.318
m01_poisson_time_decay,market,BTTS,356,178,0.004283978808341205,-0.00577359398157882,0.014598314041728738,0.20725
m01_poisson_time_decay,m02_poisson_grw_1st_order,BTTS,356,178,-0.0035793851062843724,-0.016667513210008214,0.0096672264211169,0.713
m02_poisson_grw_1st_order,market,all,2899,627,0.002702629743072156,-0.004706812130640068,0.009990548392591525,0.23075
m02_poisson_grw_1st_order,m01_poisson_time_decay,all,2899,627,-0.002331184512692153,-0.006958859115388778,0.002382031767468017,0.825
m02_poisson_grw_1st_order,market,1X2,1785,595,0.003722148678193954,-0.006991904058751243,0.013502497128272353,0.22225
m02_poisson_grw_1st_order,m01_poisson_time_decay,1X2,1785,595,-0.0034514630527356345,-0.00839724310993719,0.001627973674256727,0.91025
m02_poisson_grw_1st_order,market,OU2.5,758,379,-0.0021219911860379027,-0.015843466014701393,0.012006547799697554,0.61975
m02_poisson_grw_1st_order,m01_poisson_time_decay,OU2.5,758,379,-0.002469001914246283,-0.012983337164379103,0.007907574734059083,0.682
m02_poisson_grw_1st_order,market,BTTS,356,178,0.007863363914625577,-0.006397296104488716,0.022314147790070293,0.14925
m02_poisson_grw_1st_order,m01_poisson_time_decay,BTTS,356,178,0.0035793851062843724,-0.0096672264211169,0.016667513210008218,0.287
m03_poisson_momentum_grw,market,all,2899,627,0.0026250805226988223,-0.004721881459386847,0.009916701002935152,0.2305
m03_poisson_momentum_grw,m01_poisson_time_decay,all,2899,627,-0.0024087337330654882,-0.007300353783803938,0.0025467426231090885,0.81275
m03_poisson_momentum_grw,m02_poisson_grw_1st_order,all,2899,627,-7.754922037333513e-5,-0.001180768815440989,0.0010710204791187275,0.54025
m03_poisson_momentum_grw,market,1X2,1785,595,0.0040539168090594786,-0.006549267272059621,0.01380612399087405,0.2005
m03_poisson_momentum_grw,m01_poisson_time_decay,1X2,1785,595,-0.003119694921870109,-0.008633070025386273,0.002523854270913837,0.8705
m03_poisson_momentum_grw,m02_poisson_grw_1st_order,1X2,1785,595,0.00033176813086552385,-0.0009425824543802955,0.0016112624886922364,0.305
m03_poisson_momentum_grw,market,OU2.5,758,379,-0.002372094032528566,-0.01599805455958794,0.011685860778679433,0.63675
m03_poisson_momentum_grw,m01_poisson_time_decay,OU2.5,758,379,-0.0027191047607369474,-0.013362639931522678,0.007970085328651615,0.69375
m03_poisson_momentum_grw,m02_poisson_grw_1st_order,OU2.5,758,379,-0.000250102846490664,-0.0024725772541823207,0.0020124896695161067,0.59125
m03_poisson_momentum_grw,market,BTTS,356,178,0.006100882606149917,-0.008437739106947902,0.021025233255339792,0.211
m03_poisson_momentum_grw,m01_poisson_time_decay,BTTS,356,178,0.0018169037978087107,-0.011824825909442617,0.014892152214419675,0.39275
m03_poisson_momentum_grw,m02_poisson_grw_1st_order,BTTS,356,178,-0.0017624813084756612,-0.004206900644110299,0.0006474565255852142,0.92025
