model,match_id,reason
m02_poisson_grw_1st_order,12477130,no closing quotes
m02_poisson_grw_1st_order,12476630,no closing quotes
m02_poisson_grw_1st_order,12476789,no closing quotes
m02_poisson_grw_1st_order,12476624,no closing quotes
m02_poisson_grw_1st_order,12476618,no closing quotes
m02_poisson_grw_1st_order,12476783,no closing quotes
m02_poisson_grw_1st_order,12476612,no closing quotes
m02_poisson_grw_1st_order,12811090,no closing quotes
m02_poisson_grw_1st_order,12476601,no closing quotes
m02_poisson_grw_1st_order,12476602,no closing quotes
m02_poisson_grw_1st_order,12954858,no closing quotes
m02_poisson_grw_1st_order,12476592,no closing quotes
m02_poisson_grw_1st_order,12476587,no closing quotes
m02_poisson_grw_1st_order,12476579,no closing quotes
m02_poisson_grw_1st_order,12476578,no closing quotes
m02_poisson_grw_1st_order,13175772,no closing quotes
m02_poisson_grw_1st_order,12476558,no closing quotes
m02_poisson_grw_1st_order,12476557,no closing quotes
m02_poisson_grw_1st_order,12476547,no closing quotes
m02_poisson_grw_1st_order,13233442,no closing quotes
m02_poisson_grw_1st_order,12476519,no closing quotes
m02_poisson_grw_1st_order,12476518,no closing quotes
m02_poisson_grw_1st_order,13348881,no closing quotes
m02_poisson_grw_1st_order,12476512,no closing quotes
m02_poisson_grw_1st_order,12476510,no closing quotes
m02_poisson_grw_1st_order,12476504,no closing quotes
m02_poisson_grw_1st_order,12476526,no closing quotes
m02_poisson_grw_1st_order,12476495,no closing quotes
m02_poisson_grw_1st_order,12476489,no closing quotes
m02_poisson_grw_1st_order,13343735,no closing quotes
m02_poisson_grw_1st_order,12476487,no closing quotes
m02_poisson_grw_1st_order,12476478,no closing quotes
m02_poisson_grw_1st_order,12476474,no closing quotes
m02_poisson_grw_1st_order,12476470,no closing quotes
m02_poisson_grw_1st_order,12476467,no closing quotes
m02_poisson_grw_1st_order,12476462,no closing quotes
m02_poisson_grw_1st_order,12476458,no closing quotes
m02_poisson_grw_1st_order,12476570,no closing quotes
m02_poisson_grw_1st_order,14035663,no closing quotes
m02_poisson_grw_1st_order,14035670,no closing quotes
m02_poisson_grw_1st_order,14035485,no closing quotes
m02_poisson_grw_1st_order,14035676,no closing quotes
m02_poisson_grw_1st_order,14035673,no closing quotes
m02_poisson_grw_1st_order,14035683,no closing quotes
m02_poisson_grw_1st_order,14035686,no closing quotes
m02_poisson_grw_1st_order,14035688,no closing quotes
m02_poisson_grw_1st_order,14035693,no closing quotes
m02_poisson_grw_1st_order,14035700,no closing quotes
m02_poisson_grw_1st_order,14035706,no closing quotes
m02_poisson_grw_1st_order,14035708,no closing quotes
m02_poisson_grw_1st_order,14035716,no closing quotes
m02_poisson_grw_1st_order,14035719,no closing quotes
m02_poisson_grw_1st_order,14035725,no closing quotes
m02_poisson_grw_1st_order,14035730,no closing quotes
m02_poisson_grw_1st_order,14035731,no closing quotes
m02_poisson_grw_1st_order,14035738,no closing quotes
m02_poisson_grw_1st_order,14035747,no closing quotes
m02_poisson_grw_1st_order,14035750,no closing quotes
m02_poisson_grw_1st_order,14035755,no closing quotes
m02_poisson_grw_1st_order,14035766,no closing quotes
m02_poisson_grw_1st_order,15399014,no closing quotes
m02_poisson_grw_1st_order,14035773,no closing quotes
m02_poisson_grw_1st_order,14035787,no closing quotes
m02_poisson_grw_1st_order,14035792,no closing quotes
m02_poisson_grw_1st_order,14035796,no closing quotes
m02_poisson_grw_1st_order,15458714,no closing quotes
m02_poisson_grw_1st_order,14035798,no closing quotes
m02_poisson_grw_1st_order,14035806,no closing quotes
m02_poisson_grw_1st_order,15588903,no closing quotes
m02_poisson_grw_1st_order,14035810,no closing quotes
m02_poisson_grw_1st_order,14035816,no closing quotes
m02_poisson_grw_1st_order,14035819,no closing quotes
m02_poisson_grw_1st_order,14035822,no closing quotes
m02_poisson_grw_1st_order,14032721,no closing quotes
m02_poisson_grw_1st_order,14032714,no closing quotes
m02_poisson_grw_1st_order,12476793,no usable selection
m02_poisson_grw_1st_order,12476706,no usable selection
m02_poisson_grw_1st_order,13255608,no usable selection
m02_poisson_grw_1st_order,12473327,no usable selection
m02_poisson_grw_1st_order,14035515,no usable selection
m02_poisson_grw_1st_order,14035695,no usable selection
m02_poisson_grw_1st_order,14035533,no usable selection
m02_poisson_grw_1st_order,14035717,no usable selection
m02_poisson_grw_1st_order,14035558,no usable selection
m02_poisson_grw_1st_order,14035743,no usable selection
m02_poisson_grw_1st_order,14035609,no usable selection
m02_poisson_grw_1st_order,14035807,no usable selection
m02_poisson_grw_1st_order,14035646,no usable selection
m01_poisson_time_decay,12477130,no closing quotes
m01_poisson_time_decay,12476630,no closing quotes
m01_poisson_time_decay,12476789,no closing quotes
m01_poisson_time_decay,12476624,no closing quotes
m01_poisson_time_decay,12476618,no closing quotes
m01_poisson_time_decay,12476783,no closing quotes
m01_poisson_time_decay,12476612,no closing quotes
m01_poisson_time_decay,12811090,no closing quotes
m01_poisson_time_decay,12476601,no closing quotes
m01_poisson_time_decay,12476602,no closing quotes
m01_poisson_time_decay,12954858,no closing quotes
m01_poisson_time_decay,12476592,no closing quotes
m01_poisson_time_decay,12476587,no closing quotes
m01_poisson_time_decay,12476579,no closing quotes
m01_poisson_time_decay,12476578,no closing quotes
m01_poisson_time_decay,13175772,no closing quotes
m01_poisson_time_decay,12476558,no closing quotes
m01_poisson_time_decay,12476557,no closing quotes
m01_poisson_time_decay,12476547,no closing quotes
m01_poisson_time_decay,13233442,no closing quotes
m01_poisson_time_decay,12476519,no closing quotes
m01_poisson_time_decay,12476518,no closing quotes
m01_poisson_time_decay,13348881,no closing quotes
m01_poisson_time_decay,12476512,no closing quotes
m01_poisson_time_decay,12476510,no closing quotes
m01_poisson_time_decay,12476504,no closing quotes
m01_poisson_time_decay,12476526,no closing quotes
m01_poisson_time_decay,12476495,no closing quotes
m01_poisson_time_decay,12476489,no closing quotes
m01_poisson_time_decay,13343735,no closing quotes
m01_poisson_time_decay,12476487,no closing quotes
m01_poisson_time_decay,12476478,no closing quotes
m01_poisson_time_decay,12476474,no closing quotes
m01_poisson_time_decay,12476470,no closing quotes
m01_poisson_time_decay,12476467,no closing quotes
m01_poisson_time_decay,12476462,no closing quotes
m01_poisson_time_decay,12476458,no closing quotes
m01_poisson_time_decay,12476570,no closing quotes
m01_poisson_time_decay,14035663,no closing quotes
m01_poisson_time_decay,14035670,no closing quotes
m01_poisson_time_decay,14035485,no closing quotes
m01_poisson_time_decay,14035676,no closing quotes
m01_poisson_time_decay,14035673,no closing quotes
m01_poisson_time_decay,14035683,no closing quotes
m01_poisson_time_decay,14035686,no closing quotes
m01_poisson_time_decay,14035688,no closing quotes
m01_poisson_time_decay,14035693,no closing quotes
m01_poisson_time_decay,14035700,no closing quotes
m01_poisson_time_decay,14035706,no closing quotes
m01_poisson_time_decay,14035708,no closing quotes
m01_poisson_time_decay,14035716,no closing quotes
m01_poisson_time_decay,14035719,no closing quotes
m01_poisson_time_decay,14035725,no closing quotes
m01_poisson_time_decay,14035730,no closing quotes
m01_poisson_time_decay,14035731,no closing quotes
