model,match_id,reason
m02_poisson_grw_1st_order,12477130,no closing quotes
m02_poisson_grw_1st_order,12476630,no closing quotes
m02_poisson_grw_1st_order,12476458,no closing quotes
m02_poisson_grw_1st_order,12476570,no closing quotes
m02_poisson_grw_1st_order,14032714,no closing quotes
m02_poisson_grw_1st_order,12473327,no usable selection
m01_poisson_time_decay,12477130,no closing quotes
m01_poisson_time_decay,12476630,no closing quotes
m01_poisson_time_decay,12476458,no closing quotes
m01_poisson_time_decay,12476570,no closing quotes
m01_poisson_time_decay,14032714,no closing quotes
m01_poisson_time_decay,12473327,no usable selection
m03_poisson_momentum_grw,12477130,no closing quotes
m03_poisson_momentum_grw,12476630,no closing quotes
m03_poisson_momentum_grw,12476458,no closing quotes
m03_poisson_momentum_grw,12476570,no closing quotes
m03_poisson_momentum_grw,14032714,no closing quotes
m03_poisson_momentum_grw,12473327,no usable selection
