model,comparator,scope,n_obs,n_fixtures,delta,lo,hi,p_negative
m01_poisson_time_decay,market,all,2899,627,0.004993868066326961,-0.0023406186310119415,0.012227819295128272,0.09
m01_poisson_time_decay,m02_joint_gamma_poisson,all,2899,627,0.003079631226993353,-0.00021840824664703693,0.006259950176336403,0.0335
m01_poisson_time_decay,market,1X2,1785,595,0.007233142278752136,-0.0037327191592783538,0.017788167176366085,0.09725
m01_poisson_time_decay,m02_joint_gamma_poisson,1X2,1785,595,0.0029151441013227824,-0.0006502380157375903,0.006656502200018073,0.0565
m01_poisson_time_decay,market,OU2.5,758,379,9.435315009377233e-5,-0.01056314870180203,0.010329619582407882,0.496
m01_poisson_time_decay,m02_joint_gamma_poisson,OU2.5,758,379,0.0029724333512096547,-0.003423103758013689,0.009373537667288226,0.17775
m01_poisson_time_decay,market,BTTS,356,178,0.004198159744208474,-0.0057168387416012345,0.014202621632697735,0.19875
m01_poisson_time_decay,m02_joint_gamma_poisson,BTTS,356,178,0.004132624230268663,-0.003270938382206218,0.011390354072225023,0.14125
m02_joint_gamma_poisson,market,all,2899,627,0.001914236839333609,-0.004225188748695201,0.008420074343462718,0.28275
m02_joint_gamma_poisson,m01_poisson_time_decay,all,2899,627,-0.003079631226993353,-0.006259950176336401,0.00021840824664703733,0.9665
m02_joint_gamma_poisson,market,1X2,1785,595,0.004317998177429356,-0.005189378213324065,0.013872712325233138,0.194
m02_joint_gamma_poisson,m01_poisson_time_decay,1X2,1785,595,-0.0029151441013227824,-0.00665650220001807,0.0006502380157375906,0.9435
m02_joint_gamma_poisson,market,OU2.5,758,379,-0.0028780802011158847,-0.014004175017975176,0.00788860770276657,0.70125
m02_joint_gamma_poisson,m01_poisson_time_decay,OU2.5,758,379,-0.0029724333512096547,-0.009373537667288226,0.003423103758013689,0.82225
m02_joint_gamma_poisson,market,BTTS,356,178,6.553551393981267e-5,-0.009601833930064262,0.010416503225911729,0.49325
m02_joint_gamma_poisson,m01_poisson_time_decay,BTTS,356,178,-0.004132624230268663,-0.011390354072225021,0.0032709383822062186,0.85875
m03_negbin_pxg_covariate,market,all,2899,627,0.002939761796578048,-0.0031343451719758036,0.009025957741667279,0.17025
m03_negbin_pxg_covariate,m01_poisson_time_decay,all,2899,627,-0.0020541062697489146,-0.005381392903507522,0.001499383074265914,0.87825
m03_negbin_pxg_covariate,m02_joint_gamma_poisson,all,2899,627,0.0010255249572444375,-0.002115942019850862,0.004066851999064309,0.263
m03_negbin_pxg_covariate,market,1X2,1785,595,0.003572282038482152,-0.004832700889157388,0.012097565256878431,0.208
m03_negbin_pxg_covariate,m01_poisson_time_decay,1X2,1785,595,-0.003660860240269987,-0.008751388393563644,0.0013870132522001424,0.9205
m03_negbin_pxg_covariate,m02_joint_gamma_poisson,1X2,1785,595,-0.0007457161389472045,-0.0031174283758196916,0.0017520822176312215,0.71825
m03_negbin_pxg_covariate,market,OU2.5,758,379,-5.24101975940286e-5,-0.010668999446666839,0.010260827314032708,0.51
m03_negbin_pxg_covariate,m01_poisson_time_decay,OU2.5,758,379,-0.00014676334768780019,-0.0037116592033166413,0.0033184382026067044,0.53075
m03_negbin_pxg_covariate,m02_joint_gamma_poisson,OU2.5,758,379,0.0028256700035218553,-0.005059245847835587,0.010328941062366261,0.23725
m03_negbin_pxg_covariate,market,BTTS,356,178,0.006139249829678067,-0.007024928167744758,0.01922534381544545,0.1775
m03_negbin_pxg_covariate,m01_poisson_time_decay,BTTS,356,178,0.0019410900854695916,-0.0050999088791705135,0.009050445466557266,0.301
m03_negbin_pxg_covariate,m02_joint_gamma_poisson,BTTS,356,178,0.006073714315738255,-0.005199744569541363,0.017220689848845252,0.14025
