model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce,market_mce,rps,market_rps
m01_poisson_time_decay,all,2899,0.6468094234171891,0.6418155553508617,0.22765309715883789,0.2252928320612554,0.012150731390248382,0.01390748520485936,0.18928836721741837,0.32902138777066514,0.22700581050116442,0.2111040320023605
m01_poisson_time_decay,1X2,1785,0.6203511530761995,0.6131180107974481,0.21492970874253695,0.21156444032291422,0.017612926608398288,0.018580646181840455,0.31742992012847526,0.32902138777066514,0.22700581050116442,0.2111040320023605
m01_poisson_time_decay,OU2.5,758,0.6899725841090532,0.6898782309589602,0.24842269566187422,0.24829171351414944,0.017973445219231457,0.01829866107755568,0.3760916073997067,0.7079376625841927,0.22700581050116442,0.2111040320023605
m01_poisson_time_decay,BTTS,356,0.6875687963223356,0.6833706365781275,0.24722582934366305,0.2451580767568855,0.008247852584003216,0.03004396402078209,0.14258755717184612,0.07307236039881282,0.22700581050116442,0.2111040320023605
m02_joint_gamma_poisson,all,2899,0.6437297921901943,0.6418155553508617,0.22619551896469442,0.2252928320612554,0.013616504351215685,0.01390748520485936,0.21147919816782418,0.32902138777066514,0.22507017573132748,0.2111040320023605
m02_joint_gamma_poisson,1X2,1785,0.6174360089748772,0.6131180107974481,0.21359135043123542,0.21156444032291422,0.020400506655710044,0.018580646181840455,0.21147919816782418,0.32902138777066514,0.22507017573132748,0.2111040320023605
m02_joint_gamma_poisson,OU2.5,758,0.6870001507578437,0.6898782309589602,0.24695438309721648,0.24829171351414944,0.00781894067449542,0.01829866107755568,0.11453648354676504,0.7079376625841927,0.22507017573132748,0.2111040320023605
m02_joint_gamma_poisson,BTTS,356,0.6834361720920678,0.6833706365781275,0.24519333306517854,0.2451580767568855,0.0019180461642279228,0.03004396402078209,0.005570395594301503,0.07307236039881282,0.22507017573132748,0.2111040320023605
m03_negbin_pxg_covariate,all,2899,0.6447553171474387,0.6418155553508617,0.22671489364098055,0.2252928320612554,0.010908560711518538,0.01390748520485936,0.059852865985207004,0.32902138777066514,0.22441184801791814,0.2111040320023605
m03_negbin_pxg_covariate,1X2,1785,0.6166902928359301,0.6131180107974481,0.21324675977944652,0.21156444032291422,0.018072680269825916,0.018580646181840455,0.059852865985207004,0.32902138777066514,0.22441184801791814,0.2111040320023605
m03_negbin_pxg_covariate,OU2.5,758,0.6898258207613658,0.6898782309589602,0.24834551142866404,0.24829171351414944,0.011153450990358998,0.01829866107755568,0.011154579342322002,0.7079376625841927,0.22441184801791814,0.2111040320023605
m03_negbin_pxg_covariate,BTTS,356,0.6895098864078055,0.6833706365781275,0.248188519089787,0.2451580767568855,0.011655427078101327,0.03004396402078209,0.01165652526310862,0.07307236039881282,0.22441184801791814,0.2111040320023605
