block,contrast,scope,n_obs,n_fixtures,delta,lo,hi,p_negative
folds_21_40_full_proxy,m03_vs_m02,all,1527,309,0.002840335140205323,9.515946947821944e-5,0.005474442484561882,0.021
folds_21_40_full_proxy,m04_vs_m02,all,1527,309,0.002670043913247929,0.0002476284492589735,0.005024390514971989,0.0165
folds_21_40_full_proxy,m04_vs_m03,all,1527,309,-0.0001702912269573934,-0.001038919377834748,0.0007504298450459488,0.652
folds_21_40_full_proxy,m03_vs_m01,all,1527,309,-0.0013250286144221798,-0.005469220899503166,0.0028215870200150642,0.73975
folds_21_40_full_proxy,m01_poisson_time_decay_vs_market,all,1527,309,0.009276271531105709,-0.001557344099173414,0.0202309938965681,0.0505
folds_21_40_full_proxy,m02_joint_gamma_poisson_vs_market,all,1527,309,0.005110907776478206,-0.004820494280015753,0.015203960861938327,0.15475
folds_21_40_full_proxy,m03_funnel_shared_kappa_vs_market,all,1527,309,0.007951242916683528,-0.0035742940751467764,0.01925472932865595,0.08375
folds_21_40_full_proxy,m04_funnel_hierarchical_kappa_vs_market,all,1527,309,0.007780951689726137,-0.0033026004594970677,0.018693334867953926,0.0835
folds_21_40_full_proxy,m03_vs_m02,1X2,873,291,0.004526080045957363,0.0013834851182021653,0.0076200668300164,0.003
folds_21_40_full_proxy,m04_vs_m02,1X2,873,291,0.004198439540245606,0.0015036033424787737,0.006836809540642631,0.0015
folds_21_40_full_proxy,m04_vs_m03,1X2,873,291,-0.00032764050571175646,-0.0013701732550942894,0.0007031964143857677,0.72775
folds_21_40_full_proxy,m03_vs_m01,1X2,873,291,0.0004388176480232008,-0.003987850741172354,0.004851087745233998,0.42575
folds_21_40_full_proxy,m01_poisson_time_decay_vs_market,1X2,873,291,0.015466797261497498,-0.0014658953637754488,0.0329196735201196,0.038
folds_21_40_full_proxy,m02_joint_gamma_poisson_vs_market,1X2,873,291,0.011379534863563334,-0.004044263264799695,0.02730492468996258,0.0725
folds_21_40_full_proxy,m03_funnel_shared_kappa_vs_market,1X2,873,291,0.0159056149095207,-0.0012783365005193219,0.03352251954982101,0.037
folds_21_40_full_proxy,m04_funnel_hierarchical_kappa_vs_market,1X2,873,291,0.01557797440380894,-0.0011245249146126833,0.0326359118738055,0.0365
folds_21_40_full_proxy,m03_vs_m02,OU2.5,382,191,-0.00033951117677752835,-0.006057272211803701,0.005356060729001461,0.54575
folds_21_40_full_proxy,m04_vs_m02,OU2.5,382,191,-0.0005437642218000035,-0.005722008349236157,0.004701794566096673,0.57525
folds_21_40_full_proxy,m04_vs_m03,OU2.5,382,191,-0.00020425304502247492,-0.0022315163542789038,0.0019486563368338037,0.569
folds_21_40_full_proxy,m03_vs_m01,OU2.5,382,191,-0.003790494507745107,-0.013170613355491363,0.004945752503760441,0.79675
folds_21_40_full_proxy,m01_poisson_time_decay_vs_market,OU2.5,382,191,-0.00015372900004132943,-0.01806266770435452,0.0172010369891827,0.515
folds_21_40_full_proxy,m02_joint_gamma_poisson_vs_market,OU2.5,382,191,-0.0036047123310089116,-0.022379774226705382,0.01450652042152628,0.6475
folds_21_40_full_proxy,m03_funnel_shared_kappa_vs_market,OU2.5,382,191,-0.00394422350778644,-0.023678243667842675,0.01493511041494844,0.655
folds_21_40_full_proxy,m04_funnel_hierarchical_kappa_vs_market,OU2.5,382,191,-0.004148476552808914,-0.022927203973579256,0.013773908097450252,0.66525
folds_21_40_full_proxy,m03_vs_m02,BTTS,272,136,0.0018956512812564942,-0.0032838468298868754,0.00688234712559522,0.239
folds_21_40_full_proxy,m04_vs_m02,BTTS,272,136,0.002278078197142558,-0.0027351877579015957,0.007169969611704281,0.1835
folds_21_40_full_proxy,m04_vs_m03,BTTS,272,136,0.0003824269158860631,-0.001481022590522363,0.0022712254967481977,0.3495
folds_21_40_full_proxy,m03_vs_m01,BTTS,272,136,-0.0035236676433393066,-0.012032972356841906,0.004826332960621325,0.80475
folds_21_40_full_proxy,m01_poisson_time_decay_vs_market,BTTS,272,136,0.0026510187379665106,-0.009257890502774407,0.014554924383259882,0.332
folds_21_40_full_proxy,m02_joint_gamma_poisson_vs_market,BTTS,272,136,-0.0027683001866292893,-0.014570356247994772,0.008765241368612321,0.68725
folds_21_40_full_proxy,m03_funnel_shared_kappa_vs_market,BTTS,272,136,-0.0008726489053727963,-0.014100483577792889,0.012058487965618312,0.55675
folds_21_40_full_proxy,m04_funnel_hierarchical_kappa_vs_market,BTTS,272,136,-0.0004902219894867318,-0.01294732892576769,0.011603519713566999,0.538
folds_01_20_thin_proxy,m03_vs_m02,all,1372,318,-6.0237933056608084e-5,-0.0026232949586812563,0.0025715972870325016,0.52275
folds_01_20_thin_proxy,m04_vs_m02,all,1372,318,-0.0006671402945044638,-0.00290965368146047,0.001549527221790477,0.72525
folds_01_20_thin_proxy,m04_vs_m03,all,1372,318,-0.0006069023614478563,-0.0019279855043313756,0.0007018866628229633,0.8225
folds_01_20_thin_proxy,m03_vs_m01,all,1372,318,-0.0018474581593630592,-0.006791857850005047,0.003147537890228891,0.766
folds_01_20_thin_proxy,m01_poisson_time_decay_vs_market,all,1372,318,0.0001819594104850793,-0.009375824107495491,0.009462348994148941,0.4815
folds_01_20_thin_proxy,m02_joint_gamma_poisson_vs_market,all,1372,318,-0.001605260815821372,-0.009817154107586032,0.006292745842015409,0.65275
folds_01_20_thin_proxy,m03_funnel_shared_kappa_vs_market,all,1372,318,-0.0016654987488779797,-0.010808442965442778,0.007117813162701668,0.6395
folds_01_20_thin_proxy,m04_funnel_hierarchical_kappa_vs_market,all,1372,318,-0.002272401110325835,-0.011119131353691697,0.006182712175088513,0.70025
folds_01_20_thin_proxy,m03_vs_m02,1X2,912,304,-0.0003680823245893511,-0.003129130595730967,0.0023618240754954764,0.60775
folds_01_20_thin_proxy,m04_vs_m02,1X2,912,304,-0.0007585520565088101,-0.0030150068810351235,0.001485306597892837,0.74875
folds_01_20_thin_proxy,m04_vs_m03,1X2,912,304,-0.0003904697319194591,-0.001829002452482618,0.0010923805291037036,0.6975
folds_01_20_thin_proxy,m03_vs_m01,1X2,912,304,-0.0022193174319880666,-0.007763481639393134,0.0033313363551515612,0.79
folds_01_20_thin_proxy,m01_poisson_time_decay_vs_market,1X2,912,304,-0.0005450023565668627,-0.013676452124861582,0.012756282088115052,0.532
folds_01_20_thin_proxy,m02_joint_gamma_poisson_vs_market,1X2,912,304,-0.0023962374639655793,-0.013679886975696151,0.00861303950153872,0.66075
folds_01_20_thin_proxy,m03_funnel_shared_kappa_vs_market,1X2,912,304,-0.002764319788554928,-0.015595114839999953,0.009856968395308863,0.6625
folds_01_20_thin_proxy,m04_funnel_hierarchical_kappa_vs_market,1X2,912,304,-0.0031547895204743874,-0.01562191217346791,0.008811733183220675,0.688
folds_01_20_thin_proxy,m03_vs_m02,OU2.5,376,188,0.0023796710435406467,-0.003252082828264341,0.008048090649438464,0.202
folds_01_20_thin_proxy,m04_vs_m02,OU2.5,376,188,-5.423941802321647e-5,-0.005121536043625536,0.004899296739530746,0.50525
folds_01_20_thin_proxy,m04_vs_m03,OU2.5,376,188,-0.0024339104615638636,-0.005345303256452945,0.00037952485608003987,0.956
folds_01_20_thin_proxy,m03_vs_m01,OU2.5,376,188,6.398827428125939e-5,-0.010036224239371087,0.010340992589528655,0.50375
folds_01_20_thin_proxy,m01_poisson_time_decay_vs_market,OU2.5,376,188,0.00027505213731893776,-0.010053389083690124,0.010851788574927926,0.484
folds_01_20_thin_proxy,m02_joint_gamma_poisson_vs_market,OU2.5,376,188,-0.0020406306319404517,-0.014242419477976491,0.009449553143420795,0.63625
folds_01_20_thin_proxy,m03_funnel_shared_kappa_vs_market,OU2.5,376,188,0.0003390404116001969,-0.011023655398728738,0.01151590735511322,0.4785
folds_01_20_thin_proxy,m04_funnel_hierarchical_kappa_vs_market,OU2.5,376,188,-0.0020948700499636673,-0.01322432238913076,0.009003497128698638,0.64775
folds_01_20_thin_proxy,m03_vs_m02,BTTS,84,42,-0.007639424720231684,-0.018472400250566852,0.003154091794568382,0.91775
folds_01_20_thin_proxy,m04_vs_m02,BTTS,84,42,-0.0024181308017542915,-0.012243021220885957,0.006967032027547065,0.683
folds_01_20_thin_proxy,m04_vs_m03,BTTS,84,42,0.005221293918477392,0.0007199270095747727,0.00990382243549247,0.01125
folds_01_20_thin_proxy,m03_vs_m01,BTTS,84,42,-0.006366127235747077,-0.023708168573312326,0.010966874394390941,0.76525
folds_01_20_thin_proxy,m01_poisson_time_decay_vs_market,BTTS,84,42,0.007657986389792713,-0.01083991752306463,0.02656451534180356,0.205
folds_01_20_thin_proxy,m02_joint_gamma_poisson_vs_market,BTTS,84,42,0.008931283874277319,-0.008851245946802446,0.027518635664416518,0.15575
folds_01_20_thin_proxy,m03_funnel_shared_kappa_vs_market,BTTS,84,42,0.001291859154045633,-0.016587011516133624,0.0205975726787965,0.446
folds_01_20_thin_proxy,m04_funnel_hierarchical_kappa_vs_market,BTTS,84,42,0.006513153072523025,-0.00993162787162394,0.024261778334216305,0.221
all_folds,m03_vs_m02,all,2899,627,0.0014675906571024015,-0.0004435400688863181,0.0033040590805468026,0.0655
all_folds,m04_vs_m02,all,2899,627,0.001090665943935655,-0.0005715446343066708,0.0027113881240602286,0.10625
all_folds,m04_vs_m03,all,2899,627,-0.0003769247131667466,-0.001147977683228702,0.0004097323577066616,0.8275
all_folds,m03_vs_m01,all,2899,627,-0.0015722770917105159,-0.004926762225281827,0.0016484338176479018,0.845
all_folds,m01_poisson_time_decay_vs_market,all,2899,627,0.004972236957290083,-0.002175503126673088,0.012401318853690712,0.08575
all_folds,m02_joint_gamma_poisson_vs_market,all,2899,627,0.0019323692084771648,-0.004368706626526129,0.008495659786113156,0.277
all_folds,m03_funnel_shared_kappa_vs_market,all,2899,627,0.003399959865579566,-0.003606186898938744,0.010623747010084474,0.17975
all_folds,m04_funnel_hierarchical_kappa_vs_market,all,2899,627,0.003023035152412821,-0.0037232938807467623,0.010052212346927198,0.1975
all_folds,m03_vs_m02,1X2,1785,595,0.0020255332213418983,-7.654272009914806e-5,0.004118035991709274,0.03075
all_folds,m04_vs_m02,1X2,1785,595,0.0016657917328282235,-0.00010426302140666737,0.003411087295579646,0.0335
all_folds,m04_vs_m03,1X2,1785,595,-0.0003597414885136751,-0.001251221490389119,0.0005575588216748511,0.79075
all_folds,m03_vs_m01,1X2,1785,595,-0.0009192883424363368,-0.004413353702722823,0.0025973272444066516,0.698
all_folds,m01_poisson_time_decay_vs_market,1X2,1785,595,0.007285978633108312,-0.0032095707140680227,0.018247999906259214,0.08475
all_folds,m02_joint_gamma_poisson_vs_market,1X2,1785,595,0.004341157069330075,-0.004991707177281247,0.013515536364542727,0.18075
all_folds,m03_funnel_shared_kappa_vs_market,1X2,1785,595,0.006366690290671975,-0.004376906079240799,0.016855969358104794,0.1205
all_folds,m04_funnel_hierarchical_kappa_vs_market,1X2,1785,595,0.0060069488021583,-0.004215606287406009,0.016162317049423933,0.12825
all_folds,m03_vs_m02,OU2.5,758,379,0.0010093179984726486,-0.002976651059710834,0.005067962098158266,0.3115
all_folds,m04_vs_m02,OU2.5,758,379,-0.0003009392531719405,-0.0038361780959191025,0.003190469833912893,0.55225
all_folds,m04_vs_m03,OU2.5,758,379,-0.0013102572516445886,-0.003016971555672075,0.0004059451298283651,0.92725
all_folds,m03_vs_m01,OU2.5,758,379,-0.0018785083256317645,-0.00851887814103315,0.004804871778163221,0.71025
all_folds,m01_poisson_time_decay_vs_market,OU2.5,758,379,5.8964545667720874e-5,-0.010375365310425601,0.010277491411071742,0.50725
all_folds,m02_joint_gamma_poisson_vs_market,OU2.5,758,379,-0.002828861778436694,-0.013859107629395037,0.0077299815662703695,0.69225
all_folds,m03_funnel_shared_kappa_vs_market,OU2.5,758,379,-0.0018195437799640437,-0.013259582519862645,0.009036142618800704,0.627
all_folds,m04_funnel_hierarchical_kappa_vs_market,OU2.5,758,379,-0.003129801031608633,-0.013980712641150058,0.00735580120376165,0.707
all_folds,m03_vs_m02,BTTS,356,178,-0.0003541981123530757,-0.005079578056191538,0.0046214867367442795,0.557
all_folds,m04_vs_m02,BTTS,356,178,0.0011699839389758852,-0.0032914468036580415,0.005778417798894493,0.30125
all_folds,m04_vs_m03,BTTS,356,178,0.001524182051328961,-0.00031923792498945097,0.0033410475117102373,0.05025
all_folds,m03_vs_m01,BTTS,356,178,-0.004194360356154624,-0.01188356424251509,0.003535644510803329,0.86575
all_folds,m01_poisson_time_decay_vs_market,BTTS,356,178,0.00383243807154348,-0.00618813273021301,0.013812601495181908,0.23375
all_folds,m02_joint_gamma_poisson_vs_market,BTTS,356,178,-7.724172258067512e-6,-0.010113118523213848,0.009839622603825047,0.50675
all_folds,m03_funnel_shared_kappa_vs_market,BTTS,356,178,-0.0003619222846111444,-0.011176528108147099,0.01076450354074929,0.53425
all_folds,m04_funnel_hierarchical_kappa_vs_market,BTTS,356,178,0.0011622597667178178,-0.009062150324956952,0.011389200161402175,0.424
