model,fold,mode,kappa_mean,kappa_q05,kappa_q95,nu_mean,sigma_mean,sigma_q05,sigma_q95,p_sigma_gt_005
m02_joint_gamma_poisson,1,shared,1.1296087397919106,1.0572726890350683,1.2055801027420223,3.935666951551296,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,2,shared,1.1059940111770066,1.0203316896222,1.1978500048747833,3.8525787387679236,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,3,shared,1.0915896183389078,1.010269743542718,1.1779906086490777,3.9451469423394103,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,4,shared,1.0890589233819938,1.0098819526481797,1.1690569868457064,3.9767055494840555,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,5,shared,1.073485198889271,0.9961129594031939,1.1525366000279673,3.9408983146990857,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,6,shared,1.0813271370387685,0.9984352516147724,1.1676657576331049,3.6057648423876527,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,7,shared,1.0756510414239318,0.9972746799547964,1.157797302830346,3.4643064789434597,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,8,shared,1.0762566980803452,0.9959851574403901,1.1610320055086207,3.338384887666352,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,9,shared,1.0740979540612237,0.9955544585610151,1.1544137664170557,3.318240980264593,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,10,shared,1.0726936570412626,0.9903454572822659,1.1553167156252817,3.3310795483421987,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,11,shared,1.0969464957847972,1.0186849960585984,1.1787126303348463,3.4402041205804,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,12,shared,1.1023247242195533,1.0221991483628992,1.181318787235789,3.4395813176141656,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,13,shared,1.084104924435014,1.0058663137580581,1.163795304971353,3.4811636131346653,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,14,shared,1.086362005672088,1.0098704966981393,1.1638572024248972,3.4300637011076667,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,15,shared,1.092303459523853,1.0141656526191227,1.1729198012625708,3.4835773208589016,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,16,shared,1.0955203186835485,1.0225255596711018,1.1734205904409587,3.4963050586507314,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,17,shared,1.088580135227353,1.0150474673774785,1.1648271674629687,3.4535816024820725,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,18,shared,1.0876005583142694,1.0146989451342987,1.1628505245001124,3.5808030551245134,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,19,shared,1.107125140901648,1.0308864101659183,1.1858273824128804,3.517599289996258,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,20,shared,1.1133052477790135,1.0385423613317695,1.190253358811012,3.423911266139151,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,21,shared,1.1023051468317298,1.0282144519197562,1.1776787874451622,3.4503333628542783,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,22,shared,1.1043862166048743,1.0232909683192595,1.1895755938909283,3.338446965342098,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,23,shared,1.1117572463367602,1.0290302835403728,1.1956221470917896,3.270946836366578,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,24,shared,1.1025275267441907,1.0220404124293667,1.1873280054945274,3.231691280283227,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,25,shared,1.1061596142315058,1.0212475129777239,1.19631113558578,3.313882843448131,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,26,shared,1.1109407498188821,1.030427025888739,1.1917914003162917,3.397260862002255,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,27,shared,1.1101063744821318,1.0315821558362552,1.1916376832770055,3.48142620955565,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,28,shared,1.1018707382059176,1.0206731396603228,1.183105420945315,3.5605615061749587,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,29,shared,1.0934134483809037,1.0154785647003275,1.174722510548621,3.553798679297969,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,30,shared,1.0865573104569477,1.0098867769291895,1.1661339475397223,3.514127328718489,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,31,shared,1.0930212727348403,1.0171046836482596,1.1721332401868683,3.572963054081023,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,32,shared,1.105787948530246,1.0290733354427948,1.188120026774743,3.5252508528606348,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,33,shared,1.1095897464528814,1.0319325720650008,1.188023921837365,3.537973266786862,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,34,shared,1.116771226506539,1.0374825703966746,1.1969110009764587,3.4359331742351067,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,35,shared,1.1233088572673207,1.0464295505230878,1.20368272722647,3.429662869757016,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,36,shared,1.130542099636072,1.055309146867645,1.2105794130470096,3.5409518484244815,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,37,shared,1.1141371823206085,1.0400870737458412,1.1884946907237928,3.633568574185178,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,38,shared,1.1181917324323527,1.0479083040926456,1.1940177841711515,3.7454918577660363,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,39,shared,1.11327719007084,1.040903263569166,1.1870488750550834,3.816098671797887,NaN,NaN,NaN,NaN
m02_joint_gamma_poisson,40,shared,1.1097590098207113,1.0408825427738462,1.181842776370009,3.821811642433504,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,1,shared,1.1336066692977538,1.061271153428745,1.2131638151183703,3.863138966149721,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,2,shared,1.1121134181205568,1.028958214560699,1.2014861492639108,3.746617122719649,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,3,shared,1.0941637532844273,1.0126368963472523,1.1799979595305832,3.848740459894932,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,4,shared,1.0948182855631008,1.0149205116527569,1.1756760545065126,3.8805123991466144,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,5,shared,1.0773836764508118,0.9969154569716292,1.1649253537766266,3.8378876150634915,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,6,shared,1.0863992963505462,1.010055030255448,1.1718940421155466,3.5080627204978523,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,7,shared,1.0836165324723905,1.0009580253380097,1.170302539123865,3.344223908860401,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,8,shared,1.0805118303851518,0.9980784807709681,1.1671181474745984,3.230779085094548,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,9,shared,1.0781695807577463,0.9969303508818425,1.1599849473110124,3.215867904454983,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,10,shared,1.0772631387882992,0.9948852200596658,1.1676768879915616,3.2255130279866098,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,11,shared,1.1008854248537387,1.0219122447163873,1.1876732246140471,3.3458255770273735,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,12,shared,1.1034037775131367,1.0246996645172581,1.1863002252282595,3.349894676379097,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,13,shared,1.0871465046396345,1.0068332748934365,1.1669912276525616,3.38516264177247,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,14,shared,1.0872200047232101,1.0071332781454354,1.1683507129317516,3.3571632733104724,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,15,shared,1.0924787717393052,1.0170159531292398,1.1706537432351667,3.408440296119076,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,16,shared,1.1003137011139128,1.0204038335369834,1.1789990021124177,3.4431714104490085,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,17,shared,1.0929314879391354,1.017618179381632,1.1774191208888547,3.3907833166736614,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,18,shared,1.0898477842570529,1.0156319232694941,1.16525595289883,3.516799881554095,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,19,shared,1.1092198617890998,1.035178659375995,1.1845981755155672,3.4703069436304395,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,20,shared,1.1149508812212154,1.039669568854295,1.1912498501702404,3.375152974186899,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,21,shared,1.101823239019277,1.0290685364156493,1.176578875582966,3.4022865473851964,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,22,shared,1.1072755453562113,1.0222251652117462,1.1936925235956157,3.2793578253778084,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,23,shared,1.1123196806317681,1.026652927746246,1.201817376988127,3.2086016650141636,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,24,shared,1.108202440242643,1.0243005763668873,1.1914445297334677,3.1701164891190245,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,25,shared,1.1071958309591492,1.0236353957088495,1.1924425126688334,3.2626699129340553,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,26,shared,1.1147111332256747,1.0334499434223288,1.1948603171195602,3.335648068988776,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,27,shared,1.1142483631475741,1.0315689213934598,1.2001967096631874,3.4169366904949303,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,28,shared,1.103082465798071,1.0261893540627767,1.184679342578445,3.4936015189276834,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,29,shared,1.0970429668405441,1.019148987930667,1.1809345501948147,3.4970589084925163,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,30,shared,1.0891090735648774,1.0102817707268763,1.1707081479347852,3.4667622199518693,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,31,shared,1.0986493208665002,1.0167674309683217,1.180525375219727,3.524057368131286,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,32,shared,1.108803100266986,1.0352784355973799,1.1872181431701239,3.4880604359020806,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,33,shared,1.1147195901307334,1.0357607364099841,1.1904113961149974,3.483308059043035,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,34,shared,1.120644144146768,1.0365673869043286,1.2022320980622723,3.38255461664525,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,35,shared,1.1273990822245499,1.0459458517912827,1.2089145230111311,3.3867381313203153,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,36,shared,1.1331798885400381,1.0581681972526902,1.2137431452907346,3.4792822792398588,NaN,NaN,NaN,NaN
