block,model,n_obs,n_fixtures,logloss_model,logloss_market
folds_21_40_full_proxy,m01_poisson_time_decay,1527,309,0.6502880257901762,0.6410117542590705
folds_21_40_full_proxy,m02_joint_gamma_poisson,1527,309,0.6461226620355487,0.6410117542590705
folds_21_40_full_proxy,m03_funnel_shared_kappa,1527,309,0.648962997175754,0.6410117542590705
folds_21_40_full_proxy,m04_funnel_hierarchical_kappa,1527,309,0.6487927059487967,0.6410117542590705
folds_01_20_thin_proxy,m01_poisson_time_decay,1372,318,0.6428921242855208,0.642710164875036
folds_01_20_thin_proxy,m02_joint_gamma_poisson,1372,318,0.6411049040592145,0.642710164875036
folds_01_20_thin_proxy,m03_funnel_shared_kappa,1372,318,0.6410446661261577,0.642710164875036
folds_01_20_thin_proxy,m04_funnel_hierarchical_kappa,1372,318,0.64043776376471,0.642710164875036
all_folds,m01_poisson_time_decay,2899,627,0.6467877923081522,0.6418155553508623
all_folds,m02_joint_gamma_poisson,2899,627,0.6437479245593394,0.6418155553508623
all_folds,m03_funnel_shared_kappa,2899,627,0.6452155152164418,0.6418155553508623
all_folds,m04_funnel_hierarchical_kappa,2899,627,0.6448385905032751,0.6418155553508623
