model,fold,n_parameters,tape_instructions,gradient_ms,allocated_bytes,compiled_fresh_error,compiled_forward_error,worst_perturbed_error,log_density
m01_poisson_time_decay,1,50,148,0.035416,0,0.0,3.831737497593224e-16,0.0,-991.6909541006507
m01_poisson_time_decay,20,54,148,0.047789,0,0.0,4.448644029210935e-16,0.0,-1061.2904796978437
m01_poisson_time_decay,40,50,148,0.048971,0,0.0,3.69774626154307e-16,0.0,-988.7307373906718
m04_funnel_hierarchical_kappa,1,76,223,0.085859,0,0.0,7.569648297499139e-16,0.0,-1609.9200719434905
m04_funnel_hierarchical_kappa,20,82,223,0.12368,0,0.0,7.998672765584785e-16,0.0,-2075.867049796873
m04_funnel_hierarchical_kappa,40,76,223,0.124621,0,0.0,1.2043630903638252e-15,0.0,-1704.8118824298551
m02_joint_gamma_poisson,1,52,195,0.084918,0,0.0,4.967563908811347e-16,0.0,-2197.6902249998698
m02_joint_gamma_poisson,20,56,195,0.121426,0,0.0,6.17803282178591e-16,0.0,-1956.908384881209
m02_joint_gamma_poisson,40,52,195,0.121866,0,0.0,4.484210855455402e-16,0.0,-2506.8785473003786
m03_funnel_shared_kappa,1,52,195,0.083886,0,0.0,4.967563908811347e-16,0.0,-2197.6902249998698
m03_funnel_shared_kappa,20,56,195,0.123509,0,0.0,6.17803282178591e-16,0.0,-1956.908384881209
m03_funnel_shared_kappa,40,52,195,0.124331,0,0.0,4.484210855455402e-16,0.0,-2506.8785473003786
