match_id,tournament_id,match_date,bbc_home_shots,bbc_away_shots
14035482,56,2025-08-02,7,14
14035495,56,2025-08-02,5,14
14035568,56,2025-12-20,7,11
14035487,56,2025-08-02,7,9
14035486,56,2025-08-02,10,12
14343735,56,2025-08-02,9,11
14035506,56,2025-08-09,6,6
14035498,56,2025-08-09,13,5
14035502,56,2025-08-09,5,20
14035497,56,2025-08-09,11,3
14035501,56,2025-08-09,14,4
14035484,56,2025-08-16,13,10
14035485,56,2025-08-16,15,5
14035488,56,2025-08-16,19,4
14035494,56,2025-08-23,18,7
14035489,56,2025-08-16,24,8
14035493,56,2025-08-23,10,6
14035496,56,2025-08-23,4,13
14035492,56,2025-08-23,7,8
14035503,56,2025-08-30,17,7
14035491,56,2025-08-23,12,9
14035505,56,2025-08-30,6,11
14035500,56,2025-08-30,14,7
14035504,56,2025-08-30,8,8
14035511,56,2025-09-13,13,10
14035510,56,2025-09-13,3,16
14035509,56,2025-09-13,10,3
14035499,56,2025-08-30,7,7
14035508,56,2025-09-13,10,8
14035507,56,2025-09-13,9,9
14035514,56,2025-09-20,8,23
12476731,56,2024-11-23,6,8
14035515,56,2025-09-20,7,13
14035512,56,2025-09-20,10,6
14035513,56,2025-09-20,17,7
14035517,56,2025-09-27,18,4
14035516,56,2025-09-20,6,7
14035518,56,2025-09-27,8,8
14035519,56,2025-09-27,20,6
14035524,56,2025-10-04,14,10
14035521,56,2025-09-27,10,8
14035520,56,2025-09-27,12,8
14035522,56,2025-10-04,12,6
14035526,56,2025-10-04,4,4
14035529,56,2025-10-18,19,7
14035525,56,2025-10-04,12,13
14035523,56,2025-10-04,11,9
14035528,56,2025-10-18,8,2
14501655,56,2025-10-07,8,14
14035531,56,2025-10-18,10,6
14035527,56,2025-10-18,4,8
14035530,56,2025-10-18,6,7
14035532,56,2025-10-24,9,12
14035534,56,2025-10-25,11,13
14035533,56,2025-10-25,8,15
14035535,56,2025-10-25,10,6
14297746,56,2025-10-25,6,7
14035538,56,2025-11-01,13,8
14035539,56,2025-11-01,5,7
14035536,56,2025-11-01,10,5
14035540,56,2025-11-01,19,5
14035542,56,2025-11-01,14,10
14035546,56,2025-11-08,22,4
14035541,56,2025-11-08,12,7
14035548,56,2025-11-15,9,11
14035544,56,2025-11-08,9,10
14035545,56,2025-11-08,12,10
14035543,56,2025-11-08,9,13
14035555,56,2025-11-15,9,14
14035549,56,2025-11-15,13,8
14035551,56,2025-11-22,7,10
14035554,56,2025-11-15,6,5
14035559,56,2025-11-22,9,8
14035550,56,2025-11-22,10,13
14035556,56,2025-11-22,12,11
14035552,56,2025-11-22,14,1
14035553,56,2025-12-06,10,12
14035562,56,2025-12-06,15,7
15017622,56,2025-11-25,8,10
14035558,56,2025-12-06,6,11
14035563,56,2025-12-13,6,8
14035564,56,2025-12-13,10,6
14035560,56,2025-12-06,12,4
14035561,56,2025-12-13,7,15
14035565,56,2025-12-13,5,10
14035566,56,2025-12-13,7,4
14035569,56,2025-12-20,9,11
14035572,56,2025-12-20,3,14
14035570,56,2025-12-20,13,7
14035567,56,2025-12-20,3,7
14035574,56,2025-12-27,20,7
14035575,56,2025-12-27,7,1
14035571,56,2025-12-27,4,6
14035576,56,2025-12-27,4,7
14035573,56,2025-12-27,12,10
14035582,56,2026-01-03,8,5
14035580,56,2026-01-03,8,13
14035586,56,2026-01-10,8,12
14035585,56,2026-01-10,10,6
14035583,56,2026-01-10,12,7
15305942,56,2026-01-20,3,12
15374710,56,2026-01-20,15,5
14035591,56,2026-01-24,8,3
15363335,56,2026-01-17,17,8
14035588,56,2026-01-24,15,4
14035587,56,2026-01-24,11,8
14035590,56,2026-01-24,1,7
14035592,56,2026-01-31,10,10
14035594,56,2026-01-31,4,3
14035595,56,2026-01-31,13,9
14035593,56,2026-01-31,14,8
12476508,57,2025-02-15,14,8
14035598,56,2026-02-07,27,3
14035596,56,2026-02-07,12,11
14035602,56,2026-02-14,9,8
14035606,56,2026-02-14,18,11
15456958,56,2026-02-10,4,13
14035603,56,2026-02-14,8,8
14035604,56,2026-02-14,11,14
15332289,56,2026-02-17,7,11
14035605,56,2026-02-14,10,7
14035607,56,2026-02-21,5,5
15368752,56,2026-02-17,5,8
14035608,56,2026-02-21,9,7
14035610,56,2026-02-21,6,16
14035609,56,2026-02-21,22,10
14035614,56,2026-02-28,6,13
14035611,56,2026-02-21,13,7
14035616,56,2026-02-28,6,8
14035597,56,2026-01-31,4,8
13343736,57,2025-01-28,12,6
12476521,57,2025-02-01,12,10
12476514,57,2025-02-01,7,8
12476518,57,2025-02-01,11,10
12476520,57,2025-02-01,12,6
13348881,57,2025-02-04,8,11
12476516,57,2025-02-08,6,7
13255608,57,2025-02-04,7,6
12476512,57,2025-02-08,10,14
12476511,57,2025-02-08,11,12
12476510,57,2025-02-15,10,8
12476517,57,2025-02-08,14,11
12476506,57,2025-02-15,11,7
12476509,57,2025-02-15,9,10
12476507,57,2025-02-15,6,10
12476502,57,2025-02-22,4,5
12476500,57,2025-02-22,6,12
12476501,57,2025-02-22,12,12
12476505,57,2025-02-22,10,3
12476504,57,2025-02-22,8,5
12476526,57,2025-02-25,7,2
12476513,57,2025-02-08,6,11
12476497,57,2025-03-01,9,4
12476499,57,2025-03-01,10,5
12476496,57,2025-03-01,11,9
12476498,57,2025-03-01,6,3
13436762,57,2025-03-04,5,2
12476490,57,2025-03-08,8,9
12476495,57,2025-03-01,9,15
12476492,57,2025-03-08,8,14
12476489,57,2025-03-08,9,7
12476493,57,2025-03-08,5,13
14035613,56,2026-02-28,12,5
14035612,56,2026-02-28,11,7
15490658,56,2026-03-03,13,10
14035620,56,2026-03-07,17,3
14035618,56,2026-03-07,3,9
14035615,56,2026-02-28,6,7
15490775,56,2026-03-03,11,9
14035619,56,2026-03-07,5,14
14035617,56,2026-03-07,9,12
14035621,56,2026-03-07,13,11
15530801,56,2026-03-10,10,10
14035622,56,2026-03-14,9,12
14035624,56,2026-03-14,13,5
14035626,56,2026-03-14,13,3
14035627,56,2026-03-14,8,14
14035623,56,2026-03-14,13,17
15457468,56,2026-03-17,19,5
14035625,56,2026-03-21,13,10
14035628,56,2026-03-21,7,10
14035631,56,2026-03-21,10,5
14035629,56,2026-03-21,15,11
14035632,56,2026-03-21,11,12
14035633,56,2026-03-28,9,6
14035635,56,2026-03-28,8,7
14035637,56,2026-03-27,13,5
14035638,56,2026-04-04,17,12
14035636,56,2026-04-04,3,8
14035630,56,2026-03-28,7,6
