tournament_id,season,club,first_match_date,last_match_date,league_matches
54,20/21,aberdeen,2021-01-02,2021-03-20,14
54,20/21,celtic,2021-01-02,2021-03-21,15
54,20/21,dundee-united,2021-01-02,2021-03-20,12
54,20/21,hamilton-academical,2021-01-02,2021-03-20,13
54,20/21,hibernian,2021-01-02,2021-03-20,12
54,20/21,kilmarnock,2021-01-02,2021-03-20,13
54,20/21,livingston,2021-01-02,2021-03-20,14
54,20/21,motherwell,2021-01-02,2021-03-20,14
54,20/21,rangers,2021-01-02,2021-03-21,12
54,20/21,ross-county,2021-01-02,2021-03-20,12
54,20/21,st-johnstone,2021-01-02,2021-03-20,12
54,20/21,st-mirren,2021-01-02,2021-03-20,15
55,20/21,alloa-athletic,2021-01-02,2021-04-30,17
55,20/21,arbroath,2021-01-16,2021-04-30,17
55,20/21,ayr-united,2021-01-02,2021-04-30,17
55,20/21,dundee-fc,2021-01-02,2021-04-30,17
55,20/21,dunfermline-athletic,2021-01-15,2021-04-30,17
55,20/21,greenock-morton,2021-01-02,2021-04-30,18
55,20/21,heart-of-midlothian,2021-01-02,2021-04-30,18
55,20/21,inverness-caledonian-thistle,2021-01-27,2021-04-30,18
55,20/21,queen-of-the-south,2021-01-02,2021-04-30,17
55,20/21,raith-rovers,2021-01-23,2021-04-30,18
56,20/21,airdrieonians,2021-03-20,2021-04-20,8
56,20/21,clyde-fc,2021-03-20,2021-04-20,10
56,20/21,cove-rangers,2021-01-02,2021-04-20,8
56,20/21,dumbarton,2021-03-20,2021-04-20,9
56,20/21,east-fife,2021-01-02,2021-04-20,10
56,20/21,falkirk-fc,2021-01-02,2021-04-20,8
56,20/21,forfar-athletic,2021-01-02,2021-04-20,9
56,20/21,montrose,2021-01-02,2021-04-20,8
56,20/21,partick-thistle,2021-03-20,2021-04-20,8
56,20/21,peterhead,2021-01-02,2021-04-20,8
57,20/21,albion-rovers,2021-03-20,2021-04-20,10
57,20/21,annan-athletic,2021-01-02,2021-04-20,9
57,20/21,brechin-city,2021-03-20,2021-04-20,9
57,20/21,cowdenbeath,2021-03-20,2021-04-20,10
57,20/21,edinburgh-city-fc,2021-03-20,2021-04-20,9
57,20/21,elgin-city,2021-03-20,2021-04-20,9
57,20/21,queens-park-fc,2021-03-20,2021-04-20,9
57,20/21,stenhousemuir,2021-03-20,2021-04-20,9
57,20/21,stirling-albion,2021-03-20,2021-04-20,9
57,20/21,stranraer,2021-01-02,2021-04-20,9
54,21/22,aberdeen,2021-08-01,2022-04-09,33
54,21/22,celtic,2021-07-31,2022-04-09,33
54,21/22,dundee-fc,2021-07-31,2022-04-09,33
