schema,table,columns
sofascore,events,match_id|tournament_id|season_id|name|round|home_team|away_team|status_type|start_timestamp|hasGlobalHighlights|hasXg|hasEventPlayerStatistics|hasEventPlayerHeatMap|raw_data
sofascore,matches,match_id|tournament_id|season_id|name|start_timestamp|home_team|away_team|status_type|injury_time1|injury_time2|home_score_ht|home_score|away_score_ht|away_score|round|winner_code|manager_home|manager_away|venue_name_home|venue_name_away|venue_city_home|venue_city_away|raw_data
sofascore,tournaments,tournament_id|name|sport|country|raw_data
sofascore,seasons,season_id|tournament_id|year|name|raw_data
betfair,match_meta,match_id|betfair_event_id|betfair_event_name|kickoff_time|search_strategy_used|search_date_matched|is_verified|status|retry_count|error_type|error_detail|http_status|last_updated|normalized_name
betfair,markets,market_id|match_id|market_type|file_path|status|retry_count|error_type|error_detail|http_status|last_updated
betfair,odds_history,id|match_id|market_id|odds_data
bbc,match_meta,match_id|bbc_event_id|tipo_topic_id|kickoff|bbc_home_slug|bbc_away_slug|home_score|away_score|home_ht_score|away_ht_score|scores_match|has_live_text|raw_fixture|raw_stats|status|retry_count|error_type|error_detail|http_status|last_updated|has_lineup|venue|attendance|home_formation|away_formation|home_manager|away_manager|raw_lineup|raw_header
bbc,match_stats,match_id|stat_cat|stat_type|home_value|away_value|filled
sofascore,match_player_lineups,match_id|player_id|team_id|is_home_team|player_name|player_slug|position|shirt_number|substitute|captain|minutes_played|rating|goals|expected_goals|expected_assists|statistics|proposed_market_value|proposed_market_value_currency|raw_data
