match_id,tournament_id,season,match_date,round,home_team,away_team,home_score,away_score,score_source
8736138,54,20/21,2021-01-02,22,hamilton-academical,motherwell,3.0,0.0,events_raw_normaltime
8736156,54,20/21,2021-01-02,22,rangers,celtic,1.0,0.0,events_raw_normaltime
8736162,54,20/21,2021-01-02,22,aberdeen,dundee-united,0.0,0.0,events_raw_normaltime
8736168,54,20/21,2021-01-02,22,kilmarnock,st-mirren,1.0,1.0,events_raw_normaltime
8736198,54,20/21,2021-01-02,22,ross-county,st-johnstone,1.0,1.0,events_raw_normaltime
8736200,54,20/21,2021-01-02,22,hibernian,livingston,0.0,3.0,events_raw_normaltime
8824129,55,20/21,2021-01-02,11,queen-of-the-south,ayr-united,3.0,2.0,events_raw_normaltime
8824130,55,20/21,2021-01-02,11,alloa-athletic,greenock-morton,1.0,1.0,events_raw_normaltime
8824138,55,20/21,2021-01-02,11,dundee-fc,heart-of-midlothian,3.0,1.0,events_raw_normaltime
8824178,56,20/21,2021-01-02,11,montrose,forfar-athletic,0.0,0.0,events_raw_normaltime
8824191,57,20/21,2021-01-02,10,stranraer,annan-athletic,2.0,0.0,events_raw_normaltime
8824192,56,20/21,2021-01-02,11,east-fife,falkirk-fc,2.0,1.0,events_raw_normaltime
8824212,56,20/21,2021-01-02,11,cove-rangers,peterhead,1.0,0.0,events_raw_normaltime
8736261,54,20/21,2021-01-09,23,st-mirren,motherwell,1.0,1.0,events_raw_normaltime
8736286,54,20/21,2021-01-09,23,kilmarnock,hamilton-academical,2.0,0.0,events_raw_normaltime
8736289,54,20/21,2021-01-10,23,aberdeen,rangers,1.0,2.0,events_raw_normaltime
8736296,54,20/21,2021-01-10,23,livingston,ross-county,3.0,1.0,events_raw_normaltime
8736264,54,20/21,2021-01-11,23,celtic,hibernian,1.0,1.0,events_raw_normaltime
9274711,54,20/21,2021-01-12,23,dundee-united,st-johnstone,2.0,2.0,events_raw_normaltime
8824072,55,20/21,2021-01-15,13,greenock-morton,dunfermline-athletic,0.0,0.0,events_raw_normaltime
8736253,54,20/21,2021-01-16,24,st-johnstone,st-mirren,1.0,0.0,events_raw_normaltime
8736276,54,20/21,2021-01-16,24,ross-county,aberdeen,4.0,1.0,events_raw_normaltime
8736312,54,20/21,2021-01-16,24,hamilton-academical,dundee-united,0.0,0.0,events_raw_normaltime
8736315,54,20/21,2021-01-16,24,hibernian,kilmarnock,2.0,0.0,events_raw_normaltime
8736317,54,20/21,2021-01-16,24,celtic,livingston,0.0,0.0,events_raw_normaltime
8824074,55,20/21,2021-01-16,13,queen-of-the-south,arbroath,2.0,2.0,events_raw_normaltime
8824078,55,20/21,2021-01-16,13,alloa-athletic,heart-of-midlothian,1.0,3.0,events_raw_normaltime
8736313,54,20/21,2021-01-17,24,motherwell,rangers,1.0,1.0,events_raw_normaltime
9242026,54,20/21,2021-01-20,18,livingston,celtic,2.0,2.0,events_raw_normaltime
8824220,55,20/21,2021-01-22,14,arbroath,dundee-fc,1.0,1.0,events_raw_normaltime
8736278,54,20/21,2021-01-23,25,aberdeen,motherwell,2.0,0.0,events_raw_normaltime
8736342,54,20/21,2021-01-23,25,rangers,ross-county,5.0,0.0,events_raw_normaltime
8824215,55,20/21,2021-01-23,14,queen-of-the-south,greenock-morton,2.0,1.0,events_raw_normaltime
8824216,55,20/21,2021-01-23,14,heart-of-midlothian,raith-rovers,2.0,3.0,events_raw_normaltime
8824218,55,20/21,2021-01-23,14,dunfermline-athletic,ayr-united,0.0,0.0,events_raw_normaltime
8824111,55,20/21,2021-01-26,8,raith-rovers,heart-of-midlothian,0.0,4.0,events_raw_normaltime
8736263,54,20/21,2021-01-27,26,celtic,hamilton-academical,2.0,0.0,events_raw_normaltime
8736272,54,20/21,2021-01-27,26,st-johnstone,aberdeen,0.0,0.0,events_raw_normaltime
8736284,54,20/21,2021-01-27,26,dundee-united,st-mirren,1.0,5.0,events_raw_normaltime
8736285,54,20/21,2021-01-27,26,hibernian,rangers,0.0,1.0,events_raw_normaltime
8736291,54,20/21,2021-01-27,26,livingston,kilmarnock,2.0,0.0,events_raw_normaltime
