match_id,tournament_id,season,match_date,home_team,away_team,home_goals,away_goals,bbc_shot_events_raw,bbc_shot_events_unresolved_side,bbc_shot_events_home_resolved,bbc_shot_events_away_resolved,bbc_parsed_home_resolved,bbc_parsed_away_resolved,proxy_xg_home,proxy_xg_away,proxy_xg_available_home,proxy_xg_available_away,proxy_xg_available_both,proxy_minus_goals_home,proxy_minus_goals_away
8736138,54,20/21,2021-01-02,hamilton-academical,motherwell,3,0,0,0,0,0,0,0,,,0,0,0,,
8736156,54,20/21,2021-01-02,rangers,celtic,1,0,0,0,0,0,0,0,,,0,0,0,,
8736162,54,20/21,2021-01-02,aberdeen,dundee-united,0,0,0,0,0,0,0,0,,,0,0,0,,
8736168,54,20/21,2021-01-02,kilmarnock,st-mirren,1,1,0,0,0,0,0,0,,,0,0,0,,
8736198,54,20/21,2021-01-02,ross-county,st-johnstone,1,1,0,0,0,0,0,0,,,0,0,0,,
8736200,54,20/21,2021-01-02,hibernian,livingston,0,3,0,0,0,0,0,0,,,0,0,0,,
8824129,55,20/21,2021-01-02,queen-of-the-south,ayr-united,3,2,0,0,0,0,0,0,,,0,0,0,,
8824130,55,20/21,2021-01-02,alloa-athletic,greenock-morton,1,1,0,0,0,0,0,0,,,0,0,0,,
8824138,55,20/21,2021-01-02,dundee-fc,heart-of-midlothian,3,1,0,0,0,0,0,0,,,0,0,0,,
8824178,56,20/21,2021-01-02,montrose,forfar-athletic,0,0,0,0,0,0,0,0,,,0,0,0,,
8824191,57,20/21,2021-01-02,stranraer,annan-athletic,2,0,0,0,0,0,0,0,,,0,0,0,,
8824192,56,20/21,2021-01-02,east-fife,falkirk-fc,2,1,0,0,0,0,0,0,,,0,0,0,,
8824212,56,20/21,2021-01-02,cove-rangers,peterhead,1,0,0,0,0,0,0,0,,,0,0,0,,
8736261,54,20/21,2021-01-09,st-mirren,motherwell,1,1,0,0,0,0,0,0,,,0,0,0,,
8736286,54,20/21,2021-01-09,kilmarnock,hamilton-academical,2,0,0,0,0,0,0,0,,,0,0,0,,
8736289,54,20/21,2021-01-10,aberdeen,rangers,1,2,0,0,0,0,0,0,,,0,0,0,,
8736296,54,20/21,2021-01-10,livingston,ross-county,3,1,0,0,0,0,0,0,,,0,0,0,,
8736264,54,20/21,2021-01-11,celtic,hibernian,1,1,0,0,0,0,0,0,,,0,0,0,,
9274711,54,20/21,2021-01-12,dundee-united,st-johnstone,2,2,0,0,0,0,0,0,,,0,0,0,,
8824072,55,20/21,2021-01-15,greenock-morton,dunfermline-athletic,0,0,0,0,0,0,0,0,,,0,0,0,,
8736253,54,20/21,2021-01-16,st-johnstone,st-mirren,1,0,0,0,0,0,0,0,,,0,0,0,,
8736276,54,20/21,2021-01-16,ross-county,aberdeen,4,1,0,0,0,0,0,0,,,0,0,0,,
