slate_id,account_id,slate_window,as_of,model_run_id,run_name,fold_idx,bankroll,total_risk,slate_exposure,exposure_cap,k_risk,batch_status,order_id,match_id,home_team,away_team,kickoff,market_group,market_line,selection,side,venue_odds,effective_odds,p_model,p_market,edge,stake_fraction,risk,venue_stake,quote_ts,state,close_prob,close_ts,close_source,clv,clv_pct,outcome,gross_return,commission,net_pnl,settled_at,fill_count,filled_size,risk_filled
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,03e4c71f-1dc6-44cf-8efa-ff10496fe2dc,16362444,alloa-athletic,east-kilbride,2026-09-19 14:00:00+00,1X2,0.0,home,back,3.1000,3.100000,0.356987,0.312740,0.044247,0.003601598,1.80,1.80,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-1.80,2026-09-19 17:07:53.893+00,1,1.80,1.80
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,178e4a03-d069-43fa-84ac-d890f0707677,16362450,hamilton-academical,queen-of-the-south,2026-09-19 14:00:00+00,1X2,0.0,away,back,9.0000,9.000000,0.228249,0.109750,0.118499,0.008100707,4.05,4.05,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-4.05,2026-09-19 17:07:51.66+00,1,4.05,4.05
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,1ff1b433-9b7a-4a98-9536-3fab40e7bb6c,16362615,dumbarton,the-spartans-fc,2026-09-19 14:00:00+00,1X2,0.0,home,back,4.2000,4.200000,0.273431,0.231510,0.041921,0.003539103,1.77,1.77,2026-09-19 13:34:00+00,SETTLED,,,,,,WIN,7.43,0.11,5.55,2026-09-19 17:07:51.66+00,1,1.77,1.77
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,2b0b776a-90f3-4a5c-83e6-6af22ba54a56,16362450,hamilton-academical,queen-of-the-south,2026-09-19 14:00:00+00,OverUnder,2.5,under_25,lay,1.6700,2.492537,0.484852,0.392440,0.092412,0.005091050,2.55,3.80,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-2.55,2026-09-19 17:07:53.893+00,1,3.80,2.55
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,33b22823-7669-4bfb-93cb-5170ab0fbee7,16362442,cove-rangers,ross-county,2026-09-19 14:00:00+00,1X2,0.0,home,back,7.2000,7.200000,0.373981,0.135734,0.238247,0.022118451,11.06,11.06,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-7.00,2026-09-19 17:07:53.893+00,1,7.00,7.00
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,35e6b372-0fdc-4011-83fb-b63e74ad71f3,16362615,dumbarton,the-spartans-fc,2026-09-19 14:00:00+00,OverUnder,2.5,under_25,back,2.6400,2.640000,0.449962,0.371429,0.078534,0.005408138,2.70,2.70,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-2.70,2026-09-19 17:07:51.66+00,1,2.70,2.70
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,3b649dcc-aa3c-4f87-9f8e-5f1914125e89,16362617,stirling-albion,clyde-fc,2026-09-19 14:00:00+00,OverUnder,2.5,under_25,lay,1.6000,2.666667,0.400810,0.369358,0.031452,0.002468462,1.23,2.06,2026-09-19 13:34:00+00,SETTLED,,,,,,WIN,3.31,0.04,2.03,2026-09-19 17:07:51.66+00,1,2.06,1.24
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,42bb7b4c-d799-4279-bee0-38541b424f16,16362448,east-fife,montrose,2026-09-19 14:00:00+00,1X2,0.0,home,back,2.8600,2.860000,0.408353,0.341423,0.066930,0.006498242,3.25,3.25,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-3.25,2026-09-19 17:07:51.66+00,1,3.25,3.25
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,52e180ea-7710-4dd8-a637-25bbf7a8d063,16362444,alloa-athletic,east-kilbride,2026-09-19 14:00:00+00,1X2,0.0,home,back,3.1000,3.100000,0.354313,0.312740,0.041573,0.003625208,1.81,1.81,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-1.81,2026-09-19 17:07:51.66+00,1,1.81,1.81
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,6314403c-3d6c-49f0-b08f-776ac546ded5,16362615,dumbarton,the-spartans-fc,2026-09-19 14:00:00+00,OverUnder,2.5,under_25,back,2.6400,2.640000,0.466263,0.371429,0.094835,0.005693322,2.85,2.85,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-2.85,2026-09-19 17:07:53.893+00,1,2.85,2.85
