source_id,club_name,source_type,publisher,published_date,url,quote,evidence_class,fetched_utc,fetch_status,scope,notes
S001,Cove Rangers,club statement,Cove Rangers FC,2023-05-18,https://coverangersfc.com/2023/05/18/club-statement-full-time-football/,It became clear in the last campaign that being part-time in the Championship made the step-up even more demanding,Verified,2026-09-23,Fetched,first-team operational model,Exact excerpt; retrospectively supports 22/23 PT. Publication is after the season; not historical point-in-time knowledge.
S002,Cove Rangers,club statement,Cove Rangers FC,2023-05-18,https://coverangersfc.com/2023/05/18/club-statement-full-time-football/,"The forthcoming season will be a transitional period, and we are preparing to operate within a hybrid structure.",Verified,2026-09-23,Fetched,first-team operational model,Exact sentence; see S007 corroborating excerpt. Announced 23/24 Hybrid; does not establish subsequent seasons.
S003,Airdrieonians,club statement,Airdrieonians FC,2019-04-18,https://www.airdriefc.com/1819-news/180419/hybrid-model-the-future-for-airdrieonians,We will always have part-time players,Verified,2026-09-23,Fetched,first-team operational model,Exact excerpt within announcement of mixed FT/PT squad for next season 19/20. Continuation is bounded inference only.
S004,Hamilton Academical,credible reporting,BBC Sport,2023-06-12,https://www.bbc.com/sport/football/65881664,Hamilton Accies will remain a full-time football club,Verified,2026-09-23,Fetched,first-team operational model,Exact excerpt. Supports 23/24 FT; preceding season inferred from remain.
S005,Inverness Caledonian Thistle,credible reporting,Inverness Courier,2024-05-21,https://www.inverness-courier.co.uk/sport/ict-confirm-they-will-remain-full-time-351275/,I can confirm that the club will remain full time next season,Verified,2026-09-23,Fetched,first-team operational model,Exact excerpt from chairman statement for24/25. Mostly FT history since1997 does not verify every intervening season.
S006,Arbroath,club article / player quote,Arbroath FC,2024-08-31,https://arbroathfc.co.uk/transfer-deadline-day-action-at-arbroath/,Making the move from full-time to part-time was always going to be a new experience,Verified,2026-09-23,Fetched,first-team operational model,Exact excerpt from Ryan Flynn signing article.24/25 context; datePublished recovered by r09. Retrospective season label only.
S007,Cove Rangers,chairman's message,Cove Rangers FC,2024-01-01,https://coverangersfc.com/2024/01/01/chairmans-new-year-message-3/,Added to all that was the move from part-time to our new hybrid/full-time set-up.,Verified,2026-09-23,Fetched,first-team operational model,Exact sentence. In-season confirmation23/24; not evidence after that season.
S008,Queen of the South,credible reporting,BBC Sport,2024-05-09,https://www.bbc.com/sport/football/articles/c97z27mqjmro,I am delighted to get an opportunity to work in full-time football,Verified,2026-09-23,Fetched,first-team operational model,Exact excerpt from Peter Murphy appointment for24/25. datePublished recovered by r09.
S009,Montrose,credible reporting,The Terrace,2026-07-05,https://www.theterrace.scot/news/26254406.stewart-petrie-montroses-big-summer-recruitment/,The guys come in on a Tuesday and Thursday,Verified,2026-09-23,Fetched,first-team operational model,Exact excerpt. Article explicitly calls Montrose part-time with26/27 season preview context. datePublished recovered by r09; do not backfill older seasons as verified.
S010,Queen's Park,fetched article,Queen's Park FC,,https://queensparkfc.co.uk/history,A full-time professional club about to play our second season in the Scottish Championship.,Verified,2026-09-23,Fetched,first-team operational model,Official history explicitly anchors statement to summer2023; not the webpage publication date.
S011,Falkirk,fetched article,Falkirk FC,,https://falkirkfc.co.uk/wp-content/uploads/2025/10/FFC-2025-COMMERCIAL-OPPORTUNITIES-A4_v7.pdf,we are the only full-time professional football club in Falkirk District,Verified,2026-09-23,Fetched,first-team operational model,Brochure cover explicitly2025/2026 season; does not verify preceding LeagueOne seasons.
S012,Arbroath,fetched article,The Herald,,https://www.heraldscotland.com/sport/25659884.arbroath-became-premiership-promotion-contenders-playing-part-time/,"full-time opponents like Queen’s Park, Ross County and St Johnstone",Verified,2026-09-23,Fetched,first-team operational model,Article explicitly describes Arbroath part-time status and2025/26 context; quoted excerpt identifies opposing FT clubs.
S013,Peterhead,fetched article,Press and Journal,,https://www.pressandjournal.co.uk/fp/sport/football/peterhead-fc/6359066/caleb-goldie-life-post-celtic-time-at-peterhead-so-far/,being part-time at Peterhead,Verified,2026-09-23,Fetched,first-team operational model,2023/24 context: first season after Celtic release; January2024 photographs. Date unresolved.
S014,Peterhead,fetched article,Press and Journal,,https://www.pressandjournal.co.uk/fp/sport/football/peterhead-fc/6490643/max-barry-reveals-why-peterhead-was-the-ideal-move/,remaining part-time with League Two Peterhead is the best option right now,Verified,2026-09-23,Fetched,first-team operational model,Incoming2024/25 context following explicitly described2023-24 Buckie season.
S015,Alloa Athletic,fetched article,Rangers FC,,https://www.rangers.co.uk/article/loan-rangers-making-an-impact-at-alloa-athletic/5etFv4HG7W6T8t9GjXbRf,It’s easy to come from a club like Rangers to a part-time team,Verified,2026-09-23,Fetched,first-team operational model,"Manager quote;2025/26 inferred from named loan cohort and DannyRohl. Context-dated, not precise PIT evidence."
S016,Kelty Hearts,fetched article,Dunfermline Press,,https://www.dunfermlinepress.com/sport/25825177.kelty-hearts-american-owners-best-part-time-club-aim/,we’re going to be the best part-time club there is,Verified,2026-09-23,Fetched,first-team operational model,Ownership testimony; season/date unresolved. NOT assigned to panel until dated.
S017,Stenhousemuir,fetched article,BBC Sport,,https://www.bbc.com/sport/football/live/c617jwdk42nwt,the part-time hosts were unable to repeat the feat,Verified,2026-09-23,Fetched,first-team operational model,Championship-era2026/27 match context; no backward verification.
S018,Queen of the South,fetched article,BBC News,,https://www.bbc.co.uk/news/articles/cpvxpgpdw9ro,The Doonhamers were relegated from the Championship in 2022 and have remained full-time in League One since then.,Verified,2026-09-23,Fetched,first-team operational model,Explicit retrospective continuity22/23 through25/26; report reviews24/25 accounts ahead of1May2026 AGM. NOT historical PIT knowledge.
S019,Montrose,fetched article,The Courier,,https://www.thecourier.co.uk/fp/sport/football/2784072/stewart-petrie-on-5-years-at-montrose-still-striving-for-improvement-greatest-memory-and-why-jobs-elsewhere-have-never-been-considered/,We’re only here part-time as manager and players,Verified,2026-09-23,Fetched,first-team operational model,December2021 fifth-anniversary context. Opponent FT list conflicts with other sources and is NOT used to classify opponents.
S020,Alloa Athletic,fetched article,BBC Sport,,https://www.bbc.co.uk/sport/football/60006014,That fuelled the part-time hosts with hope,Verified,2026-09-23,Fetched,first-team operational model,Alloa1-2Celtic ScottishCup report22January2022; supports21/22 club status.
