season,tier_id,tier_name,matches,goals_per_match,home_goal_difference
20/21,54,Premiership,79,2.253,0.228
20/21,55,Championship,87,2.598,0.138
20/21,56,League One,43,2.326,0.326
20/21,57,League Two,46,2.435,0.087
21/22,54,Premiership,198,2.480,0.308
21/22,55,Championship,180,2.344,0.111
21/22,56,League One,180,2.794,0.161
21/22,57,League Two,180,2.600,0.044
22/23,54,Premiership,198,2.944,0.460
22/23,55,Championship,180,2.756,0.289
22/23,56,League One,180,2.956,0.278
22/23,57,League Two,180,2.717,0.261
23/24,54,Premiership,198,2.657,0.273
23/24,55,Championship,178,2.792,0.084
23/24,56,League One,179,3.123,0.095
23/24,57,League Two,178,2.573,0.213
24/25,54,Premiership,198,2.949,0.465
24/25,55,Championship,179,2.508,0.341
24/25,56,League One,180,2.700,0.022
24/25,57,League Two,180,2.594,0.461
25/26,54,Premiership,198,2.737,0.424
25/26,55,Championship,173,2.422,0.225
25/26,56,League One,175,2.651,0.229
25/26,57,League Two,175,2.920,0.074
26/27,54,Premiership,36,2.611,-0.111
26/27,55,Championship,31,2.000,0.323
26/27,56,League One,39,2.641,0.692
26/27,57,League Two,40,3.450,0.700
