club,match_id,match_date,season,current_tier,previous_observed_tier,home_entry_match_number,window,home_score,away_score,goal_difference,method_note
hamilton-academical,8736138,2021-01-02,20/21,54,,1,1-5,3.0,0.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,8736312,2021-01-16,20/21,54,54,2,1-5,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,8736290,2021-02-03,20/21,54,54,3,1-5,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,8736262,2021-02-07,20/21,54,54,4,1-5,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,8736294,2021-03-03,20/21,54,54,5,1-5,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,8736238,2021-03-20,20/21,54,54,6,6-10,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9573826,2021-08-07,21/22,55,54,1,1-5,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9573832,2021-08-21,21/22,55,55,2,1-5,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574282,2021-09-18,21/22,55,55,3,1-5,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9573880,2021-10-02,21/22,55,55,4,1-5,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574271,2021-10-15,21/22,55,55,5,1-5,1.0,6.0,-5.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574318,2021-10-26,21/22,55,55,6,6-10,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574283,2021-11-06,21/22,55,55,7,6-10,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9573863,2021-11-13,21/22,55,55,8,6-10,0.0,3.0,-3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9573881,2021-12-04,21/22,55,55,9,6-10,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574524,2021-12-26,21/22,55,55,10,6-10,2.0,3.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574264,2022-01-08,21/22,55,55,11,11-20,2.0,2.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574400,2022-01-29,21/22,55,55,12,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574389,2022-02-19,21/22,55,55,13,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574403,2022-02-25,21/22,55,55,14,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9573922,2022-03-12,21/22,55,55,15,11-20,2.0,2.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574517,2022-03-26,21/22,55,55,16,11-20,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9574000,2022-04-09,21/22,55,55,17,11-20,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,9573961,2022-04-23,21/22,55,55,18,11-20,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,10387725,2022-07-30,22/23,55,55,19,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,10387709,2022-08-20,22/23,55,55,20,11-20,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395666,2023-08-05,23/24,56,55,1,1-5,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395649,2023-08-26,23/24,56,56,2,1-5,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395639,2023-09-16,23/24,56,56,3,1-5,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395629,2023-09-29,23/24,56,56,4,1-5,5.0,0.0,5.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395619,2023-10-21,23/24,56,56,5,1-5,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395605,2023-11-11,23/24,56,56,6,6-10,5.0,0.0,5.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395595,2023-12-02,23/24,56,56,7,6-10,5.0,0.0,5.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395586,2023-12-16,23/24,56,56,8,6-10,1.0,3.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395578,2023-12-23,23/24,56,56,9,6-10,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395565,2024-01-13,23/24,56,56,10,6-10,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395559,2024-01-27,23/24,56,56,11,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395547,2024-02-10,23/24,56,56,12,11-20,2.0,3.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395541,2024-02-24,23/24,56,56,13,11-20,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395529,2024-03-09,23/24,56,56,14,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395524,2024-03-16,23/24,56,56,15,11-20,3.0,0.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395515,2024-03-30,23/24,56,56,16,11-20,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395505,2024-04-13,23/24,56,56,17,11-20,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,11395491,2024-05-04,23/24,56,56,18,11-20,4.0,1.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12477138,2024-08-03,24/25,55,56,1,1-5,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476938,2024-08-24,24/25,55,55,2,1-5,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476935,2024-08-31,24/25,55,55,3,1-5,2.0,2.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476917,2024-09-28,24/25,55,55,4,1-5,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12473113,2024-10-18,24/25,55,55,5,1-5,1.0,3.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12473124,2024-10-26,24/25,55,55,6,6-10,3.0,0.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476910,2024-11-09,24/25,55,55,7,6-10,1.0,3.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476891,2024-12-14,24/25,55,55,8,6-10,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476878,2024-12-28,24/25,55,55,9,6-10,3.0,2.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476866,2025-01-10,24/25,55,55,10,6-10,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,13197506,2025-01-28,24/25,55,55,11,11-20,0.0,3.0,-3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476853,2025-02-01,24/25,55,55,12,11-20,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476839,2025-02-25,24/25,55,55,13,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476838,2025-03-01,24/25,55,55,14,11-20,2.0,2.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476827,2025-03-15,24/25,55,55,15,11-20,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476818,2025-03-29,24/25,55,55,16,11-20,0.0,3.0,-3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12476801,2025-04-19,24/25,55,55,17,11-20,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,12473062,2025-04-26,24/25,55,55,18,11-20,0.0,3.0,-3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035486,2025-08-02,25/26,56,55,1,1-5,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035484,2025-08-16,25/26,56,56,2,1-5,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035499,2025-08-30,25/26,56,56,3,1-5,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035518,2025-09-27,25/26,56,56,4,1-5,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035522,2025-10-04,25/26,56,56,5,1-5,3.0,1.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035532,2025-10-24,25/26,56,56,6,6-10,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035541,2025-11-08,25/26,56,56,7,6-10,3.0,0.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
