term_type,zone,body_part,context,shots,goals,raw_goal_rate,proxy_xg_per_shot,pseudo_count
global,,,,45536,5482,0.12038826,0.12038826,25.0
penalty,penalty,,,659,508,0.77086495,0.77086495,25.0
cell,box_centre,header,corner,1032,153,0.14825581,0.14759669,25.0
cell,box_centre,header,direct_free_kick,22,0,0.0,0.06403631,25.0
cell,box_centre,header,fast_break,20,3,0.15,0.13354904,25.0
cell,box_centre,header,open_play,4026,290,0.07203179,0.07233022,25.0
cell,box_centre,header,set_piece,547,79,0.14442413,0.14337361,25.0
cell,box_centre,left_foot,corner,141,52,0.36879433,0.33138377,25.0
cell,box_centre,left_foot,direct_free_kick,2,0,0.0,0.11147062,25.0
cell,box_centre,left_foot,fast_break,88,43,0.48863636,0.40716555,25.0
cell,box_centre,left_foot,open_play,3494,582,0.16657127,0.16624317,25.0
cell,box_centre,left_foot,set_piece,82,21,0.25609756,0.22438978,25.0
cell,box_centre,right_foot,corner,264,71,0.26893939,0.25608895,25.0
cell,box_centre,right_foot,direct_free_kick,8,0,0.0,0.09120323,25.0
cell,box_centre,right_foot,fast_break,164,81,0.49390244,0.4444958,25.0
cell,box_centre,right_foot,open_play,6698,1103,0.16467602,0.16451134,25.0
cell,box_centre,right_foot,set_piece,168,64,0.38095238,0.34720055,25.0
cell,box_centre,unknown,corner,10,4,0.4,0.20027733,25.0
cell,box_centre,unknown,open_play,31,5,0.16129032,0.14303048,25.0
cell,box_centre,unknown,set_piece,4,2,0.5,0.1727485,25.0
cell,box_side,header,corner,48,0,0.0,0.04122886,25.0
cell,box_side,header,direct_free_kick,7,0,0.0,0.09405333,25.0
cell,box_side,header,open_play,209,1,0.00478469,0.0171355,25.0
cell,box_side,header,set_piece,36,2,0.05555556,0.08212634,25.0
cell,box_side,left_foot,corner,42,9,0.21428571,0.17924935,25.0
cell,box_side,left_foot,direct_free_kick,1,0,0.0,0.11575795,25.0
cell,box_side,left_foot,fast_break,75,21,0.28,0.24009707,25.0
cell,box_side,left_foot,open_play,2318,167,0.07204487,0.07256069,25.0
cell,box_side,left_foot,set_piece,30,6,0.2,0.16381285,25.0
cell,box_side,right_foot,corner,87,15,0.17241379,0.16080095,25.0
cell,box_side,right_foot,direct_free_kick,8,0,0.0,0.09120323,25.0
cell,box_side,right_foot,fast_break,83,17,0.20481928,0.18527506,25.0
