tournament_id,season,completed_fixtures,fixtures_with_any_raw_bbc_shot_event,fixtures_proxy_available_both,fixture_coverage_both,home_side_coverage,away_side_coverage,unresolved_side_event_share,mean_proxy_xg_per_side,mean_goals_per_side_covered,mean_proxy_minus_goals_per_side,mae_proxy_vs_goals_per_side,pearson_proxy_vs_goals_per_side
54,20/21,79,0,0,0.0,0.0,0.0,,,,,,
54,21/22,198,0,0,0.0,0.0,0.0,,,,,,
54,22/23,198,0,0,0.0,0.0,0.0,,,,,,
54,23/24,198,198,196,0.989899,1.0,0.989899,0.021184,1.623618,1.329082,0.294537,0.83411,0.520485
54,24/25,198,198,198,1.0,1.0,1.0,0.023111,1.628784,1.474747,0.154036,0.908316,0.512279
54,25/26,198,198,198,1.0,1.0,1.0,0.019716,1.651936,1.368687,0.283249,0.842548,0.575041
54,26/27,36,13,13,0.361111,0.361111,0.361111,0.023873,1.951234,1.384615,0.566619,1.041052,0.625851
55,20/21,87,0,0,0.0,0.0,0.0,,,,,,
55,21/22,180,0,0,0.0,0.0,0.0,,,,,,
55,22/23,180,0,0,0.0,0.0,0.0,,,,,,
55,23/24,178,178,178,1.0,1.0,1.0,0.030747,1.128283,1.396067,-0.267785,0.826426,0.582415
55,24/25,179,179,177,0.988827,1.0,0.988827,0.026259,1.117918,1.254237,-0.136319,0.749133,0.646158
55,25/26,173,173,172,0.99422,1.0,0.99422,0.025695,1.118706,1.206395,-0.08769,0.805694,0.4437
55,26/27,31,15,14,0.451613,0.451613,0.483871,0.083636,0.938906,0.892857,0.046049,0.677369,0.303058
56,20/21,43,0,0,0.0,0.0,0.0,,,,,,
56,21/22,180,0,0,0.0,0.0,0.0,,,,,,
56,22/23,180,0,0,0.0,0.0,0.0,,,,,,
56,23/24,179,179,179,1.0,1.0,1.0,0.030253,1.227908,1.561453,-0.333544,0.794102,0.640727
56,24/25,180,180,179,0.994444,1.0,0.994444,0.02392,1.145351,1.354749,-0.209398,0.816107,0.482009
56,25/26,175,175,175,1.0,1.0,1.0,0.022762,1.089135,1.325714,-0.236579,0.769563,0.525127
56,26/27,39,19,19,0.487179,0.487179,0.487179,0.021084,1.115563,1.210526,-0.094964,0.796439,0.722472
57,20/21,46,0,0,0.0,0.0,0.0,,,,,,
57,21/22,180,0,0,0.0,0.0,0.0,,,,,,
57,22/23,180,0,0,0.0,0.0,0.0,,,,,,
57,23/24,178,178,177,0.994382,1.0,0.994382,0.025567,1.064385,1.282486,-0.218101,0.782897,0.567504
57,24/25,180,180,180,1.0,1.0,1.0,0.024575,1.072001,1.297222,-0.225221,0.833735,0.534899
57,25/26,175,175,174,0.994286,1.0,0.994286,0.023857,1.146539,1.456897,-0.310357,0.798795,0.560755
57,26/27,40,20,20,0.5,0.5,0.5,0.009828,1.125516,1.6,-0.474484,0.945903,0.558652
