reconciliation_status,match_id,tournament_id,season,match_date,home_team,away_team,score_source,matches_status,events_status,events_normal_home,events_normal_away
matched,8736138,54,20/21,2021-01-02,hamilton-academical,motherwell,events_raw_normaltime,finished,finished,3.0,0.0
matched,8736156,54,20/21,2021-01-02,rangers,celtic,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736162,54,20/21,2021-01-02,aberdeen,dundee-united,events_raw_normaltime,finished,finished,0.0,0.0
matched,8736168,54,20/21,2021-01-02,kilmarnock,st-mirren,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736198,54,20/21,2021-01-02,ross-county,st-johnstone,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736200,54,20/21,2021-01-02,hibernian,livingston,events_raw_normaltime,finished,finished,0.0,3.0
matched,8736238,54,20/21,2021-03-20,hamilton-academical,st-mirren,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736239,54,20/21,2021-02-21,ross-county,celtic,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736240,54,20/21,2021-03-20,st-johnstone,ross-county,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736241,54,20/21,2021-03-06,motherwell,livingston,events_raw_normaltime,finished,finished,3.0,1.0
matched,8736243,54,20/21,2021-02-20,motherwell,st-johnstone,events_raw_normaltime,finished,finished,0.0,3.0
matched,8736244,54,20/21,2021-02-21,rangers,dundee-united,events_raw_normaltime,finished,finished,4.0,1.0
matched,8736245,54,20/21,2021-02-20,hibernian,hamilton-academical,events_raw_normaltime,finished,finished,2.0,0.0
matched,8736246,54,20/21,2021-02-10,kilmarnock,motherwell,events_raw_normaltime,finished,finished,0.0,1.0
matched,8736247,54,20/21,2021-03-06,rangers,st-mirren,events_raw_normaltime,finished,finished,3.0,0.0
matched,8736248,54,20/21,2021-03-21,celtic,rangers,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736249,54,20/21,2021-03-06,ross-county,kilmarnock,events_raw_normaltime,finished,finished,3.0,2.0
matched,8736250,54,20/21,2021-03-07,dundee-united,celtic,events_raw_normaltime,finished,finished,0.0,0.0
matched,8736251,54,20/21,2021-03-20,livingston,hibernian,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736252,54,20/21,2021-02-10,st-mirren,celtic,events_raw_normaltime,finished,finished,0.0,4.0
matched,8736253,54,20/21,2021-01-16,st-johnstone,st-mirren,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736254,54,20/21,2021-02-02,st-mirren,hibernian,events_raw_normaltime,finished,finished,1.0,2.0
matched,8736255,54,20/21,2021-03-20,dundee-united,aberdeen,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736256,54,20/21,2021-02-13,rangers,kilmarnock,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736259,54,20/21,2021-02-06,st-mirren,kilmarnock,events_raw_normaltime,finished,finished,2.0,0.0
matched,8736260,54,20/21,2021-02-03,rangers,st-johnstone,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736261,54,20/21,2021-01-09,st-mirren,motherwell,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736262,54,20/21,2021-02-07,hamilton-academical,rangers,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736263,54,20/21,2021-01-27,celtic,hamilton-academical,events_raw_normaltime,finished,finished,2.0,0.0
matched,8736264,54,20/21,2021-01-11,celtic,hibernian,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736265,54,20/21,2021-03-03,livingston,rangers,events_raw_normaltime,finished,finished,0.0,1.0
matched,8736266,54,20/21,2021-02-03,motherwell,dundee-united,events_raw_normaltime,finished,finished,2.0,1.0
matched,8736267,54,20/21,2021-02-13,motherwell,hamilton-academical,events_raw_normaltime,finished,finished,1.0,4.0
matched,8736268,54,20/21,2021-02-27,celtic,aberdeen,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736269,54,20/21,2021-02-27,st-mirren,ross-county,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736270,54,20/21,2021-02-06,hibernian,aberdeen,events_raw_normaltime,finished,finished,2.0,0.0
matched,8736271,54,20/21,2021-02-27,kilmarnock,dundee-united,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736272,54,20/21,2021-01-27,st-johnstone,aberdeen,events_raw_normaltime,finished,finished,0.0,0.0
matched,8736273,54,20/21,2021-02-13,dundee-united,livingston,events_raw_normaltime,finished,finished,3.0,0.0
matched,8736274,54,20/21,2021-02-06,celtic,motherwell,events_raw_normaltime,finished,finished,2.0,1.0
matched,8736275,54,20/21,2021-03-06,st-johnstone,hibernian,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736276,54,20/21,2021-01-16,ross-county,aberdeen,events_raw_normaltime,finished,finished,4.0,1.0
matched,8736278,54,20/21,2021-01-23,aberdeen,motherwell,events_raw_normaltime,finished,finished,2.0,0.0
matched,8736279,54,20/21,2021-02-20,aberdeen,kilmarnock,events_raw_normaltime,finished,finished,1.0,0.0
matched,8736280,54,20/21,2021-03-06,aberdeen,hamilton-academical,events_raw_normaltime,finished,finished,0.0,0.0
matched,8736281,54,20/21,2021-02-06,ross-county,dundee-united,events_raw_normaltime,finished,finished,0.0,2.0
matched,8736282,54,20/21,2021-02-02,aberdeen,livingston,events_raw_normaltime,finished,finished,0.0,2.0
matched,8736283,54,20/21,2021-02-27,hibernian,motherwell,events_raw_normaltime,finished,finished,0.0,2.0
matched,8736284,54,20/21,2021-01-27,dundee-united,st-mirren,events_raw_normaltime,finished,finished,1.0,5.0
matched,8736285,54,20/21,2021-01-27,hibernian,rangers,events_raw_normaltime,finished,finished,0.0,1.0
matched,8736286,54,20/21,2021-01-09,kilmarnock,hamilton-academical,events_raw_normaltime,finished,finished,2.0,0.0
matched,8736287,54,20/21,2021-02-14,st-johnstone,celtic,events_raw_normaltime,finished,finished,1.0,2.0
matched,8736289,54,20/21,2021-01-10,aberdeen,rangers,events_raw_normaltime,finished,finished,1.0,2.0
matched,8736290,54,20/21,2021-02-03,hamilton-academical,ross-county,events_raw_normaltime,finished,finished,1.0,2.0
matched,8736291,54,20/21,2021-01-27,livingston,kilmarnock,events_raw_normaltime,finished,finished,2.0,0.0
matched,8736292,54,20/21,2021-01-30,dundee-united,hibernian,events_raw_normaltime,finished,finished,0.0,2.0
matched,8736293,54,20/21,2021-02-06,livingston,st-johnstone,events_raw_normaltime,finished,finished,1.0,2.0
matched,8736294,54,20/21,2021-03-03,hamilton-academical,st-johnstone,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736295,54,20/21,2021-01-30,kilmarnock,st-johnstone,events_raw_normaltime,finished,finished,2.0,3.0
matched,8736296,54,20/21,2021-01-10,livingston,ross-county,events_raw_normaltime,finished,finished,3.0,1.0
matched,8736297,54,20/21,2021-01-27,ross-county,motherwell,events_raw_normaltime,finished,finished,1.0,2.0
matched,8736312,54,20/21,2021-01-16,hamilton-academical,dundee-united,events_raw_normaltime,finished,finished,0.0,0.0
matched,8736313,54,20/21,2021-01-17,motherwell,rangers,events_raw_normaltime,finished,finished,1.0,1.0
matched,8736314,54,20/21,2021-02-13,aberdeen,st-mirren,events_raw_normaltime,finished,finished,0.0,0.0
matched,8736315,54,20/21,2021-01-16,hibernian,kilmarnock,events_raw_normaltime,finished,finished,2.0,0.0
matched,8736316,54,20/21,2021-02-02,kilmarnock,celtic,events_raw_normaltime,finished,finished,0.0,4.0
matched,8736317,54,20/21,2021-01-16,celtic,livingston,events_raw_normaltime,finished,finished,0.0,0.0
matched,8736342,54,20/21,2021-01-23,rangers,ross-county,events_raw_normaltime,finished,finished,5.0,0.0
matched,8736343,54,20/21,2021-02-20,st-mirren,livingston,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824072,55,20/21,2021-01-15,greenock-morton,dunfermline-athletic,events_raw_normaltime,finished,finished,0.0,0.0
matched,8824074,55,20/21,2021-01-16,queen-of-the-south,arbroath,events_raw_normaltime,finished,finished,2.0,2.0
matched,8824078,55,20/21,2021-01-16,alloa-athletic,heart-of-midlothian,events_raw_normaltime,finished,finished,1.0,3.0
matched,8824111,55,20/21,2021-01-26,raith-rovers,heart-of-midlothian,events_raw_normaltime,finished,finished,0.0,4.0
matched,8824129,55,20/21,2021-01-02,queen-of-the-south,ayr-united,events_raw_normaltime,finished,finished,3.0,2.0
matched,8824130,55,20/21,2021-01-02,alloa-athletic,greenock-morton,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824138,55,20/21,2021-01-02,dundee-fc,heart-of-midlothian,events_raw_normaltime,finished,finished,3.0,1.0
matched,8824178,56,20/21,2021-01-02,montrose,forfar-athletic,events_raw_normaltime,finished,finished,0.0,0.0
matched,8824191,57,20/21,2021-01-02,stranraer,annan-athletic,events_raw_normaltime,finished,finished,2.0,0.0
matched,8824192,56,20/21,2021-01-02,east-fife,falkirk-fc,events_raw_normaltime,finished,finished,2.0,1.0
matched,8824212,56,20/21,2021-01-02,cove-rangers,peterhead,events_raw_normaltime,finished,finished,1.0,0.0
matched,8824214,55,20/21,2021-02-06,alloa-athletic,queen-of-the-south,events_raw_normaltime,finished,finished,2.0,1.0
matched,8824215,55,20/21,2021-01-23,queen-of-the-south,greenock-morton,events_raw_normaltime,finished,finished,2.0,1.0
matched,8824216,55,20/21,2021-01-23,heart-of-midlothian,raith-rovers,events_raw_normaltime,finished,finished,2.0,3.0
matched,8824218,55,20/21,2021-01-23,dunfermline-athletic,ayr-united,events_raw_normaltime,finished,finished,0.0,0.0
matched,8824220,55,20/21,2021-01-22,arbroath,dundee-fc,events_raw_normaltime,finished,finished,1.0,1.0
