club,season,previous_observed_season,previous_tier,current_tier,movement_direction,match_id,match_date,opponent,is_home,new_season_match_number,window,matches_observed_in_new_season,tier_season_observed_fixtures,tier_season_expected_fixtures,tier_season_fixture_coverage,tier_season_archive_complete,has_complete_20_match_window,goals_for,goals_against,goal_difference,win,market_team_probability,bbc_shot_difference,bbc_proxy_xg_difference,transition_definition
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573819,2021-07-31,raith-rovers,0,1,1-5,36,180,180,1.000,1,1,4.0,4.0,0.0,0,,-1.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573826,2021-08-07,greenock-morton,1,2,1-5,36,180,180,1.000,1,1,0.0,1.0,-1.0,0,,9.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573832,2021-08-21,kilmarnock,1,3,1-5,36,180,180,1.000,1,1,0.0,2.0,-2.0,0,,-10.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573836,2021-08-28,queen-of-the-south,0,4,1-5,36,180,180,1.000,1,1,2.0,1.0,1.0,1,,0.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573835,2021-09-11,arbroath,0,5,1-5,36,180,180,1.000,1,1,0.0,4.0,-4.0,0,,-6.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9574282,2021-09-18,ayr-united,1,6,6-10,36,180,180,1.000,1,1,0.0,2.0,-2.0,0,,10.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9574219,2021-09-25,dunfermline-athletic,0,7,6-10,36,180,180,1.000,1,1,0.0,0.0,0.0,0,,2.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573880,2021-10-02,inverness-caledonian-thistle,1,8,6-10,36,180,180,1.000,1,1,2.0,1.0,1.0,1,,-8.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9574271,2021-10-15,partick-thistle,1,9,6-10,36,180,180,1.000,1,1,1.0,6.0,-5.0,0,,-4.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9574081,2021-10-23,kilmarnock,0,10,6-10,36,180,180,1.000,1,1,1.0,2.0,-1.0,0,,6.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9574318,2021-10-26,queen-of-the-south,1,11,11-20,36,180,180,1.000,1,1,1.0,0.0,1.0,1,,0.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573891,2021-10-30,greenock-morton,0,12,11-20,36,180,180,1.000,1,1,1.0,1.0,0.0,0,,-4.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9574283,2021-11-06,arbroath,1,13,11-20,36,180,180,1.000,1,1,1.0,1.0,0.0,0,,-10.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573863,2021-11-13,raith-rovers,1,14,11-20,36,180,180,1.000,1,1,0.0,3.0,-3.0,0,,7.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573870,2021-11-20,partick-thistle,0,15,11-20,36,180,180,1.000,1,1,0.0,1.0,-1.0,0,,7.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573881,2021-12-04,dunfermline-athletic,1,16,11-20,36,180,180,1.000,1,1,1.0,0.0,1.0,1,,4.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573931,2021-12-10,ayr-united,0,17,11-20,36,180,180,1.000,1,1,1.0,1.0,0.0,0,,4.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9574505,2021-12-18,inverness-caledonian-thistle,0,18,11-20,36,180,180,1.000,1,1,2.0,1.0,1.0,1,,-4.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9574524,2021-12-26,kilmarnock,1,19,11-20,36,180,180,1.000,1,1,2.0,3.0,-1.0,0,,-4.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,21/22,20/21,54,55,downward_tier_move,9573924,2022-01-02,queen-of-the-south,0,20,11-20,36,180,180,1.000,1,1,3.0,0.0,3.0,1,,0.000,,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395666,2023-08-05,cove-rangers,1,1,1-5,36,179,180,0.994,0,1,1.0,0.0,1.0,1,0.497283,5.000,0.309,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395658,2023-08-12,kelty-hearts-fc,0,2,1-5,36,179,180,0.994,0,1,2.0,0.0,2.0,1,0.393503,11.000,2.427,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395657,2023-08-19,edinburgh-city-fc,0,3,1-5,36,179,180,0.994,0,1,3.0,0.0,3.0,1,0.613264,14.000,1.712,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395649,2023-08-26,montrose,1,4,1-5,36,179,180,0.994,0,1,1.0,0.0,1.0,1,0.705821,3.000,0.462,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395643,2023-09-02,stirling-albion,0,5,1-5,36,179,180,0.994,0,1,2.0,2.0,0.0,0,0.523198,9.000,1.365,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395639,2023-09-16,alloa-athletic,1,6,6-10,36,179,180,0.994,0,1,2.0,1.0,1.0,1,0.650113,6.000,0.627,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395633,2023-09-23,queen-of-the-south,0,7,6-10,36,179,180,0.994,0,1,2.0,1.0,1.0,1,0.459075,9.000,1.386,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395629,2023-09-29,annan-athletic,1,8,6-10,36,179,180,0.994,0,1,5.0,0.0,5.0,1,0.710217,14.000,1.611,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395624,2023-10-07,falkirk-fc,0,9,6-10,36,179,180,0.994,0,1,0.0,0.0,0.0,0,0.261118,-2.000,-0.373,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395619,2023-10-21,edinburgh-city-fc,1,10,6-10,36,179,180,0.994,0,1,1.0,1.0,0.0,0,0.822150,9.000,1.102,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395613,2023-10-28,montrose,0,11,11-20,36,179,180,0.994,0,1,3.0,0.0,3.0,1,,2.000,0.910,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395611,2023-11-04,cove-rangers,0,12,11-20,36,179,180,0.994,0,1,0.0,1.0,-1.0,0,0.519309,8.000,-0.097,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395605,2023-11-11,stirling-albion,1,13,11-20,36,179,180,0.994,0,1,5.0,0.0,5.0,1,0.741990,15.000,3.158,consecutive observed seasons changed tier; mechanism unverified
