club,opponent,match_id,movement_direction,window,analysis_side,selection,m12_probability,market_probability,m12_minus_market,odds,quarter_kelly_fraction,independent_100_unit_stake,independent_pnl
hamilton-academical,montrose,14035486,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.217517,0.24179431072210064,-0.024277310722100653,4.2,0.0,0.0,-0.0
hamilton-academical,east-fife,14035484,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.235245,0.1538779866268813,0.08136701337311872,6.4,0.022683368291761156,2.2683368291761155,12.004038500000002
hamilton-academical,alloa-athletic,14035492,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,home,0.342808,0.2985635282251052,0.04424447177489482,3.35,0.01436114025184541,1.436114025184541,3.307370599999998
hamilton-academical,cove-rangers,14035499,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.262971,0.21942179392142327,0.043549206078576735,4.5,0.012023435131195338,1.202343513119534,-1.202343513119534
hamilton-academical,peterhead,14035511,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,home,0.395225,0.3444081144745632,0.050816885525436783,2.9,0.017606599087003214,1.7606599087003214,-1.7606599087003214
hamilton-academical,kelty-hearts-fc,14035515,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,home,0.280358,0.1665749444163163,0.1137830555836837,6.0,0.03337307142857143,3.337307142857143,-3.337307142857143
hamilton-academical,stenhousemuir,14035518,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.280852,0.24371595144795952,0.037136048552040474,4.1,0.011033605661619487,1.1033605661619488,-1.1033605661619488
hamilton-academical,montrose,14035530,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,home,0.268213,0.29331863064508046,-0.02510563064508048,3.45,0.0,0.0,-0.0
hamilton-academical,queen-of-the-south,14035532,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.267425,0.1563140520831086,0.11111094791689141,6.4,0.03224858749055178,3.224858749055178,17.0659525
hamilton-academical,east-fife,14035539,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,0.330426,0.35630776082841553,-0.025881760828415534,2.82,0.0,0.0,-0.0
