club,analysis_side,match_id,match_date,movement_direction,window,stake_fraction,stake,pnl,counterfactual
inverness-caledonian-thistle,transitioning_team,12477132,2024-08-03,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12477132,2024-08-03,upward_tier_move,1-5,0.033516,3.3516,-3.3516,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476632,2024-08-10,downward_tier_move,1-5,0.047294,4.7294,-4.7294,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476633,2024-08-10,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476797,2024-08-10,upward_tier_move,1-5,0.029480,2.9480,-2.9480,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476798,2024-08-10,upward_tier_move,1-5,0.034235,3.4235,-3.4235,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476800,2024-08-10,downward_tier_move,1-5,0.019728,1.9728,-1.9728,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476631,2024-08-17,downward_tier_move,1-5,0.045358,4.5358,-4.5358,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476634,2024-08-17,downward_tier_move,1-5,0.035227,3.5227,15.1899,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476790,2024-08-17,upward_tier_move,1-5,0.046393,4.6393,-4.6393,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476793,2024-08-17,downward_tier_move,1-5,0.012938,1.2938,-1.2938,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476795,2024-08-17,upward_tier_move,1-5,0.016280,1.6280,-1.6280,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476796,2024-08-17,downward_tier_move,1-5,0.012679,1.2679,-1.2679,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476622,2024-08-24,downward_tier_move,1-5,0.004549,0.4549,-0.4549,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476627,2024-08-24,downward_tier_move,1-5,0.040675,4.0675,26.3086,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476786,2024-08-24,upward_tier_move,1-5,0.056753,5.6753,8.5652,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476788,2024-08-24,downward_tier_move,1-5,0.019198,1.9198,-1.9198,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476791,2024-08-24,downward_tier_move,1-5,0.015496,1.5496,-1.5496,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476791,2024-08-24,upward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476620,2024-08-31,downward_tier_move,1-5,0.046032,4.6032,-4.6032,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
